symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl,pair_label
COIN,COIN,0.0,0.0,0.0,0.0,-614.354687,19.0,199.18,3784.42,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-614.354687,COIN / COIN
COTG,COST,0.0,0.0,0.0,0.0,181.834254,-187.0,13.875,-2594.63,ETF,0.0,0.0,0.0,0.0,0.0,0.0,181.834254,COST / COTG
COST,COST,0.0,0.0,0.0,0.0,-186.888457,6.0,952.89,5717.34,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-186.888457,COST / COST
CRMG,CRM,0.0,0.0,0.0,0.0,571.093846,-277.0,8.71,-2412.67,ETF,0.0,0.0,0.0,0.0,0.0,0.0,571.093846,CRM / CRMG
CRM,CRM,0.0,0.0,0.0,0.0,-553.880428,24.0,214.08,5137.92,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-553.880428,CRM / CRM
CRWL,CRWD,0.0,0.0,0.0,0.0,147.40432,-98.0,27.0015,-2646.15,ETF,0.0,0.0,0.0,0.0,0.0,0.0,147.40432,CRWD / CRWL
CRWD,CRWD,0.0,0.0,0.0,0.0,-124.857914,12.0,444.62,5335.44,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-124.857914,CRWD / CRWD
CRWV,CRWV,0.0,0.0,0.0,0.0,1058.431515,117.0,99.53,11645.01,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1058.431515,CRWV / CRWV
CRWG,CRWV,0.0,0.0,0.0,0.0,-301.165412,-613.0,4.92,-3015.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-301.165412,CRWV / CRWG
CWVX,CRWV,0.0,0.0,0.0,0.0,-662.258984,-76.0,39.75,-3021.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-662.258984,CRWV / CWVX
CSCO,CSCO,0.0,0.0,0.0,0.0,265.068172,74.0,78.43,5803.82,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,265.068172,CSCO / CSCO
CSCL,CSCO,0.0,0.0,0.0,0.0,-268.451113,-99.0,31.0138,-3070.37,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-268.451113,CSCO / CSCL
CVNY,CVNA,0.0,0.0,0.0,0.0,351.530354,-105.0,35.44,-3721.2,ETF,0.0,0.0,0.0,0.0,0.0,0.0,351.530354,CVNA / CVNY
CVNA,CVNA,0.0,0.0,0.0,0.0,-324.837171,9.0,427.44,3846.96,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-324.837171,CVNA / CVNA
DKUP,DKNG,0.0,0.0,0.0,0.0,-6.703057,-306.0,9.0096,-2756.94,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-6.703057,DKNG / DKUP
DKNG,DKNG,0.0,0.0,0.0,0.0,-586.223323,185.0,29.94,5538.9,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-586.223323,DKNG / DKNG
ENPX,ENPH,0.0,0.0,0.0,0.0,207.119696,-122.0,20.53,-2504.66,ETF,0.0,0.0,0.0,0.0,0.0,0.0,207.119696,ENPH / ENPX
ENPH,ENPH,0.0,0.0,0.0,0.0,-192.31836,140.0,38.25,5355.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-192.31836,ENPH / ENPH
ETHT,ETHA,0.0,0.0,0.0,0.0,575.292271,-77.0,31.76,-2445.52,ETF,0.0,0.0,0.0,0.0,0.0,0.0,575.292271,ETHA / ETHT
ETHU,ETHA,0.0,0.0,0.0,0.0,478.503011,-53.0,46.58,-2468.74,ETF,0.0,0.0,0.0,0.0,0.0,0.0,478.503011,ETHA / ETHU
ETU,ETHA,0.0,0.0,0.0,0.0,463.14497,-199.0,12.43,-2473.57,ETF,0.0,0.0,0.0,0.0,0.0,0.0,463.14497,ETHA / ETU
ETHA,ETHA,0.0,0.0,0.0,0.0,-1575.294494,745.0,21.11,15726.95,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-1575.294494,ETHA / ETHA
GOOGL,GOOGL,0.0,0.0,0.0,0.0,270.827366,29.0,338.25,9809.25,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,270.827366,GOOGL / GOOGL
GOOY,GOOGL,0.0,0.0,0.0,0.0,-78.2962,-279.0,15.08,-4207.32,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-78.2962,GOOGL / GOOY
GGLL,GOOGL,0.0,0.0,0.0,0.0,-204.775382,-26.0,111.77,-2906.02,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-204.775382,GOOGL / GGLL
