symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl,pair_label
APLY,AAPL,0.0,0.0,0.0,0.0,-13.211671,-344.0,12.47,-4289.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-13.211671,AAPL / APLY
AAPU,AAPL,0.0,0.0,0.0,0.0,-84.663138,-100.0,30.03,-3003.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-84.663138,AAPL / AAPU
AAPB,AAPL,0.0,0.0,0.0,0.0,-140.427989,-105.0,28.6635,-3009.67,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-140.427989,AAPL / AAPB
AAPX,AAPL,0.0,0.0,0.0,0.0,-221.902733,-110.0,27.135,-2984.85,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-221.902733,AAPL / AAPX
ABNY,ABNB,0.0,0.0,0.0,0.0,54.759433,-91.0,44.8559,-4081.89,ETF,0.0,0.0,0.0,0.0,0.0,0.0,54.759433,ABNB / ABNY
AIYY,AI,0.0,0.0,0.0,0.0,315.219691,-259.0,15.41,-3991.19,ETF,0.0,0.0,0.0,0.0,0.0,0.0,315.219691,AI / AIYY
LABX,ALAB,0.0,0.0,0.0,0.0,353.645893,-188.0,13.605,-2557.74,ETF,0.0,0.0,0.0,0.0,0.0,0.0,353.645893,ALAB / LABX
AMDY,AMD,0.0,0.0,0.0,0.0,121.166048,-102.0,39.71,-4050.42,ETF,0.0,0.0,0.0,0.0,0.0,0.0,121.166048,AMD / AMDY
AMDG,AMD,0.0,0.0,0.0,0.0,-131.053544,-74.0,35.71,-2642.54,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-131.053544,AMD / AMDG
AMDL,AMD,0.0,0.0,0.0,0.0,-420.044791,-126.0,21.05,-2652.3,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-420.044791,AMD / AMDL
AMUU,AMD,0.0,0.0,0.0,0.0,-446.656936,-35.0,73.9311,-2587.59,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-446.656936,AMD / AMUU
AMZY,AMZN,0.0,0.0,0.0,0.0,5.693393,-316.0,13.23,-4180.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,5.693393,AMZN / AMZY
AZYY,AMZN,0.0,0.0,0.0,0.0,-5.473957,-60.0,19.455,-1167.3,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-5.473957,AMZN / AZYY
AMZW,AMZN,0.0,0.0,0.0,0.0,-12.0602,-96.0,43.4,-4166.4,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-12.0602,AMZN / AMZW
AMZZ,AMZN,0.0,0.0,0.0,0.0,-58.266304,-82.0,33.99,-2787.18,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-58.266304,AMZN / AMZZ
