underlying,realized_pnl,unrealized_pnl,cash_pnl,dividends,borrow_fees,commissions,net_pnl,n_symbols
NVDA,0.0,308.01902,0.0,0.0,0.0,0.0,308.01902,8
BRK-B,0.0,258.857502,0.0,0.0,0.0,0.0,258.857502,2
MSFT,0.0,243.22694100000012,0.0,0.0,0.0,0.0,243.22694100000012,6
NFLX,0.0,208.30220500000007,0.0,0.0,0.0,0.0,208.30220500000007,5
PLTR,0.0,152.63216300000022,0.0,0.0,0.0,0.0,152.63216300000022,5
HOOD,0.0,136.77752699999996,0.0,0.0,0.0,0.0,136.77752699999996,3
QQQ,0.0,134.56711700000002,0.0,0.0,0.0,0.0,134.56711700000002,6
IREN,0.0,112.51488100000006,0.0,0.0,0.0,0.0,112.51488100000006,2
META,0.0,109.01497599999993,0.0,0.0,0.0,0.0,109.01497599999993,4
AMZN,0.0,108.47890299999999,0.0,0.0,0.0,0.0,108.47890299999999,6
BABA,0.0,105.38947799999998,0.0,0.0,0.0,0.0,105.38947799999998,3
CRWV,0.0,95.00711899999988,0.0,0.0,0.0,0.0,95.00711899999988,3
TSM,0.0,90.516423,0.0,0.0,0.0,0.0,90.516423,3
AAPL,0.0,88.49908899999997,0.0,0.0,0.0,0.0,88.49908899999997,5
RBLX,0.0,85.678978,0.0,0.0,0.0,0.0,85.678978,2
ARM,0.0,72.311578,0.0,0.0,0.0,0.0,72.311578,2
INTC,0.0,63.440312000000006,0.0,0.0,0.0,0.0,63.440312000000006,2
XYZ,0.0,60.92860400000001,0.0,0.0,0.0,0.0,60.92860400000001,2
CNC,0.0,51.09895799999998,0.0,0.0,0.0,0.0,51.09895799999998,2
SPY,0.0,44.606966,0.0,0.0,0.0,0.0,44.606966,5
SNOW,0.0,43.916990000000055,0.0,0.0,0.0,0.0,43.916990000000055,3
ASTS,0.0,42.967291999999986,0.0,0.0,0.0,0.0,42.967291999999986,2
CLS,0.0,41.447077,0.0,0.0,0.0,0.0,41.447077,2
RDDT,0.0,34.10508399999998,0.0,0.0,0.0,0.0,34.10508399999998,2
AI,0.0,33.65954199999999,0.0,0.0,0.0,0.0,33.65954199999999,2
AVGO,0.0,30.396321999999998,0.0,0.0,0.0,0.0,30.396321999999998,3
MDB,0.0,26.987792000000013,0.0,0.0,0.0,0.0,26.987792000000013,2
APP,0.0,26.862865,0.0,0.0,0.0,0.0,26.862865,2
CVNA,0.0,26.693182999999976,0.0,0.0,0.0,0.0,26.693182999999976,2
PANW,0.0,25.455306000000007,0.0,0.0,0.0,0.0,25.455306000000007,3
SOEZ,0.0,24.957771999999977,0.0,0.0,0.0,0.0,24.957771999999977,2
