underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
TSLA,"TSLA, TSLW, TSLY",1.3642420526593924e-12,13954.305763370001,3
META,"FBY, FBYY, META",4.547473508864641e-13,8098.480008340002,3
QQQ,"JEPQ, QQQ, QQQX, QYLD, QYLG",4.547473508864641e-13,22068.08923176,5
AAPL,"AAPL, APLY",0.0,6557.161951199999,2
ARM,"ARM, ARMW",0.0,7737.8160798399995,2
BABA,"BABA, BABO",0.0,6262.857153280001,2
CVNA,"CVNA, CVNY",0.0,5662.1555928,2
GOOGL,"GOOGL, GOOY",0.0,6456.9908332800005,2
IBIT,"IBIT, XBTY",0.0,2612.5676192640003,2
AI,"AI, AIYY",0.0,6120.5856535600005,2
AMD,"AMD, AMDY",0.0,6412.68975072,2
AMZN,"AMZN, AMZW, AMZY",0.0,15051.46574568,3
XOM,"XOM, XOMO",0.0,6593.5912804,2
MARA,"MAAY, MARA, MARO",0.0,7110.617435348399,3
HOOD,"HOOD, HOOW, HOOY",0.0,13632.689115,3
NFLX,"NFLW, NFLX, NFLY",0.0,14458.052774,3
PLTR,"PLTR, PLTW",0.0,7688.834850559999,2
NVDA,"NVDA, NVDY",0.0,6430.2075054,2
PYPL,"PYPL, PYPY",0.0,5904.7297596,2
MSTR,"MSTR, MSTW, MTYY",0.0,7611.683468959999,3
XYZ,"XYZ, XYZY",0.0,5881.097832500001,2
RBLX,"RBLX, RBLY",0.0,6428.0682381960005,2
TSM,"TSM, TSMY",0.0,6404.83576972,2
RDDT,"RDDT, RDYY",0.0,1887.7168340800001,2
SPY,"JEPI, SPY, SPYI, XYLD, XYLG",-4.547473508864641e-13,21365.4302838,5
MSFT,"MSFO, MSFT, MSFW",-4.547473508864641e-13,13980.4858887,3
SNOW,"SNOW, SNOY",-4.547473508864641e-13,6187.873340159998,2
COIN,"COIN, COIW",-194.57112855999958,7763.411128559999,2
