run_date,underlying,qty_b1,qty_b2,cost_b1_base,cost_b2_base
2026-01-30,AAPL,0.0,0.0,0.0,0.0
2026-01-30,ABNB,0.0,0.0,0.0,0.0
2026-01-30,ALAB,0.0,0.0,0.0,0.0
2026-01-30,AMD,0.0,0.0,0.0,0.0
2026-01-30,AMZN,0.0,0.0,0.0,0.0
2026-01-30,APP,0.0,0.0,0.0,0.0
2026-01-30,ARM,0.0,0.0,0.0,0.0
2026-01-30,ASTS,0.0,0.0,0.0,0.0
2026-01-30,AVGO,0.0,0.0,0.0,0.0
2026-01-30,BA,0.0,0.0,0.0,0.0
2026-01-30,BABA,0.0,0.0,0.0,0.0
2026-01-30,BLSH,0.0,0.0,0.0,0.0
2026-01-30,CEG,0.0,0.0,0.0,0.0
2026-01-30,CELH,0.0,0.0,0.0,0.0
2026-01-30,CLS,0.0,0.0,0.0,0.0
2026-01-30,CMG,0.0,0.0,0.0,0.0
2026-01-30,CNC,0.0,0.0,0.0,0.0
2026-01-30,COIN,0.0,0.0,0.0,0.0
2026-01-30,COST,0.0,0.0,0.0,0.0
2026-01-30,CRM,0.0,0.0,0.0,0.0
2026-01-30,CRWD,0.0,0.0,0.0,0.0
2026-01-30,CRWV,0.0,0.0,0.0,0.0
2026-01-30,CSCO,0.0,0.0,0.0,0.0
2026-01-30,CVNA,0.0,0.0,0.0,0.0
2026-01-30,DKNG,0.0,0.0,0.0,0.0
2026-01-30,ETHA,0.0,0.0,0.0,0.0
2026-01-30,GOOGL,0.0,0.0,0.0,0.0
2026-01-30,HOOD,0.0,0.0,0.0,0.0
2026-01-30,IBIT,0.0,0.0,0.0,0.0
2026-01-30,INTC,0.0,0.0,0.0,0.0
2026-01-30,IREN,0.0,0.0,0.0,0.0
2026-01-30,ISRG,0.0,0.0,0.0,0.0
2026-01-30,KLAC,0.0,0.0,0.0,0.0
2026-01-30,LLY,0.0,0.0,0.0,0.0
2026-01-30,LMT,0.0,0.0,0.0,0.0
2026-01-30,MARA,0.0,0.0,0.0,0.0
2026-01-30,META,0.0,0.0,0.0,0.0
2026-01-30,MSFT,0.0,0.0,0.0,0.0
2026-01-30,MSTR,0.0,0.0,0.0,0.0
2026-01-30,MU,0.0,0.0,0.0,0.0
2026-01-30,NFLX,0.0,0.0,0.0,0.0
2026-01-30,NVDA,0.0,0.0,0.0,0.0
2026-01-30,OPEN,0.0,0.0,0.0,0.0
2026-01-30,PANW,0.0,0.0,0.0,0.0
2026-01-30,PLTR,0.0,0.0,0.0,0.0
2026-01-30,PYPL,0.0,0.0,0.0,0.0
2026-01-30,QCOM,0.0,0.0,0.0,0.0
2026-01-30,QQQ,0.0,0.0,0.0,0.0
2026-01-30,RBLX,0.0,0.0,0.0,0.0
2026-01-30,RDDT,0.0,0.0,0.0,0.0
2026-01-30,SNAP,0.0,0.0,0.0,0.0
2026-01-30,SNOW,0.0,0.0,0.0,0.0
2026-01-30,SOEZ,0.0,0.0,0.0,0.0
2026-01-30,SPY,0.0,0.0,0.0,0.0
2026-01-30,TEM,0.0,0.0,0.0,0.0
2026-01-30,TER,0.0,0.0,0.0,0.0
2026-01-30,TSLA,0.0,0.0,0.0,0.0
2026-01-30,TSM,0.0,0.0,0.0,0.0
2026-01-30,UBER,0.0,0.0,0.0,0.0
2026-01-30,UNH,0.0,0.0,0.0,0.0
2026-01-30,UPST,0.0,0.0,0.0,0.0
2026-01-30,VRT,0.0,0.0,0.0,0.0
2026-01-30,XOM,0.0,0.0,0.0,0.0
2026-01-30,XRPZ,0.0,0.0,0.0,0.0
2026-01-30,XYZ,0.0,0.0,0.0,0.0
