symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl
TERG,TER,0.0,0.0,0.0,0.0,-569.322774,-108.0,30.713,-3317.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-569.322774
TQQY,QQQ,0.0,0.0,0.0,0.0,-75.179022,-180.0,15.6946,-2825.03,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-75.179022
TSLA,TSLA,0.0,0.0,0.0,0.0,-1749.398891,56.0,416.56,23327.36,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-1749.398891
TSLI,TSLA,0.0,0.0,0.0,0.0,331.986198,-80.0,29.96,-2396.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,331.986198
TSLL,TSLA,0.0,0.0,0.0,0.0,342.45822,-149.0,16.06,-2392.94,ETF,0.0,0.0,0.0,0.0,0.0,0.0,342.45822
TSLR,TSLA,0.0,0.0,0.0,0.0,332.798268,-89.0,26.94,-2397.66,ETF,0.0,0.0,0.0,0.0,0.0,0.0,332.798268
TSLW,TSLA,0.0,0.0,0.0,0.0,349.47493,-129.0,29.245,-3772.61,ETF,0.0,0.0,0.0,0.0,0.0,0.0,349.47493
TSLY,TSLA,0.0,0.0,0.0,0.0,251.450731,-113.0,34.18,-3862.34,ETF,0.0,0.0,0.0,0.0,0.0,0.0,251.450731
TSM,TSM,0.0,0.0,0.0,0.0,264.860658,29.0,339.55,9846.95,ADR,0.0,0.0,0.0,0.0,0.0,0.0,264.860658
TSMU,TSM,0.0,0.0,0.0,0.0,-134.872549,-53.0,53.7,-2846.1,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-134.872549
TSMY,TSM,0.0,0.0,0.0,0.0,-39.471686,-257.0,16.27,-4181.39,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-39.471686
UBER,UBER,0.0,0.0,0.0,0.0,-69.872114,68.0,81.7,5555.6,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-69.872114
UBRL,UBER,0.0,0.0,0.0,0.0,63.618946,-132.0,21.06,-2779.92,ETF,0.0,0.0,0.0,0.0,0.0,0.0,63.618946
UNH,UNH,0.0,0.0,0.0,0.0,-913.271728,16.0,292.29,4676.64,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-913.271728
UNHG,UNH,0.0,0.0,0.0,0.0,908.872001,-144.0,12.15,-1749.6,ETF,0.0,0.0,0.0,0.0,0.0,0.0,908.872001
UPST,UPST,0.0,0.0,0.0,0.0,-72.373927,20.0,41.53,830.6,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-72.373927
UPSX,UPST,0.0,0.0,0.0,0.0,94.060534,-9.0,42.52,-382.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,94.060534
UXRP,XRP,0.0,0.0,0.0,0.0,364.329109,-292.0,8.23,-2403.16,ETF,0.0,0.0,0.0,0.0,0.0,0.0,364.329109
VRT,VRT,0.0,0.0,0.0,0.0,553.853486,30.0,195.1,5853.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,553.853486
VRTL,VRT,0.0,0.0,0.0,0.0,-558.649789,-45.0,69.9478,-3147.65,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-558.649789
XBTY,IBIT,0.0,0.0,0.0,0.0,238.87626,-272.0,9.726,-2645.47,ETF,0.0,0.0,0.0,0.0,0.0,0.0,238.87626
XOM,XOM,0.0,0.0,0.0,0.0,315.177972,37.0,140.51,5198.87,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,315.177972
XOMO,XOM,0.0,0.0,0.0,0.0,-174.859143,-332.0,12.85,-4266.2,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-174.859143
XOMX,XOM,0.0,0.0,0.0,0.0,-123.109049,-12.0,39.1008,-469.21,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-123.109049
XRP,XRP,0.0,0.0,0.0,0.0,-356.896561,257.0,20.17,5183.69,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-356.896561
XXRP,GXRP,0.0,0.0,0.0,0.0,505.971404,-276.0,8.61,-2376.36,ETF,0.0,0.0,0.0,0.0,0.0,0.0,505.971404
XYLD,SPY,0.0,0.0,0.0,0.0,-7.538141,-102.0,40.78,-4159.56,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-7.538141
XYLG,SPY,0.0,0.0,0.0,0.0,-19.699327,-150.0,27.77,-4165.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-19.699327
XYZ,XYZ,0.0,0.0,0.0,0.0,-267.327428,62.0,62.21,3857.02,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-267.327428
XYZY,XYZ,0.0,0.0,0.0,0.0,328.256032,-125.0,30.79,-3848.75,ETF,0.0,0.0,0.0,0.0,0.0,0.0,328.256032
