symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl
AMDL,AMD,0.0,0.0,0.0,0.0,-420.044791,-126.0,21.05,-2652.3,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-420.044791
AMDY,AMD,0.0,0.0,0.0,0.0,121.166048,-102.0,39.71,-4050.42,ETF,0.0,0.0,0.0,0.0,0.0,0.0,121.166048
AMUU,AMD,0.0,0.0,0.0,0.0,-446.656936,-35.0,73.9311,-2587.59,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-446.656936
AMZN,AMZN,0.0,0.0,0.0,0.0,249.988939,90.0,241.73,21755.7,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,249.988939
AMZU,AMZN,0.0,0.0,0.0,0.0,-71.402968,-74.0,37.77,-2794.98,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-71.402968
AMZW,AMZN,0.0,0.0,0.0,0.0,-12.0602,-96.0,43.4,-4166.4,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-12.0602
AMZY,AMZN,0.0,0.0,0.0,0.0,5.693393,-316.0,13.23,-4180.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,5.693393
AMZZ,AMZN,0.0,0.0,0.0,0.0,-58.266304,-82.0,33.99,-2787.18,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-58.266304
APLY,AAPL,0.0,0.0,0.0,0.0,-13.211671,-344.0,12.47,-4289.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-13.211671
APP,APP,0.0,0.0,0.0,0.0,128.894172,10.0,569.24,5692.4,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,128.894172
APPX,APP,0.0,0.0,0.0,0.0,-102.031307,-132.0,24.29,-3206.28,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-102.031307
ARM,ARM,0.0,0.0,0.0,0.0,-139.031428,36.0,108.43,3903.48,ADR,0.0,0.0,0.0,0.0,0.0,0.0,-139.031428
ARMW,ARM,0.0,0.0,0.0,0.0,211.343006,-148.0,25.69,-3802.12,ETF,0.0,0.0,0.0,0.0,0.0,0.0,211.343006
ASTS,ASTS,0.0,0.0,0.0,0.0,547.976729,14.0,122.09,1709.26,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,547.976729
ASTX,ASTS,0.0,0.0,0.0,0.0,-505.009437,-9.0,101.15,-910.35,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-505.009437
AVGG,AVGO,0.0,0.0,0.0,0.0,-196.334306,-121.0,24.24,-2933.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-196.334306
AVGO,AVGO,0.0,0.0,0.0,0.0,263.294429,34.0,330.73,11244.82,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,263.294429
