ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
AAPU,AAPL,1.970557,502,ols,0.049094,-0.012794000000000002,0.061888,150000,0.061888,False,False,False,,True,False,False,False,True,False,False,False,False,0.284449,0.561389,0.07843,0.016542
AMUU,AMD,2.00792,226,ols,0.018345,0.017955000000000002,0.000389999999999998,50000,0.000389999999999998,False,False,False,,True,False,False,False,True,False,False,False,False,0.55818,1.313497,0.121406,0.121016
AMZU,AMZN,1.978575,502,ols,0.042889,-0.006589,0.049477999999999994,700000,0.049477999999999994,False,False,False,,True,False,False,False,True,False,False,False,False,0.315199,0.624282,0.120062,0.07058400000000001
ASMU,ASML,2.040064,11,ols_short_history,0.044778000000000005,-0.008478,0.053256000000000005,1000,0.053256000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.431624,0.652939,0.197343,0.144087
AVL,AVGO,1.987072,345,ols,0.045717,-0.009417,0.055134,100000,0.055134,False,False,False,,True,False,False,False,True,False,False,False,False,0.537844,1.08918,0.110488,0.055354
BOEU,BA,1.99027,213,ols,0.043376,-0.007076,0.050452,25000,0.050452,False,False,False,,True,False,False,False,True,False,False,False,False,0.347757,0.569665,0.105075,0.054623000000000005
BABU,BABA,2.041646,10,ols_short_history,0.075283,-0.038983,0.114266,200,0.114266,False,False,False,,False,True,False,False,False,True,True,True,False,0.439395,0.357978,0.067198,-0.04706800000000001
BRKU,BRK-B,1.950147,302,ols,0.061436000000000004,-0.025136,0.08657200000000001,60000,0.08657200000000001,False,False,False,,False,True,False,False,False,True,True,False,False,0.167741,0.35206,0.1071,0.02052799999999999
CONX,COIN,1.995553,67,ols,0.093838,-0.057538,0.151376,10000,0.151376,False,False,False,,False,True,False,False,False,False,True,False,False,0.79653,1.522208,0.17772,0.02634399999999998
CSCL,CSCO,2.026713,170,ols,0.044192,-0.007892,0.052084000000000005,6000,0.052084000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.233078,0.532092,0.12439,0.072306
FRDU,F,1.978871,151,ols,0.002855,0.033445,0.0,400,0.0,False,False,False,,True,False,False,False,True,False,False,True,False,0.343026,0.603891,0.110606,0.110606
GGLL,GOOGL,1.97495,502,ols,0.03655,-0.00025,0.0368,650000,0.0368,False,False,False,,True,False,False,False,True,False,False,False,False,0.298108,0.589658,0.125627,0.08882699999999999
HODU,HOOD,2.006133,67,ols,0.1069,-0.0706,0.1775,20000,0.1775,False,False,False,,False,True,False,False,False,False,True,False,False,0.702591,1.485048,0.167112,-0.01038799999999998
LINT,INTC,1.990143,67,ols,0.278508,-0.242208,0.520716,30000,0.520716,False,False,False,,False,True,False,False,False,False,True,False,False,0.61599,1.467534,0.114768,-0.405948
ELIL,LLY,1.992567,231,ols,0.079014,-0.042714,0.121728,3000,0.121728,False,False,False,,False,True,False,False,False,False,True,False,False,0.370765,0.85919,0.11116,-0.010568000000000008
LMTL,LMT,1.979396,141,ols,0.08397,-0.047670000000000004,0.13164,10000,0.13164,False,False,False,,False,True,False,False,False,False,True,False,False,0.237315,0.470476,0.092131,-0.039509
METU,META,1.998612,432,ols,0.064404,-0.028104,0.092508,350000,0.092508,False,False,False,,False,True,False,False,False,True,True,False,False,0.353245,0.710847,0.114832,0.022323999999999997
