ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.970648,501,ols
AMUU,AMD,2.0,2.007855,226,ols
AMZU,AMZN,2.0,1.978592,501,ols
ASMU,ASML,2.0,2.034834,11,ols_short_history
AVL,AVGO,2.0,1.987045,345,ols
BOEU,BA,2.0,1.990609,213,ols
BABU,BABA,2.0,2.02644,10,ols_short_history
BRKU,BRK-B,2.0,1.950216,302,ols
CONX,COIN,2.0,1.995766,67,ols
CSCL,CSCO,2.0,2.027451,170,ols
FRDU,F,2.0,1.979046,151,ols
GGLL,GOOGL,2.0,1.975853,501,ols
HODU,HOOD,2.0,2.006546,67,ols
LINT,INTC,2.0,1.990181,67,ols
ELIL,LLY,2.0,1.992266,231,ols
LMTL,LMT,2.0,1.981238,141,ols
METU,META,2.0,1.998657,432,ols
MRVU,MRVL,2.0,1.958376,10,ols_short_history
MSFU,MSFT,2.0,1.973938,501,ols
MUU,MU,2.0,1.994552,345,ols
NFXL,NFLX,2.0,1.996338,350,ols
NVDU,NVDA,2.0,1.969011,501,ols
ORCU,ORCL,2.0,2.007967,67,ols
PALU,PANW,2.0,2.005113,231,ols
PLTU,PLTR,2.0,1.990973,302,ols
QCMU,QCOM,2.0,2.003649,170,ols
SHPU,SHOP,2.0,2.003914,141,ols
SOFA,SOFI,2.0,2.020287,11,ols_short_history
TSLL,TSLA,2.0,1.981935,501,ols
TSMX,TSM,2.0,1.993592,350,ols
XOMX,XOM,2.0,1.966331,213,ols
YINN,FXI,2.0,2.972911,501,ols
MEXX,EWW,2.0,2.956545,501,ols
KORU,EWY,2.0,2.942351,501,ols
HIBL,SPY,2.0,4.468087,501,ols
HIBS,SPY,2.0,-4.448125,501,ols
LABU,XBI,2.0,2.987811,501,ols
LABD,XBI,2.0,-2.994565,501,ols
SOXL,SOXX,2.0,2.959678,501,ols
CHAU,ASHR,2.0,1.966845,501,ols
CWEB,KWEB,2.0,1.985998,501,ols
ERX,XLE,2.0,1.986013,501,ols
NUGT,GDX,2.0,1.980919,501,ols
JNUG,GDXJ,2.0,1.970266,501,ols
GUSH,XOP,2.0,2.011118,501,ols
URAA,URA,2.0,1.932605,419,ols
MSTU,MSTR,2.0,1.965323,361,ols
NVDX,NVDA,2.0,1.998153,501,ols
TSLT,TSLA,2.0,1.992561,501,ols
BTCL,IBIT,2.0,2.00534,410,ols
ETU,ETHA,2.0,1.989397,335,ols
CCUP,CRCL,2.0,1.980648,138,ols
CRWU,CRWV,2.0,1.990008,148,ols
AAPX,AAPL,2.0,1.994343,501,ols
GOOX,GOOGL,2.0,1.981473,501,ols
MSFX,MSFT,2.0,2.008453,501,ols
NFLU,NFLX,2.0,1.98908,354,ols
ROBN,HOOD,2.0,2.010918,269,ols
ARMU,ARM,2.0,1.997853,248,ols
DJTU,DJT,2.0,2.001761,248,ols
RBLU,RBLX,2.0,2.021061,248,ols
SNOU,SNOW,2.0,2.016084,212,ols
SMUP,SMR,2.0,2.062139,148,ols
DKUP,DKNG,2.0,1.984377,145,ols
BULU,BULL,2.0,1.976009,145,ols
GLXU,GLXY,2.0,2.013416,139,ols
AFRU,AFRM,2.0,1.962537,113,ols
AXUP,AXON,2.0,1.970342,113,ols
KTUP,KTOS,2.0,2.020612,113,ols
TTDU,TTD,2.0,1.991631,112,ols
BKNU,BKNG,2.0,2.022757,112,ols
PXIU,UPXI,2.0,1.950976,112,ols
BMNU,BMNR,2.0,1.941962,105,ols
SBTU,SBET,2.0,2.022595,88,ols
CIFU,CIFR,2.0,1.985544,65,ols
SOLX,GSOL,2.0,1.97739,58,ols
XRPK,XRPZ,2.0,1.96587,58,ols
XRPT,XRPZ,2.0,-0.125828,64,ols
GMEU,GME,2.0,1.966308,212,ols
APLX,APLD,2.0,1.99406,118,ols
APPX,APP,2.0,1.983777,211,ols
ARCX,ACHR,2.0,1.989404,180,ols
ASTX,ASTS,2.0,1.990004,159,ols
AURU,AUR,2.0,1.866894,96,ols
BEX,BE,2.0,1.985095,71,ols
BLSX,BLSH,2.0,2.048146,86,ols
CEGX,CEG,2.0,1.985591,159,ols
CELT,CELH,2.0,1.975936,97,ols
CLSX,CLSK,2.0,2.003395,113,ols
COZX,CORZ,2.0,2.043647,77,ols
CRDU,CRDO,2.0,1.983077,113,ols
CSEX,CLS,2.0,2.002726,71,ols
CWVX,CRWV,2.0,1.990456,159,ols
DASX,DASH,2.0,2.018253,86,ols
DOGD,DDOG,2.0,2.015797,137,ols
ENPX,ENPH,2.0,2.017828,113,ols
FLYT,FLY,2.0,1.980368,86,ols
GEVX,GEV,2.0,1.993276,159,ols
IREX,IREN,2.0,1.981649,86,ols
JOBX,JOBY,2.0,1.983479,118,ols
LABX,ALAB,2.0,1.994028,137,ols
LRCU,LRCX,2.0,2.046287,132,ols
LYFX,LYFT,2.0,1.865642,96,ols
MDBX,MDB,2.0,1.990665,132,ols
NEBX,NBIS,2.0,1.998885,118,ols
NETX,NET,2.0,1.609952,96,ols
NNEX,NNE,2.0,1.996746,71,ols
NVTX,NVTS,2.0,2.000084,118,ols
NWMX,NEM,2.0,1.221852,68,ols
OKTX,OKTA,2.0,1.692947,80,ols
OPEX,OPEN,2.0,1.99594,86,ols
PONX,PONY,2.0,2.016609,118,ols
QBTX,QBTS,2.0,1.992731,211,ols
QSX,QS,2.0,1.697939,67,ols
QUBX,QUBT,2.0,1.969344,171,ols
RGTU,RGTI,2.0,1.98711,171,ols
SMU,SMR,2.0,1.986153,159,ols
SNPX,SNPS,2.0,1.919051,71,ols
SRPU,SRPT,2.0,1.954959,86,ols
TARK,ARKK,2.0,1.975856,501,ols
TEMT,TEM,2.0,1.983991,199,ols
UNX,U,2.0,2.027404,113,ols
UPSX,UPST,2.0,1.987508,180,ols
VOYX,VOYG,2.0,1.97474,118,ols
WULX,WULF,2.0,1.990226,86,ols
CRMU,CRML,2.0,1.984579,12,ols_short_history
UECG,UEC,2.0,1.939219,12,ols_short_history
DNNG,DNN,2.0,1.944587,12,ols_short_history
RCAX,RCAT,2.0,2.043078,17,ols_short_history
RDWU,RDW,2.0,2.012269,19,ols_short_history
OKLL,OKLO,2.0,1.997253,171,ols
GDXU,GDX,2.0,3.045562,501,ols
MRNX,MRNA,2.0,2.043116,16,ols_short_history
ZETX,ZETA,2.0,2.083664,16,ols_short_history
LITX,LITE,2.0,1.94335,22,ols_short_history
SNXX,SNDX,2.0,0.919805,22,ols_short_history
WDCX,WDC,2.0,2.084628,22,ols_short_history
LNOK,NOK,2.0,1.950369,26,ols_short_history
USGG,USAR,2.0,2.01816,31,ols
ONDG,ONDS,2.0,1.998215,31,ols
PLUL,PLUG,2.0,1.992177,31,ols
ALBG,ALB,2.0,1.996398,31,ols
UUUG,UUUU,2.0,2.004379,31,ols
HUTG,HUT,2.0,1.999583,31,ols
XPEG,XPEV,2.0,1.986022,29,ols_short_history
ORLG,ORLY,2.0,2.011405,29,ols_short_history
LUNL,LUNR,2.0,2.02005,31,ols
RKTL,RKT,2.0,1.931718,31,ols
EOSU,EOSE,2.0,1.993159,30,ols
BTFL,BITF,2.0,2.01343,40,ols
FGRU,FIGR,2.0,1.96606,7,ols_short_history
APHU,APH,2.0,2.042655,7,ols_short_history
COPZ,COPX,2.0,1.91755,7,ols_short_history
LEUX,LEU,2.0,1.8803,6,ols_short_history
COHX,COHR,2.0,1.964145,6,ols_short_history
CLSZ,CLSK,2.0,-2.036506,6,ols_short_history
AXPG,AXP,2.0,2.016335,6,ols_short_history
FCXG,FCX,2.0,2.6941,6,ols_short_history
BITX,IBIT,2.0,2.000026,501,ols
ETHU,ETHA,2.0,2.000653,401,ols
XXRP,XRPZ,2.0,2.022664,64,ols
AALG,AAL,2.0,1.97948,159,ols
ABNG,ABNB,2.0,1.999937,69,ols
ADBG,ADBE,2.0,1.988919,235,ols
AMDG,AMD,2.0,2.003089,274,ols
ARMG,ARM,2.0,1.997385,281,ols
ASMG,ASML,2.0,1.98142,281,ols
AVGG,AVGO,2.0,2.001754,196,ols
BAIG,BBAI,2.0,2.007885,130,ols
BEG,BE,2.0,2.010752,49,ols
BIDG,BIDU,2.0,2.01044,47,ols
BLSG,BLSH,2.0,2.019234,84,ols
BMNG,BMNR,2.0,1.996739,84,ols
BOEG,BA,2.0,1.995816,177,ols
BULG,BULL,2.0,1.982021,138,ols
CIFG,CIFR,2.0,1.996064,52,ols
CMGG,CMG,2.0,1.977974,69,ols
CNCG,CNC,2.0,2.00599,47,ols
COIG,COIN,2.0,1.995262,239,ols
COTG,COST,2.0,1.984633,111,ols
CRCG,CRCL,2.0,1.989419,138,ols
CRMG,CRM,2.0,1.983031,225,ols
CRWG,CRWV,2.0,1.997346,138,ols
DUOG,DUOL,2.0,2.033114,52,ols
FIGG,FIG,2.0,1.994755,93,ols
FUTG,FUTU,2.0,1.998995,93,ols
GEMG,GEMI,2.0,1.999915,77,ols
GEVG,GEV,2.0,1.93287,49,ols
GLGG,GLXY,2.0,2.001814,130,ols
GRAG,GRAB,2.0,1.983953,52,ols
HOOG,HOOD,2.0,2.0068,235,ols
IREG,IREN,2.0,1.970372,49,ols
KLAG,KLAC,2.0,2.020733,47,ols
LACG,LAC,2.0,2.017458,52,ols
LULG,LULU,2.0,1.993548,77,ols
MPG,MP,2.0,1.984272,84,ols
NBIG,NBIS,2.0,2.008189,84,ols
NEMG,NEM,2.0,1.998451,69,ols
NETG,NET,2.0,2.0079,69,ols
NIOG,NIO,2.0,2.013295,47,ols
NUG,NU,2.0,1.983244,69,ols
NVDG,NVDA,2.0,1.968771,300,ols
OKTG,OKTA,2.0,1.996129,69,ols
OPEG,OPEN,2.0,2.009881,52,ols
OSCG,OSCR,2.0,1.98253,77,ols
PANG,PANW,2.0,1.99691,235,ols
PBRG,PBR,2.0,1.888448,47,ols
PLTG,PLTR,2.0,1.99425,211,ols
PYPG,PYPL,2.0,1.994878,225,ols
RTXG,RTX,2.0,1.999811,182,ols
SATG,SATS,2.0,2.012496,49,ols
SBU,SBUX,2.0,1.993078,69,ols
SNAG,SNAP,2.0,2.016609,47,ols
SPOG,SPOT,2.0,1.984975,69,ols
TERG,TER,2.0,2.001646,69,ols
TSLG,TSLA,2.0,1.990996,300,ols
TSMG,TSM,2.0,1.978631,281,ols
UNHG,UNH,2.0,1.99728,152,ols
UPSG,UPS,2.0,1.995956,52,ols
VALG,VALE,2.0,1.961209,47,ols
XYZG,XYZ,2.0,2.00216,225,ols
COIO,COIN,2.0,0.981631,136,ols
MSOO,MSTR,2.0,0.996663,136,ols
NVDO,NVDA,2.0,0.941394,136,ols
PLOO,PLTR,2.0,0.917984,136,ols
TSLO,TSLA,2.0,0.851802,135,ols
CRCA,CRCL,2.0,1.977699,140,ols
NVDB,NVDA,2.0,2.000461,117,ols
PLTA,PLTR,2.0,1.989547,117,ols
TSLI,TSLA,2.0,1.979642,117,ols
COIA,COIN,2.0,1.99851,117,ols
BITU,IBIT,2.0,1.990981,478,ols
ETHT,ETHA,2.0,1.991699,401,ols
UXRP,XRPZ,2.0,2.006036,64,ols
SOLT,SOEZ,2.0,-2.897325,58,ols
TSLR,TSLA,2.0,1.999882,501,ols
AAPB,AAPL,2.0,1.990251,501,ols
AMDL,AMD,2.0,1.999264,488,ols
AMZZ,AMZN,2.0,1.993772,488,ols
AVGU,AVGO,2.0,1.988132,157,ols
BABX,BABA,2.0,2.005632,501,ols
BULX,BULL,2.0,1.965782,122,ols
CONL,COIN,2.0,2.0,0,imputed_no_overlap
CRWL,CRWD,2.0,1.996122,322,ols
DLLL,DELL,2.0,1.985164,259,ols
ETRL,ETOR,2.0,1.999939,122,ols
GOU,GOOGL,2.0,2.043652,59,ols
INTW,INTC,2.0,1.988587,260,ols
IONL,IONQ,2.0,1.987584,232,ols
ISUL,ISRG,2.0,2.003434,98,ols
LCDL,LCID,2.0,1.963923,214,ols
MRAL,MARA,2.0,1.98126,245,ols
FBL,META,2.0,1.998433,501,ols
MVLL,MRVL,2.0,1.998057,245,ols
MSFL,MSFT,2.0,1.99044,488,ols
MSTP,MSTR,2.0,1.994185,180,ols
MULL,MU,2.0,1.998202,322,ols
NBIL,NBIS,2.0,1.999045,98,ols
NOWL,NOW,2.0,1.991688,157,ols
NVDL,NVDA,2.0,1.987688,501,ols
PDDL,PDD,2.0,2.003459,157,ols
PTIR,PLTR,2.0,1.996773,371,ols
QCML,QCOM,2.0,1.973627,226,ols
RDTL,RDDT,2.0,1.982368,233,ols
RVNL,RIVN,2.0,1.993108,214,ols
SMCL,SMCI,2.0,1.98802,300,ols
TSMU,TSM,2.0,1.991866,322,ols
