date,A_baseline,B_idle_spy_mix,C_capital_split,D_SPY
2022-03-30,1000000.0,1000000.0,1000000.0,1000000.0
2022-03-31,995479.2256721708,989231.0193485088,990043.9303426661,984608.6350131615
2022-04-01,999652.8195632311,994431.1874187024,993525.9884894249,987399.1574156188
2022-04-04,1004052.4667907975,1002165.2644655146,999955.1579693151,995857.8491478326
2022-04-05,999079.1691127779,992081.2237720502,991178.9079146221,983278.6467164663
2022-04-06,996916.3677833895,985921.0457352843,985181.5270824585,973446.6863815275
2022-04-07,999208.032660511,990102.5781032289,988779.8866996769,978351.7407388428
2022-04-08,1000304.935623797,990064.0843020852,988020.3777276775,975735.8198315579
2022-04-11,994608.9722477735,977656.6021548044,976833.6415073049,959058.3107668362
2022-04-12,996582.1080995976,978090.906869854,976043.4259903164,955504.7438810352
2022-04-13,1003520.3048806062,989329.1899336769,984984.416817841,966448.5287550758
2022-04-14,1000365.9660137199,981232.3720200666,977390.333243432,954414.700473144
2022-04-18,1002476.274107035,983396.7937870721,978641.6232046302,954806.9723022254
2022-04-19,1008683.2104452145,995834.0369175562,989451.7349218423,970220.25939847
2022-04-20,1010985.7355801291,997743.7847574224,990243.1506451915,969500.5657102541
2022-04-21,1006076.0882790237,986907.7684157579,980539.7216038159,955003.3549286083
2022-04-22,986043.8951246227,956775.1941496279,957421.2877561606,928798.6803876986
2022-04-25,994234.4766784372,966820.6473632731,964209.0153559804,934183.5540335235
2022-04-26,969742.182249154,932464.2662418422,938435.516855889,907128.8514626242
2022-04-27,966545.8406604454,930307.0927246277,938112.6348183615,909679.4289762776
2022-04-28,977836.3416736617,950026.2549297255,955246.938614798,932657.5355559344
2022-04-29,963538.176857962,923085.2242886403,930864.3643835778,898190.5519091937
2022-05-02,963746.8936244973,925283.0311960898,933671.9796662655,903597.0657080337
2022-05-03,983828.1670629492,946126.2592185223,945783.6918115751,907739.216560201
2022-05-04,1005753.0433945099,978563.3536557953,970567.8437350863,935382.6440756627
2022-05-05,973017.8790003579,933577.9788322235,937577.2053013147,902136.5316022715
2022-05-06,979046.232129428,937186.0078890064,937898.9450429371,896751.6579564463
2022-05-09,957774.5370112007,905789.5298434702,912907.358321399,868040.1796315971
2022-05-10,969506.5638222324,917755.7189492773,919776.1143872199,870045.6649522074
2022-05-11,969798.7960739951,911409.1788919099,913011.5146124314,856224.2331508676
2022-05-12,969717.5954767414,910835.4886003032,912524.0134339526,855330.4313911637
2022-05-13,970396.4480687886,920828.5822076832,923087.9538503875,875779.4596319863
2022-05-16,971365.4617317481,920061.3727296927,921795.606749869,872225.7517679898
2022-05-17,971863.7739513628,928668.2004771468,931015.8045990202,890167.8352466776
2022-05-18,970707.246739974,911224.0403649942,912495.5632482847,854283.8797565955
2022-05-19,972454.543677869,910365.6816153044,910753.0440981052,849051.5445183413
2022-05-20,972673.3460826264,910676.0538828812,911047.8668721637,849422.3876617011
2022-05-23,973068.4678154676,918350.2950757237,919191.8047082172,865315.1416009667
2022-05-24,972622.9148784134,914831.4555363164,915666.2263192006,858709.5377599876
2022-05-25,973894.2613179262,919459.0006436432,920095.1293571705,866295.9973964148
2022-05-26,974181.4300558885,927600.4247242116,928893.6823511017,883605.9346463149
2022-05-27,974901.71301767,938064.6862310607,940099.6993492327,905297.6856807953
2022-05-31,975369.0612948542,936168.1012491253,937793.5808061297,900218.1003174053
2022-06-01,975802.3259910292,933237.5740659244,934369.416009928,892936.5060288268
2022-06-02,976084.1769273188,940872.1623068122,943012.7364509031,909941.2959744874
2022-06-03,975780.3557862818,934059.2493074667,935394.0214874195,895007.6871885571
2022-06-06,976921.3005458012,936274.9594672105,937327.0481270433,897732.7957082853
2022-06-07,977964.6058778861,940971.4196154315,942154.2806184292,906343.9553589724
2022-06-08,978352.3064263395,936988.4695360201,937421.2601595813,896490.2138928231
2022-06-09,976475.0498753432,925587.3427697241,925822.0017157785,875168.9535562138
2022-06-10,976183.4406317916,913766.8182428716,912988.1594956818,849792.878359572
