date,A_baseline,B_idle_spy_mix,C_capital_split,D_SPY
2022-06-13,967866.2054390883,891252.6800483617,892696.9840494563,817527.7626598243
2022-06-14,970969.3663258236,892905.8162951461,893016.7675093203,815064.1686928171
2022-06-15,976055.6368024789,903174.8443530992,901369.8608975657,826684.0849926525
2022-06-16,975313.3985574692,889145.3007594157,887318.8520820402,799324.3056066112
2022-06-17,976384.6419709031,890906.6231470752,888715.9915416832,801047.3411124632
2022-06-21,976997.6900452168,901414.6374598,899105.0294117967,821212.3687783767
2022-06-22,977226.875511081,900827.4589260456,898475.257272294,819723.6390335071
2022-06-23,977552.403263452,905004.205467312,902655.7587430857,827759.1142227192
2022-06-24,977915.7949522487,917727.4533136282,915996.2536252514,854076.712298254
2022-06-27,978903.8131498831,917067.8524886692,914859.1097571577,850814.4063644324
2022-06-28,978442.8344062364,908455.1324497877,905936.3982722136,833429.9621381909
2022-06-29,978347.4354846529,907964.4567497867,905549.2938056667,832751.1521266807
2022-06-30,978639.3850741313,904850.8343868197,902312.567287596,825985.7495010605
2022-07-01,979001.3723775748,909418.0213912723,906861.4883716374,834721.6043656999
2022-07-05,979020.8862043056,910122.8643752557,907659.5248653473,836298.163526389
2022-07-06,978900.701514724,911245.8096068915,909011.6815943473,839122.6616739709
2022-07-07,978200.5139811431,916473.9651374717,914945.3736926743,851690.2334042054
2022-07-08,978112.7705311122,915966.8872553017,914551.1359072007,850989.5012832893
2022-07-11,977312.9876248115,910905.1003030911,909290.668717427,841268.3498100425
2022-07-12,976231.3961076465,906581.9809315127,905027.6961511816,833823.9961947165
2022-07-13,978432.8632287557,906587.4779746048,903938.9678459503,829445.0724631449
2022-07-14,978101.6543277308,905293.6232087442,902766.1799219734,827430.705516216
2022-07-15,980360.2464051723,914353.947367,911799.5594716659,843238.8725381595
2022-07-18,979852.3111892873,910734.5139053572,908064.3115476841,836276.3119060809
2022-07-19,979665.4895803866,920519.3009958519,919268.6466217185,858871.8036630506
2022-07-20,981463.7115976167,924536.8130469116,922904.5673402913,864345.4230829661
2022-07-21,982180.0044923117,929004.9725857622,927663.6301177144,873147.255743117
2022-07-22,982853.758238806,926019.4320045223,923949.9567213441,865046.1552038823
2022-07-25,983377.740784729,926915.7235300378,924737.4794627184,866097.2181407076
2022-07-26,983378.2640000775,922359.1872689252,919614.2762436417,855850.288487206
2022-07-27,984277.5123839397,932985.6228707258,931175.5198514,878073.5273188604
2022-07-28,985820.2603286746,939218.1440972677,937453.5021414388,889086.743954203
2022-07-29,986321.8483191128,945239.6329339843,944185.2400082335,902048.6316973541
2022-08-01,984161.2086086363,941969.1880030197,941769.2927284787,899377.3768483211
2022-08-02,983349.0308782354,938599.5856925645,938396.4587163997,893443.8865545641
2022-08-03,987719.1505785623,948724.8055784216,947576.9271182019,907434.7036578414
2022-08-04,987542.7990638253,948220.6693190784,947182.2295191872,906821.6599745492
2022-08-05,989282.6351079639,949161.1706299285,947285.8253148668,905289.0155217698
2022-08-08,989074.3417330943,948440.3343772016,946656.1824035682,904238.0230740422
2022-08-09,988928.1345565375,946684.3196024492,944787.7214951275,900647.3084337175
2022-08-10,992430.7400468987,957950.1428239624,955997.5685798186,919564.3971127385
2022-08-11,991772.6396362493,957250.4132193525,955668.5183744938,919564.3971127385
2022-08-12,993319.7636550715,965198.4021129115,964225.7685158881,935131.7733767048
2022-08-15,994653.4145691369,968032.8951757778,966819.3429713236,938985.2713735104
2022-08-16,994177.7188735027,968266.5330892247,967501.0958929937,940824.4729124847
2022-08-17,994827.7586102496,966061.4213339541,964487.1881782713,934146.617746293
2022-08-18,996143.5298838123,968406.125104439,966502.5176153285,936861.5053468448
2022-08-19,992697.9973983316,959762.3270421108,958484.9692082191,924271.9410181065
2022-08-22,986587.722040719,945856.2456061771,945807.0123475529,905026.3026543867
2022-08-23,988571.277378141,946783.3623825951,945704.059083371,902836.8407886011
2022-08-24,993147.9299450902,952308.7705189795,949437.4471156476,905726.9642862051
2022-08-25,996187.046072934,960574.2863389917,957350.2958580703,918513.5456432063
2022-08-26,988066.03439641,939761.2663711509,937744.4415988943,887422.8488013786
2022-08-29,989166.5321762764,938278.1654247253,935360.7580169602,881554.9838576441
2022-08-30,987118.294752791,931601.6928515545,929497.8094552557,871877.3241577204
2022-08-31,987343.8385898509,928529.8395780176,926293.505410998,865243.1722321451
2022-09-01,987274.8854276754,929693.1883870915,927616.5783638328,867958.2712999902
2022-09-02,987494.6961582827,925428.5409669459,923150.3315020087,858805.9668457349
2022-09-06,987641.8181998082,923948.2321870171,921603.7710996615,855565.7239995148
2022-09-07,987970.1953364159,931382.7565451314,929453.1392858172,870936.0832352184
2022-09-08,988059.9975433237,934043.5739960468,932344.2491789655,876628.5008146073
2022-09-09,988527.7333117541,940751.4670343227,939387.4343967106,890247.1354816671
2022-09-12,988647.1100533297,945199.3321718136,944231.1825884941,899815.2551236587
2022-09-13,987614.2970422908,926341.9581779062,924151.6900674549,860689.083092619
2022-09-14,987464.8592171315,927645.6830544368,925719.0499319402,863973.2406467487
2022-09-15,987730.5272410586,923187.1030430913,920947.4639884683,854164.4007358779
2022-09-16,988321.757335254,920565.8179162748,917984.8967139638,847648.0360926737
2022-09-19,988430.3032365863,923732.2199688123,921325.9000708284,854221.4969050704
2022-09-20,988725.4005248721,919156.186092225,916570.9319651757,844416.4634054792
2022-09-21,989121.5986132715,912219.5506254826,909404.0128735879,829686.4271339042
2022-09-22,989088.4174778399,908661.6913301101,905902.7937576887,822717.1700375376
2022-09-23,990682.9617713711,903287.7422929285,899807.8181473998,808932.6745234285
2022-09-26,990402.0769864423,899047.6274123007,895666.1326092072,800930.188231972
2022-09-27,990180.3358657255,897714.6595698133,894532.9939084619,798885.6519511981
2022-09-28,988789.3357693636,904466.5576305151,901697.1339951096,814604.9322208556
2022-09-29,990215.2036358743,896972.5404183555,893901.8928495175,797588.5820631608
2022-09-30,990555.0880182142,890768.6512787737,887905.0963224148,785255.1046266154
2022-10-03,989441.3148230739,900274.73750054,897713.9839971839,805986.6531712939
2022-10-04,988995.2065334001,912447.4424975559,909978.3554784189,830961.5044234376
2022-10-05,988961.3156032927,911376.5566819352,908994.1233692376,829026.9311351825
2022-10-06,989413.7273081288,907531.4387759457,904944.2490837283,820474.7708593276
2022-10-07,989618.9447585951,896320.7392141711,893603.763410878,797588.5820631608
2022-10-10,989809.8285073999,893311.3234863456,890915.2976251191,791498.605972358
2022-10-11,990460.438836059,891272.5384281402,889018.7688993809,786486.1262300436
2022-10-12,990542.6149492802,889904.8107845436,887757.6391942883,783891.8454757737
2022-10-13,989565.2381565789,899774.7148821107,896994.5374269607,804579.6907798357
2022-10-14,990155.3749301855,890862.9680019086,888350.2153220088,786244.2076465023
2022-10-17,989640.2219505396,900762.2252299612,897793.8058210255,806448.427250775
2022-10-18,989253.5610527126,905143.2242658864,902074.3699994006,815923.9242182989
2022-10-19,989436.5753016482,902311.2340133323,899347.6740825356,810142.0559738418
2022-10-20,989523.9541763212,898884.71168534,895912.5143179805,803348.528198212
2022-10-21,989248.0018911931,908402.8745217995,905292.7935343462,822871.1182270638
2022-10-24,989309.3214654358,913473.3637018164,910278.7595012677,832940.1333977979
2022-10-25,989090.172779629,919848.3789899764,916531.528032852,846241.0737012154
2022-10-26,988993.3337909677,916589.2948510484,913186.9764010685,839865.4757862549
2022-10-27,989561.5407831088,914870.6460582615,911255.7235690557,835380.6069407372
2022-10-28,989366.0550703914,924273.790719023,920816.2575786428,855254.7965892581
2022-10-31,989520.867513273,921367.9263094999,917831.9367218592,849076.9910826357
2022-11-01,989940.2618387061,919885.6923009685,916181.4045368568,845361.722206554
2022-11-02,989954.7501451802,909526.5060469859,905678.5899720459,824146.1955165972
2022-11-03,990458.0048126241,905803.6112890976,901667.3502463789,815660.1540144492
2022-11-04,990574.4808386978,911548.8183804632,907460.2443477727,827400.0427586867
2022-11-07,990786.5647563429,915500.0318628378,911462.745243442,835314.6996343237
2022-11-08,990555.8349868363,917384.8776859485,913662.8358342411,839821.4905892473
2022-11-09,990313.8146457925,908864.2620864478,905010.2612868883,822519.3776291993
2022-11-10,991812.0486444,931957.8567310337,927994.0368877855,867720.2296168262
2022-11-11,991899.219675807,935599.9359153559,932164.937797177,876118.371214057
2022-11-14,992063.3583311887,932492.5591528991,928586.9105322484,868665.558906999
2022-11-15,991094.540781335,934716.8568872253,931821.9148342416,876074.526995245
2022-11-16,994163.3717347804,934666.9782269509,930002.6490561923,869391.1031903295
2022-11-17,995002.510953399,934234.3516913607,929081.927684319,866730.9151296461
2022-11-18,995971.1265176528,936790.5139780776,931480.57670873,870666.2509689608
2022-11-21,998413.9758538767,937636.5699059656,931088.8263031738,867500.3741208864
2022-11-22,1000731.8408935955,944886.6229919085,938026.4196352836,879174.3555587104
2022-11-23,1001830.3451089635,948286.2817366488,941312.3725202092,884714.5166869194
2022-11-25,1001634.5395823389,947947.9201687269,941112.4958068557,884516.6537894832
2022-11-28,1000750.86188683,940886.6649134913,933670.9734605111,870402.4102760135
2022-11-29,1001484.3219425216,940850.4029702996,933277.5771769953,868907.547979638
2022-11-30,1003659.3254629646,954949.3018503292,947988.4554729925,896278.6056213222
2022-12-01,1004241.2149441652,955147.2438967336,947935.4847012407,895618.9686444051
2022-12-02,1005344.2848705701,955685.9336823103,947958.2882406069,894585.5984711197
2022-12-05,1003563.6030386672,947024.438585337,939056.3213648524,878492.9374505827
2022-12-06,1001174.4595533791,939246.5645877781,931573.0058923333,865829.4300582852
2022-12-07,999120.1947707192,936618.8720456897,929821.2472890592,864356.6308495114
2022-12-08,1001498.4182785427,941718.864048788,934372.21859487,871127.9545593441
2022-12-09,999252.7962195012,936739.173456414,930013.4935115792,864620.4010533609
2022-12-12,1000106.3306601217,942871.7616019082,936714.3828209297,877085.9045700268
2022-12-13,1005534.7815201608,950789.8877389554,942669.255867647,883725.2726888369
2022-12-14,1009269.2739853432,951794.400622207,941686.4627843543,878075.0075899137
2022-12-15,1004487.7269016865,937872.8169108354,928610.5103403532,856595.8516743028
2022-12-16,1004598.1860862904,933464.8634191372,923611.9184885332,846482.7808174635
2022-12-19,1007578.0767422357,932978.2310533718,921513.504472492,839304.9464808002
2022-12-20,1008552.7011560362,934328.3050199447,922546.0204968121,840453.566328937
2022-12-21,1012354.8027110252,943455.9313980669,930690.2084409813,853020.2217009006
2022-12-22,1007769.272846638,933649.1793868981,922355.3648957224,840850.9133730577
2022-12-23,1010370.0056086726,938181.8051829698,926043.931889626,845687.8047728309
2022-12-27,1010895.97509806,937096.0719642502,924649.4774768315,842352.7540901123
2022-12-28,1011255.5535535115,932610.8268091088,919611.838329488,831884.065735031
2022-12-29,1012187.0741763047,940264.530511284,927533.5259558572,846858.3467303738
2022-12-30,1012825.2024166795,939778.8362768986,926739.413236245,844627.6487423935
2023-01-03,1013448.5872756481,938674.3787231485,925290.3274414501,841071.8262054641
2023-01-04,1015196.6307651033,943199.2822615437,929386.9590396543,847564.9999355025
2023-01-05,1015301.173846647,938814.0287295772,924614.3236768249,837891.4990923472
2023-01-06,1016928.9894328659,949104.6663111837,935002.5846528041,857106.051763951
2023-01-09,1016522.354162172,948438.135559903,934562.8678746028,856620.170413033
2023-01-10,1019201.5067133545,953640.0403142717,938889.388431138,862627.5332812513
2023-01-11,1018580.1070072856,958009.5041473577,944032.1523430966,873537.9063229496
2023-01-12,1021744.1026755733,962374.4175890419,947192.6240650839,876718.2334360664
2023-01-13,1023320.6521611846,965354.144541337,949679.2587266195,880119.3324033942
2023-01-17,1023025.09178957,964266.4063193655,948725.4709523789,878507.3172265275
2023-01-18,1021877.6502546853,956756.2682371793,941216.7860346343,864637.3889259232
2023-01-19,1021818.3078975169,953696.2704954406,938039.9176188845,858342.9944515916
2023-01-20,1023598.5954656181,962794.9317205447,946925.0758500281,874333.0233457776
2023-01-23,1024291.5782988657,968260.927184103,952516.978232542,884823.8452775582
2023-01-24,1025712.9910784614,969095.1308163218,952752.8700597717,883874.2161524217
2023-01-25,1026458.0042159247,969883.0237736345,953290.8850300636,884205.2329555423
2023-01-26,1026406.9423674004,974204.6686598872,958124.3085931763,893923.1419302918
2023-01-27,1027862.7620032612,976451.3962531222,959879.2093210442,895977.1237501666
2023-01-30,1026616.4740245278,970096.4852559044,953635.1941865236,884735.3814598589
2023-01-31,1028045.9220180413,977328.5553739523,960854.1587016683,897743.8624966351
2023-02-01,1030138.8027420557,983593.2810932914,966671.1602224486,907284.9848141812
2023-02-02,1029243.5544699904,988647.8277612695,972827.2014772065,920492.3155957622
2023-02-03,1028838.7035445127,983945.6853655339,967732.7621402396,910708.287847306
2023-02-06,1027100.5821848052,979792.5992451778,964080.897614134,905142.6801548025
2023-02-07,1030385.3530040899,988045.9373660556,971642.252563393,916980.6192340358
2023-02-08,1026818.4398491763,980207.4194239205,964845.4351298998,906953.8975219629
2023-02-09,1023695.9336355751,973753.6098704721,959352.7583287104,899091.0501331856
2023-02-10,1022234.342759366,973204.9498690788,959671.1226217917,901189.3695955569
2023-02-13,1027407.6184137022,982666.1284103787,967547.297590053,911768.4438777434
2023-02-14,1032048.073989526,986854.6027760644,969657.749823006,911348.8927678256
2023-02-15,1033826.8247840091,989789.5967969986,972026.8323606028,914308.3070485361
2023-02-16,1031135.4916986799,981628.9797686198,964386.7360990578,901719.4476107756
2023-02-17,1029640.2844376982,979147.3302845923,962512.787175325,899466.7570242914
2023-02-21,1021606.8231356504,963601.6166082429,949473.945433624,881422.5348429373
2023-02-22,1025854.3841563546,967010.5091097193,950990.3566330543,880207.7962210936
2023-02-23,1030716.3024639635,973852.3393320487,955762.4349464932,884890.0345403628
2023-02-24,1030399.0378970922,968764.4071415561,950877.4381685853,875437.3055514182
2023-02-27,1031317.884679471,971045.8062274951,952827.6354884796,878418.853408828
2023-02-28,1031547.3935808662,969564.1234188935,951319.0965066677,875172.2665438089
2023-03-01,1031882.3252608929,968122.0646457274,949808.0759506187,871815.2937516843
2023-03-02,1032087.6319873385,971561.1942601869,953300.9024710151,878595.6400660314
2023-03-03,1032999.754205908,979222.376271672,960802.2431686097,892686.199242651
2023-03-06,1033477.9905612314,979901.6593233235,961350.6675072793,893304.8115646669
2023-03-07,1033647.1960945263,973351.9381097853,954588.5937185795,879611.4584539725
2023-03-08,1034014.2703638532,974326.4157600056,955489.9213358192,881047.0394191247
2023-03-09,1032899.368966476,965269.8208508688,946804.9366862328,864791.9715173293
2023-03-10,1027725.6674881665,954010.7819074638,937978.8844362993,852313.5684957717
2023-03-13,1028206.1452032713,953762.8764019399,937611.6834938321,851098.6888957326
2023-03-14,1029573.6916003501,961950.2718675551,945329.880959625,865167.5374302396
2023-03-15,1027746.9491679856,957509.1092747999,941710.9267037964,859756.3713509468
2023-03-16,1031766.8620333971,968649.42478249,951263.1461086285,874840.8972951995
2023-03-17,1030202.633761407,962235.1065469382,945366.4840167502,864611.801383433
2023-03-20,1031852.4955021938,967695.6660102851,950348.2274716469,872925.4265524396
2023-03-21,1034100.5109038419,975227.1462970788,957203.2807774369,884387.5177623716
2023-03-22,1034327.7866296204,968181.6413452163,949779.0612368104,869311.80295534
2023-03-23,1034551.8813308555,969435.221187053,951066.1266026791,871661.8389858424
2023-03-24,1036419.6664098486,973829.4791305687,954859.9380613861,877381.6768242632
2023-03-27,1037290.3759730413,975354.5316064946,956115.5744737138,879022.240085726
2023-03-28,1038032.7336589064,975046.1788533503,955500.223148828,877049.1797500893
2023-03-29,1038517.7235459256,981489.8502186424,962116.6242689518,889796.9921033179
2023-03-30,1038579.9281510211,983816.6433911204,964752.6864240816,895006.9118084817
2023-03-31,1039235.652172054,990010.5654896537,971387.9129029189,907621.6407451233
2023-04-03,1041457.2366325179,993597.8051454093,974227.9789241552,911080.1883271324
2023-04-04,1040611.4320710766,990475.7153329276,971277.7957765935,906025.6265934501
2023-04-05,1041377.3911350701,990078.5150166878,970474.6200158917,903653.316008053
2023-04-06,1043258.3868826252,993377.2031445589,973177.5920457226,907178.2643201598
2023-04-10,1044193.6036758217,994615.8845579738,974110.7456885327,908109.3548125833
2023-04-11,1045137.6100495573,995555.2764785833,974704.6950145399,908353.247090862
2023-04-12,1044847.2683392434,993547.5095228326,972708.3394737879,904650.877719672
2023-04-13,1047333.7947383156,1001264.6952696029,979959.7761661666,916667.2247053573
2023-04-14,1048605.976645574,1001427.288397643,979476.2182908417,914427.9270474493
2023-04-17,1051521.9855508392,1005596.9663767612,982574.856494035,917709.1945485706
2023-04-18,1052454.9234304896,1006685.4632267376,983340.5868984361,918307.7174777224
2023-04-19,1052666.8513775873,1006749.7977127285,983368.9423753419,918152.5004844363
2023-04-20,1051020.7485329849,1002886.8856805858,980040.70841835,913142.135415055
2023-04-21,1053091.902320727,1005110.1009291792,981431.0569412897,913851.6786731922
2023-04-24,1053187.3359719804,1005556.3274561875,981955.3858014778,914804.902742315
2023-04-25,1047138.5030605873,993302.608679015,971670.1693410445,900283.3027328412
2023-04-26,1050582.409073585,994805.1472686373,971485.4627420044,896469.9835217637
2023-04-27,1055201.4201617737,1007150.8674989259,982718.5708626445,914317.188674855
2023-04-28,1058686.920363128,1013913.9873307429,988363.2449702941,922121.0366888
2023-05-01,1060116.0744190242,1014794.1831986394,988612.2415074816,921189.8757072788
2023-05-02,1057450.811714983,1007530.4682929352,982102.8555707972,910836.3665379512
2023-05-03,1055760.2550670626,1003042.2452081798,978131.6324726485,904584.4769895741
2023-05-04,1050822.183760439,995409.57946282,972459.078793054,898177.4409370088
2023-05-05,1059049.122758833,1010666.2696180712,984886.279194904,914804.902742315
2023-05-08,1059270.0176160736,1010916.8070776149,985118.7080072127,915048.8655096915
2023-05-09,1059273.4809608075,1009038.197219564,983113.897022503,911035.7801955382
2023-05-10,1061402.9341553086,1012928.4660513909,986307.0771714207,915292.6872988726
2023-05-11,1062021.6926608868,1012724.0196912186,985818.2731256287,913696.3207017105
2023-05-12,1062389.5720961965,1012459.884210274,985403.6194250339,912499.1338652112
2023-05-15,1063353.3592091962,1014741.9151861921,987459.6402683499,915647.3884388434
2023-05-16,1062743.3121973188,1011307.1848570943,984095.0727183205,909528.3003506621
2023-05-17,1064445.960695979,1017903.0587605828,990466.7859039356,920569.0782232321
2023-05-18,1065800.0503325583,1023163.887854318,995577.9121728006,929437.2411243828
2023-05-19,1065881.515667944,1022557.338181984,994942.4076810519,928084.7668054997
2023-05-22,1065990.564442256,1022761.1039901221,995185.3846710918,928461.6720112675
2023-05-23,1065969.693554656,1018048.239571032,989964.9590330303,918041.6916227443
2023-05-24,1061485.739409028,1010743.8878312198,984397.4825502452,911390.6928028023
2023-05-25,1064787.8857371656,1017338.1387092549,989994.8526083317,919283.2865908378
2023-05-26,1069391.7160768895,1026996.55862466,998249.360617446,931188.4722693422
2023-05-30,1071773.182353687,1029371.8332248122,999617.4443258301,931543.1734093131
2023-05-31,1072845.9828273156,1028012.5201327595,997571.0887758596,926377.6618357433
2023-06-01,1077243.2465227505,1036146.1358477467,1004170.4959754569,935179.212539503
2023-06-02,1079421.9400087143,1044308.4123233001,1012021.7561337193,948703.0393700643
2023-06-05,1080027.6906187204,1044001.2116006162,1011415.6392784494,946885.0550495182
2023-06-06,1081554.846857721,1046338.1622949712,1013210.0852082644,948946.7906701476
2023-06-07,1081536.8983182926,1044761.9568314798,1011560.5124325384,945665.5936581241
2023-06-08,1081797.7582911595,1047536.0043034196,1014550.9318272801,951385.5724747404
2023-06-09,1082108.370224064,1048535.4778274243,1015559.7550340616,953092.606955399
2023-06-12,1082080.6846950795,1052341.6173875667,1019869.079124806,961738.9406658724
2023-06-13,1082696.7664962069,1055662.100054098,1023347.4376866035,968079.57598834
2023-06-14,1085859.3810275062,1059181.6695538443,1025505.1343047058,969232.3546932453
2023-06-15,1083470.8516058822,1062069.4488478792,1030318.9725976386,981248.560700735
2023-06-16,1087324.376414095,1064308.8945919734,1030574.5089827529,977906.1086627506
2023-06-20,1087659.1119313864,1062326.3348047445,1028205.1503354566,972832.6558508666
2023-06-21,1089207.9347268052,1061556.6241143027,1026487.2787033669,967848.0897912683
2023-06-22,1091181.7483877782,1064966.0910645812,1029221.0815993,971341.8819221616
2023-06-23,1089837.9313997233,1060311.3393984712,1024877.4664916118,963998.4686948401
2023-06-26,1090943.1333354574,1059551.8344681202,1023460.8135351217,960059.9608461257
2023-06-27,1092746.9864180253,1065964.206112065,1029625.4561157981,970585.3929249105
2023-06-28,1095153.98882452,1068457.906128801,1031073.6249773996,971074.7282416191
2023-06-29,1094684.5502789926,1069645.304619538,1032752.6494645005,974902.2157613481
2023-06-30,1095794.703702621,1075817.4047955242,1039060.0242442578,986406.8118972345
2023-07-03,1096505.5204449326,1076946.6822678554,1039982.7993633519,987541.545393111
2023-07-05,1095711.37018705,1075447.9092993385,1038851.4745475056,986073.0460193009
2023-07-06,1090798.5726515402,1067184.9618333592,1032534.2469167771,978351.3882933538
2023-07-07,1093406.6727200523,1068582.8500677512,1032603.1869799345,975881.1683511564
2023-07-10,1094551.884218308,1070715.6818260788,1034410.902700161,978351.3882933538
2023-07-11,1095896.727982937,1074702.0148124876,1038198.6959919988,984582.1311124004
2023-07-12,1102596.100879252,1084708.7374561825,1045509.2705774121,992503.907386912
2023-07-13,1102831.8489226755,1088361.038941697,1049565.7934260336,1000381.2050407317
2023-07-14,1103537.1642145854,1088706.301289967,1049606.9597489499,999758.2223946542
2023-07-17,1104074.0705856835,1090697.3435893399,1051611.1012334004,1003229.5989924571
2023-07-18,1105347.1177439487,1095179.0892545665,1055974.912079784,1010684.1735269594
2023-07-19,1104433.8249849346,1095188.3118212705,1056641.9676523528,1012931.5774311108
2023-07-20,1103756.9059674516,1091490.0848612774,1052943.398586636,1006211.3583171602
2023-07-21,1105634.2473085169,1093270.8723687106,1053882.0692571686,1006211.3583171602
2023-07-24,1106798.295968662,1096336.9349388361,1056711.6737141372,1010706.5185709521
2023-07-25,1107911.0010868837,1098568.652850235,1058647.603650223,1013465.6733249023
2023-07-26,1110453.9586671803,1101082.7929800656,1059996.9728934057,1013621.4542309707
2023-07-27,1105410.9188259887,1093079.167828072,1054115.3786603834,1006901.3056061178
2023-07-28,1112597.074832606,1104442.8584668809,1062637.4068251508,1016759.2059290353
2023-07-31,1111780.630963166,1104406.4131896973,1063197.141180987,1018695.118510148
2023-08-01,1111341.973853911,1102617.6532604024,1061520.2743072526,1015780.0418719338
2023-08-02,1102303.3762944844,1087453.734126563,1049935.8180136587,1001649.7268441728
2023-08-03,1102801.664133321,1086626.8455091729,1048749.627679767,998779.0583375527
2023-08-04,1098428.7686339912,1080293.8918021044,1044304.5330148565,994261.7645070616
2023-08-07,1107238.7513416482,1092672.0929012496,1053048.8332273108,1002940.382224313
2023-08-08,1103610.4475771987,1087118.366888982,1049053.9248828746,998578.8692998902
2023-08-09,1106127.6179200665,1086610.7033541235,1046974.6045631303,991903.0583175338
2023-08-10,1106552.7726330748,1087110.4855979457,1047365.2373805975,992259.16923946
2023-08-11,1111890.5590480724,1092024.2325041378,1049744.8785754035,991680.6652140744
2023-08-14,1113304.33826391,1095764.4485567382,1053188.7893605735,997154.7075685766
2023-08-15,1107834.2061248182,1085205.7116727538,1044645.8093249451,985538.8796364117
2023-08-16,1105097.6043383311,1079281.723790353,1039661.4529607289,978306.7686944666
2023-08-17,1099309.239256515,1070308.820874886,1033040.0536416674,970852.3351381597
2023-08-18,1102995.718430939,1074030.5726777406,1035116.9293434329,971319.6073672668
2023-08-21,1108308.9377387927,1081923.8566973868,1040933.3185384772,977639.1664495015
2023-08-22,1107774.1284977086,1080158.242756018,1039341.8819500015,974991.1025136341
2023-08-23,1112792.5105573232,1089812.3930791155,1047280.707202717,985850.3709594504
2023-08-24,1107841.3771745057,1078861.6217692932,1037973.6896010789,972187.4691389919
