ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
NVDU,NVDA,1.986782,500,ols,0.065389,-0.028988999999999997,0.094378,35000,0.094378,False,False,False,,True,False,False,False,False,True,False,False,False,0.980172,0.356133,0.493062,0.238311,0.356133,0.26175499999999996,0.26175499999999996,0.4966955,0.5960346,0.5,0.5960346
ORCU,ORCL,2.005126,85,ols,0.142262,-0.105862,0.248124,100000,0.248124,False,False,False,,True,False,False,False,False,True,False,False,False,1.090569,0.406677,0.512782,0.264971,0.312769,0.158553,0.06464500000000001,0.5012815,0.6015378,0.5012815,0.6015378
PALU,PANW,2.007583,249,ols,0.051376,-0.014976,0.066352,200000,0.066352,False,False,False,,True,False,False,False,False,True,False,False,False,0.720481,0.244264,0.341938,0.118255,0.242764,0.17791200000000001,0.176412,0.50189575,0.6022749,0.50189575,0.6022749
PLTU,PLTR,1.991988,320,ols,0.09110900000000001,-0.054709,0.145818,20000,0.145818,False,False,False,,True,False,False,False,False,True,False,False,False,1.286375,0.504328,0.626751,0.388109,0.504328,0.35851,0.35851,0.497997,0.5975964,0.5,0.5975964
QCMU,QCOM,2.002794,188,ols,0.032473,0.003927,0.028546000000000002,10000,0.028546000000000002,False,False,False,,True,False,False,False,False,True,False,False,False,0.649321,0.234753,0.383414,0.147623,0.212625,0.20620699999999997,0.184079,0.5006985,0.6008382,0.5006985,0.6008382
SHPU,SHOP,2.013531,159,ols,0.151734,-0.115334,0.267068,40000,0.267068,False,False,False,,True,False,False,False,False,True,False,False,False,1.022577,0.356873,0.577299,0.340069,0.350672,0.08980499999999997,0.08360399999999996,0.50338275,0.6040593,0.50338275,0.6040593
SOFA,SOFI,1.989267,29,ols_short_history,0.043823,-0.007423,0.051246,7000,0.051246,False,False,False,,True,False,False,False,False,True,False,False,False,0.812467,0.325578,0.572016,0.321953,0.32237,0.27433199999999996,0.271124,0.49731675,0.5967800999999999,0.5,0.5967800999999999
TSLL,TSLA,1.993277,500,ols,0.055448000000000004,-0.019048,0.074496,3300000,0.074496,False,False,False,,True,False,False,False,False,True,False,False,False,1.246825,0.499126,0.6254,0.38719,0.499126,0.42463,0.42463,0.49831925,0.5979831,0.5,0.5979831
TSMX,TSM,1.993432,368,ols,0.236981,-0.200581,0.437562,300000,0.437562,False,False,False,,False,True,False,False,False,False,True,False,False,0.800338,0.277681,0.404828,0.162275,0.277681,-0.159881,-0.159881,0.498358,0.5980296,0.5,0.5980296
XOMX,XOM,1.971343,231,ols,0.063395,-0.026995,0.09039000000000001,20000,0.09039000000000001,False,False,False,,True,False,False,False,False,True,False,False,False,0.429197,0.140307,0.225898,0.048857,0.132686,0.049916999999999975,0.042295999999999986,0.49283575,0.5914029,0.5,0.5914029
YINN,FXI,2.973363,500,ols,0.01934,0.01706,0.0022800000000000008,1000000,0.0022800000000000008,False,False,False,,True,False,False,False,False,True,False,False,False,0.856507,0.369711,0.287363,0.242263,0.369711,0.367431,0.367431,0.74334075,0.8920089,0.74334075,0.8920089
MEXX,EWW,2.956381,500,ols,,,,0,,False,True,False,,False,False,False,False,False,True,False,True,False,0.736614,0.298573,0.248508,0.178593,0.298573,0.298573,0.298573,0.73909525,1.0,0.73909525,1.0
KORU,EWY,2.929236,500,ols,0.11618,-0.07978,0.19596000000000002,100000,0.19596000000000002,False,False,False,,True,False,False,False,False,True,False,False,False,0.885638,0.368297,0.302025,0.257748,0.368297,0.17233699999999996,0.17233699999999996,0.732309,0.8787708,0.732309,0.8787708
HIBL,SPY,4.483345,500,ols,0.759715,-0.723315,1.48303,10000,1.48303,False,False,False,,False,True,False,False,False,False,True,False,False,0.802258,0.404048,0.165021,0.212641,0.404048,-1.078982,-1.078982,1.0,1.0,1.0,1.0
LABU,XBI,2.988179,500,ols,0.188776,-0.152376,0.341152,75000,0.341152,False,False,False,,False,True,False,False,True,False,True,False,False,0.779937,0.322795,0.260812,0.202063,0.322795,-0.018357000000000012,-0.018357000000000012,0.74704475,0.8964537,0.74704475,0.8964537
SOXL,SOXX,2.960528,500,ols,0.03331,0.00309,0.03022,7800000,0.03022,False,False,False,,True,False,False,False,False,True,False,False,False,1.115814,0.538098,0.37658,0.411554,0.538098,0.5078779999999999,0.5078779999999999,0.740132,0.8881584,0.740132,0.8881584
CHAU,ASHR,1.96674,500,ols,0.031262,0.005138,0.026123999999999998,150000,0.026123999999999998,False,False,False,,True,False,False,False,False,True,False,False,False,0.516099,0.120532,0.261934,0.065224,0.120532,0.094408,0.094408,0.491685,0.5900219999999999,0.5,0.5900219999999999
CWEB,KWEB,1.987208,500,ols,0.016898,0.019502,0.0,500000,0.0,False,False,False,,True,False,False,False,False,True,False,False,False,0.70427,0.195079,0.354126,0.123009,0.195079,0.195079,0.195079,0.496802,0.5961624,0.5,0.5961624
ERX,XLE,1.987109,500,ols,0.148924,-0.112524,0.261448,6000,0.261448,False,False,False,,True,False,False,False,False,True,False,False,False,0.439399,0.104128,0.220792,0.047811,0.104128,-0.15732000000000002,-0.15732000000000002,0.49677725,0.5961327,0.5,0.5961327
NUGT,GDX,1.979741,500,ols,0.024523000000000003,0.011877,0.012646000000000003,250000,0.012646000000000003,False,False,False,,True,False,False,False,False,True,False,False,False,0.768315,0.213313,0.387744,0.145807,0.213313,0.200667,0.200667,0.49493525,0.5939223,0.5,0.5939223
JNUG,GDXJ,1.973988,500,ols,0.045084,-0.008683999999999999,0.053767999999999996,100000,0.053767999999999996,False,False,False,,True,False,False,False,False,True,False,False,False,0.854354,0.246296,0.431731,0.179182,0.246296,0.19252799999999998,0.19252799999999998,0.493497,0.5921964,0.5,0.5921964
GUSH,XOP,2.009411,500,ols,0.037483,-0.001083,0.038566,250000,0.038566,False,False,False,,True,False,False,False,False,True,False,False,False,0.581388,0.145047,0.2891,0.084762,0.145047,0.106481,0.106481,0.50235275,0.6028233,0.50235275,0.6028233
URAA,URA,1.933227,437,ols,0.031187,0.005213,0.025974,30000,0.025974,False,False,False,,True,False,False,False,False,True,False,False,False,0.878681,0.379056,0.436843,0.172144,0.379056,0.353082,0.353082,0.48330675,0.5799681,0.5,0.5799681
MSTU,MSTR,1.965769,379,ols,0.244927,-0.208527,0.453454,1600000,0.453454,False,False,False,,False,True,False,False,False,False,True,False,False,1.721208,1.086198,0.886264,0.745593,1.086198,0.632744,0.632744,0.49144225,0.5897307,0.5,0.5897307
NVDX,NVDA,1.997466,500,ols,0.103986,-0.06758600000000001,0.171572,150000,0.171572,False,False,False,,True,False,False,False,False,True,False,False,False,0.985935,0.408404,0.493062,0.242187,0.408404,0.236832,0.236832,0.4993665,0.5992398,0.5,0.5992398
TSLT,TSLA,1.992682,500,ols,0.111951,-0.07555100000000001,0.187502,15000,0.187502,False,False,False,,True,False,False,False,False,True,False,False,False,1.246688,0.533438,0.6254,0.386842,0.533438,0.34593599999999997,0.34593599999999997,0.4981705,0.5978046,0.5,0.5978046
BTCL,IBIT,2.006218,428,ols,0.044295,-0.007895,0.05219,15000,0.05219,False,False,False,,True,False,False,False,False,True,False,False,False,1.005521,0.430862,0.500904,0.25325,0.430862,0.378672,0.378672,0.5015545,0.6018654,0.5015545,0.6018654
ETU,ETHA,1.98934,353,ols,0.036193,0.000207,0.035986000000000004,55000,0.035986000000000004,False,False,False,,True,False,False,False,False,True,False,False,False,1.524096,0.749472,0.752287,0.556919,0.749472,0.7134860000000001,0.7134860000000001,0.497335,0.596802,0.5,0.596802
CCUP,CRCL,1.982577,156,ols,0.216868,-0.18046800000000002,0.397336,100000,0.397336,False,False,False,,False,True,False,False,True,False,True,False,False,1.962729,1.019552,1.200936,1.404774,1.166303,0.622216,0.7689670000000001,0.49564425,0.5947730999999999,0.5,0.5947730999999999
CRWU,CRWV,1.988827,166,ols,0.192328,-0.155928,0.348256,85000,0.348256,False,False,False,,False,True,False,False,True,False,True,False,False,1.950152,1.112167,1.189932,1.392296,1.207767,0.7639109999999999,0.859511,0.49720675,0.5966480999999999,0.5,0.5966480999999999
AAPX,AAPL,1.995162,500,ols,0.1585,-0.12210000000000001,0.2806,15000,0.2806,False,False,False,,True,False,False,False,False,True,False,False,False,0.566792,0.192678,0.283549,0.079818,0.192678,-0.08792200000000003,-0.08792200000000003,0.4987905,0.5985486,0.5,0.5985486
GOOX,GOOGL,1.980869,500,ols,0.012362,0.024038,0.0,30000,0.0,False,False,False,,True,False,False,False,False,True,False,False,False,0.592318,0.200882,0.297482,0.085972,0.200882,0.200882,0.200882,0.49521725,0.5942607,0.5,0.5942607
MSFX,MSFT,2.006862,500,ols,0.066478,-0.030078,0.096556,20000,0.096556,False,False,False,,True,False,False,False,False,True,False,False,False,0.483191,0.185426,0.240038,0.058213,0.185426,0.08887,0.08887,0.5017155,0.6020586,0.5017155,0.6020586
NFLU,NFLX,1.991848,372,ols,0.041845,-0.005445,0.04729,15000,0.04729,False,False,False,,True,False,False,False,False,True,False,False,False,0.694078,0.232423,0.330382,0.107821,0.232423,0.185133,0.185133,0.497962,0.5975544,0.5,0.5975544
ROBN,HOOD,2.011808,287,ols,0.103519,-0.067119,0.170638,80000,0.170638,False,False,False,,True,False,False,False,False,True,False,False,False,1.526117,0.749555,0.704941,0.505778,0.749555,0.5789169999999999,0.5789169999999999,0.502952,0.6035423999999999,0.502952,0.6035423999999999
ARMU,ARM,1.96826,264,ols,,,,0,,False,True,False,,False,False,False,False,False,True,False,True,False,1.132365,0.626658,0.634454,0.38357,0.626658,0.626658,0.626658,0.492065,1.0,0.5,1.0
DJTU,DJT,2.004537,266,ols,0.252648,-0.216248,0.468896,100000,0.468896,False,False,False,,False,True,False,False,False,False,True,False,False,1.46647,0.831812,0.992997,0.992764,0.831812,0.362916,0.362916,0.50113425,0.6013611,0.50113425,0.6013611
RBLU,RBLX,2.018356,266,ols,0.071299,-0.034899,0.106198,6000,0.106198,False,False,False,,True,False,False,False,False,True,False,False,False,1.119003,0.495706,0.521046,0.27901,0.495706,0.38950799999999997,0.38950799999999997,0.504589,0.6055067999999999,0.504589,0.6055067999999999
SNOU,SNOW,2.015581,230,ols,0.009696,0.026704,0.0,1000,0.0,False,False,False,,True,False,False,False,False,True,False,False,False,0.994576,0.358857,0.522104,0.278997,0.351885,0.358857,0.351885,0.50389525,0.6046743,0.50389525,0.6046743
SMUP,SMR,2.055988,166,ols,0.126947,-0.090547,0.21749400000000002,5900000,0.21749400000000002,False,False,False,,True,False,False,False,False,True,False,False,False,2.289239,4.583755,1.156702,1.452421,3.515125,4.366261,3.297631,0.513997,0.6167964,0.513997,0.6167964
BULU,BULL,1.928535,160,ols,,,,0,,False,True,False,,False,False,False,False,False,True,False,True,False,1.133392,0.834042,0.572477,0.293435,0.636678,0.834042,0.636678,0.48213375,1.0,0.5,1.0
GLXU,GLXY,2.011473,157,ols,0.090759,-0.054359000000000005,0.14511800000000002,95000,0.14511800000000002,False,False,False,,True,False,False,False,False,True,False,False,False,1.839301,1.060146,0.893987,0.813019,0.966983,0.915028,0.8218650000000001,0.50286825,0.6034419,0.50286825,0.6034419
AFRU,AFRM,1.950376,131,ols,0.17433800000000002,-0.137938,0.312276,7000,0.312276,False,False,False,,False,True,False,False,True,False,True,False,False,1.20666,0.648495,0.754763,0.527965,0.590621,0.33621900000000005,0.27834499999999995,0.487594,0.5851128,0.5,0.5851128
KTUP,KTOS,2.027284,131,ols,0.16987,-0.13347,0.30334,3000,0.30334,False,False,False,,False,True,False,False,True,False,True,False,False,1.530442,0.769798,0.55514,0.320908,0.55426,0.466458,0.25092,0.506821,0.6081852,0.506821,0.6081852
TTDU,TTD,1.996139,130,ols,0.21448,-0.17808,0.39256,10000,0.39256,False,False,False,,False,True,False,False,True,False,True,False,False,1.019313,0.514677,0.620382,0.382648,0.450758,0.12211700000000003,0.05819799999999997,0.49903475,0.5988417,0.5,0.5988417
BMNU,BMNR,1.944761,123,ols,0.229025,-0.192625,0.42164999999999997,600000,0.42164999999999997,False,False,False,,False,True,False,False,False,False,True,False,False,2.072221,1.669722,1.074701,1.061044,1.358137,1.248072,0.936487,0.48619025,0.5834283,0.5,0.5834283
SBTU,SBET,2.028747,106,ols,0.040778,-0.004378,0.045156,25000,0.045156,False,False,False,,True,False,False,False,False,True,False,False,False,1.741814,0.853019,0.858566,0.769226,0.804472,0.807863,0.759316,0.50718675,0.6086241,0.50718675,0.6086241
CIFU,CIFR,1.989607,83,ols,0.304956,-0.268556,0.573512,15000,0.573512,False,False,False,,False,True,False,False,False,False,True,False,False,2.072754,1.281033,1.11293,1.219371,1.23968,0.7075210000000001,0.6661679999999999,0.49740175,0.5968821,0.5,0.5968821
SOLX,GSOL,1.981946,76,ols,0.056906,-0.020506000000000003,0.07741200000000001,400,0.07741200000000001,False,False,False,,True,False,False,False,False,True,False,True,False,1.586763,0.788993,1.1259,1.233528,1.099462,0.711581,1.02205,0.4954865,0.5945838,0.5,0.5945838
XRPK,XRPZ,1.959897,76,ols,0.10302199999999999,-0.066622,0.169644,400,0.169644,False,False,False,,True,False,False,False,False,True,False,True,False,1.677243,1.07577,0.846116,0.673423,0.794766,0.9061259999999999,0.625122,0.48997425,0.5879691,0.5,0.5879691
XRPT,XRPZ,2.017424,82,ols,0.069776,-0.033376,0.10315200000000001,20000,0.10315200000000001,False,False,False,,True,False,False,False,False,True,False,False,False,1.609623,0.938246,0.846116,0.734732,0.800955,0.835094,0.697803,0.504356,0.6052272,0.504356,0.6052272
GMEU,GME,1.967426,230,ols,,,,0,,False,True,False,,False,False,False,False,False,True,False,True,False,0.892242,0.607296,0.446466,0.189698,0.570839,0.607296,0.570839,0.4918565,1.0,0.5,1.0
APLX,APLD,1.994269,136,ols,0.141625,-0.10522500000000001,0.24685,25000,0.24685,False,False,False,,True,False,False,False,False,True,False,False,False,2.149608,1.301209,1.319282,1.725571,1.49655,1.054359,1.2497,0.49856725,0.5982807,0.5,0.5982807
APPX,APP,1.984975,229,ols,0.049193,-0.012793,0.061986,200000,0.061986,False,False,False,,True,False,False,False,False,True,False,False,False,1.410671,0.646672,0.81651,0.651738,0.647134,0.584686,0.585148,0.49624375,0.5954925,0.5,0.5954925
ARCX,ACHR,1.986784,198,ols,0.142876,-0.106476,0.24935200000000002,10000,0.24935200000000002,False,False,False,,True,False,False,False,False,True,False,False,False,1.457844,0.697316,0.871721,0.7449,0.707513,0.44796400000000003,0.45816099999999993,0.496696,0.5960352,0.5,0.5960352
ASTX,ASTS,1.989364,177,ols,0.09510500000000001,-0.058705,0.15381,95000,0.15381,False,False,False,,True,False,False,False,False,True,False,False,False,2.053018,1.184549,1.295459,1.651535,1.323533,1.030739,1.169723,0.497341,0.5968091999999999,0.5,0.5968091999999999
BEX,BE,1.975866,89,ols,0.113774,-0.077374,0.19114799999999998,30000,0.19114799999999998,False,False,False,,True,False,False,False,False,True,False,False,False,2.101806,1.146783,0.984996,0.935377,1.01004,0.9556350000000001,0.8188920000000001,0.4939665,0.5927598,0.5,0.5927598
CEGX,CEG,1.980879,177,ols,0.098389,-0.061989,0.16037800000000002,10000,0.16037800000000002,False,False,False,,True,False,False,False,False,True,False,False,False,0.934206,0.314246,0.583157,0.33038,0.319048,0.153868,0.15866999999999998,0.49521975,0.5942637,0.5,0.5942637
CLSX,CLSK,1.998749,131,ols,0.149637,-0.113237,0.262874,6000,0.262874,False,False,False,,True,False,False,False,False,True,False,False,False,2.063627,1.259531,0.956206,0.912615,1.092956,0.9966569999999999,0.830082,0.49968725,0.5996247,0.5,0.5996247
