ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.98642,500,ols
AMUU,AMD,2.0,2.007615,258,ols
AMZU,AMZN,2.0,1.988917,500,ols
ASMU,ASML,2.0,2.002977,43,ols
AVL,AVGO,2.0,1.986508,377,ols
BOEU,BA,2.0,1.993107,245,ols
BABU,BABA,2.0,2.034567,42,ols
BRKU,BRK-B,2.0,1.946847,334,ols
CONX,COIN,2.0,2.004311,99,ols
CSCL,CSCO,2.0,2.023655,202,ols
GGLL,GOOGL,2.0,1.994828,500,ols
HODU,HOOD,2.0,2.007897,99,ols
LINT,INTC,2.0,1.991183,99,ols
ELIL,LLY,2.0,1.992986,263,ols
LMTL,LMT,2.0,1.998325,173,ols
METU,META,2.0,1.998368,464,ols
MRVU,MRVL,2.0,2.008669,42,ols
MSFU,MSFT,2.0,1.992325,500,ols
MUU,MU,2.0,1.993861,377,ols
NFXL,NFLX,2.0,1.995759,382,ols
NVDU,NVDA,2.0,1.987259,500,ols
ORCU,ORCL,2.0,2.004198,99,ols
PALU,PANW,2.0,2.005153,263,ols
PLTU,PLTR,2.0,1.991952,334,ols
QCMU,QCOM,2.0,2.002249,202,ols
SHPU,SHOP,2.0,2.010871,173,ols
SOFA,SOFI,2.0,1.98377,43,ols
TSLL,TSLA,2.0,1.993926,500,ols
TSMX,TSM,2.0,1.995378,382,ols
XOMX,XOM,2.0,1.990175,245,ols
YINN,FXI,2.0,2.973786,500,ols
MEXX,EWW,2.0,2.956443,500,ols
KORU,EWY,2.0,2.933368,500,ols
HIBL,SPHB,2.0,3.007753,500,ols
LABU,XBI,2.0,2.987089,500,ols
SOXL,SOXX,2.0,2.963149,500,ols
CHAU,ASHR,2.0,1.966888,500,ols
CWEB,KWEB,2.0,1.987571,500,ols
ERX,XLE,2.0,1.987347,500,ols
NUGT,GDX,2.0,1.976442,500,ols
JNUG,GDXJ,2.0,1.975281,500,ols
GUSH,XOP,2.0,2.010352,500,ols
URAA,URA,2.0,1.927438,451,ols
TQQQ,QQQ,2.0,2.971202,500,ols
SPXL,SPY,2.0,2.88301,500,ols
URTY,IWM,2.0,3.000155,500,ols
MSTU,MSTR,2.0,1.966262,393,ols
NVDX,NVDA,2.0,1.99771,500,ols
TSLT,TSLA,2.0,1.99306,500,ols
BTCL,IBIT,2.0,2.006533,442,ols
ETU,ETHA,2.0,1.989634,367,ols
CCUP,CRCL,2.0,1.98565,170,ols
CRWU,CRWV,2.0,1.989199,180,ols
AAPX,AAPL,2.0,1.992492,500,ols
GOOX,GOOGL,2.0,1.978048,500,ols
MSFX,MSFT,2.0,2.007743,500,ols
NFLU,NFLX,2.0,1.991054,386,ols
ROBN,HOOD,2.0,2.011942,301,ols
DJTU,DJT,2.0,2.005224,280,ols
RBLU,RBLX,2.0,2.019039,280,ols
SNOU,SNOW,2.0,2.000433,244,ols
SMUP,SMR,2.0,1.981194,180,ols
GLXU,GLXY,2.0,2.010136,171,ols
AFRU,AFRM,2.0,1.957751,145,ols
KTUP,KTOS,2.0,2.029426,145,ols
TTDU,TTD,2.0,1.99713,144,ols
BMNU,BMNR,2.0,1.949683,137,ols
SBTU,SBET,2.0,2.02236,120,ols
CIFU,CIFR,2.0,1.989642,97,ols
SOLX,GSOL,2.0,1.970908,90,ols
XRPK,XRPZ,2.0,1.957523,90,ols
XRPT,XRPZ,2.0,2.016971,96,ols
CHNU,CHNL,2.0,2.009887,9,ols_short_history
CRDX,CRDD,2.0,1.996035,9,ols_short_history
STLU,STLR,2.0,1.566773,9,ols_short_history
GMEU,GME,2.0,1.965506,244,ols
APLX,APLD,2.0,1.993908,150,ols
APPX,APP,2.0,1.987102,243,ols
ARCX,ACHR,2.0,1.984068,212,ols
ASTX,ASTS,2.0,1.989603,191,ols
BEX,BE,2.0,1.980238,103,ols
CEGX,CEG,2.0,1.989188,191,ols
CLSX,CLSK,2.0,1.999305,145,ols
COZX,CORZ,2.0,2.035891,109,ols
CRDU,CRDO,2.0,1.993891,145,ols
CSEX,CLS,2.0,1.996767,103,ols
CWVX,CRWV,2.0,1.989437,191,ols
DOGD,DDOG,2.0,1.935438,169,ols
ENPX,ENPH,2.0,2.016372,145,ols
FLYT,FLY,2.0,1.990241,118,ols
GEVX,GEV,2.0,1.99757,191,ols
IREX,IREN,2.0,1.982189,118,ols
JOBX,JOBY,2.0,1.97998,150,ols
LABX,ALAB,2.0,1.99691,169,ols
LRCU,LRCX,2.0,2.037252,164,ols
MDBX,MDB,2.0,1.981037,164,ols
NEBX,NBIS,2.0,1.998192,150,ols
NNEX,NNE,2.0,1.942997,103,ols
NVTX,NVTS,2.0,1.996065,150,ols
OPEX,OPEN,2.0,1.995464,118,ols
PONX,PONY,2.0,2.005704,150,ols
QBTX,QBTS,2.0,1.992136,243,ols
QUBX,QUBT,2.0,1.966627,203,ols
RGTU,RGTI,2.0,1.98818,203,ols
SMU,SMR,2.0,1.985497,191,ols
SNPX,SNPS,2.0,1.856006,103,ols
SRPU,SRPT,2.0,1.965478,118,ols
TARK,ARKK,2.0,1.977746,500,ols
TEMT,TEM,2.0,1.985662,231,ols
UNX,U,2.0,2.029406,145,ols
UPSX,UPST,2.0,1.989001,212,ols
VOYX,VOYG,2.0,1.968851,150,ols
