ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.98642,500,ols,0.072618,30000,0.072618,False,False,30.75,0.072618,1.0,False,,True,False,False,False,False,False,False,False,0.477743,0.172619,0.238246,0.05561,0.172619,0.10000099999999999,0.10000099999999999,0.496605,0.595926,0.5,0.595926
AMUU,AMD,2.007615,258,ols,0.046105,15000,0.046105,False,False,67.9000015258789,0.046105,1.0,False,,True,False,False,False,False,False,False,False,1.162992,0.486599,0.580238,0.340532,0.486599,0.440494,0.440494,0.50190375,0.6022845,0.50190375,0.6022845
AMZU,AMZN,1.988917,500,ols,,0,,False,True,37.790000915527344,,1.0,False,,False,False,False,False,False,False,True,False,0.629154,0.211393,0.315554,0.097925,0.211393,0.211393,0.211393,0.49722925,1.0,0.5,1.0
ASMU,ASML,2.002977,43,ols,,0,,False,True,25.93000030517578,,1.0,False,,False,False,False,False,False,False,True,False,0.944316,0.296442,0.387762,0.151031,0.175843,0.296442,0.175843,0.50074425,1.0,0.50074425,1.0
AVL,AVGO,1.986508,377,ols,0.051054,55000,0.051054,False,False,53.25,0.051054,1.0,False,,True,False,False,False,False,False,False,False,0.854402,0.375122,0.427693,0.179236,0.375122,0.324068,0.324068,0.496627,0.5959523999999999,0.5,0.5959523999999999
BOEU,BA,1.993107,245,ols,0.055904999999999996,10000,0.055904999999999996,False,False,38.3650016784668,0.055904999999999996,1.0,False,,True,False,False,False,False,False,False,False,0.600565,0.188905,0.306328,0.092869,0.186237,0.133,0.130332,0.49827675,0.5979321,0.5,0.5979321
BABU,BABA,2.034567,42,ols,0.050105000000000004,20000,0.050105000000000004,False,False,15.220000267028809,0.050105000000000004,1.0,False,,True,False,False,False,False,False,False,False,0.732624,0.215351,0.434278,0.198489,0.201299,0.16524599999999998,0.151194,0.50864175,0.6103701,0.50864175,0.6103701
BRKU,BRK-B,1.946847,334,ols,0.09807600000000001,25000,0.09807600000000001,False,False,21.27199935913086,0.09807600000000001,1.0,False,,True,False,False,False,False,False,False,False,0.306257,0.133945,0.157871,0.022971,0.133945,0.035869,0.035869,0.48671175,0.5840541,0.5,0.5840541
CONX,COIN,2.004311,99,ols,0.157039,40000,0.157039,False,False,10.489999771118164,0.157039,1.0,False,,True,False,False,False,False,False,False,False,1.511136,0.668168,0.728767,0.534541,0.587037,0.511129,0.429998,0.50107775,0.6012932999999999,0.50107775,0.6012932999999999
CSCL,CSCO,2.023655,202,ols,0.097609,3000,0.097609,False,False,32.48699951171875,0.097609,1.0,False,,True,False,False,False,False,False,False,False,0.531967,0.190731,0.251966,0.065757,0.165935,0.09312200000000001,0.068326,0.50591375,0.6070965,0.50591375,0.6070965
GGLL,GOOGL,1.994828,500,ols,,0,,False,True,106.5,,1.0,False,,False,False,False,False,False,False,True,False,0.575336,0.191197,0.287429,0.081976,0.191197,0.191197,0.191197,0.498707,1.0,0.5,1.0
HODU,HOOD,2.007897,99,ols,0.105828,20000,0.105828,False,False,10.890000343322754,0.105828,1.0,False,,True,False,False,False,False,False,False,False,1.453532,0.647549,0.667884,0.451367,0.528439,0.541721,0.42261099999999996,0.50197425,0.6023690999999999,0.50197425,0.6023690999999999
LINT,INTC,1.991183,99,ols,0.130739,20000,0.130739,False,False,68.6500015258789,0.130739,1.0,False,,True,False,False,False,False,False,False,False,1.453856,0.608058,0.635391,0.398398,0.480764,0.477319,0.35002500000000003,0.49779575,0.5973548999999999,0.5,0.5973548999999999
ELIL,LLY,1.992986,263,ols,0.109012,10000,0.109012,False,False,18.660999298095703,0.109012,1.0,False,,True,False,False,False,False,False,False,False,0.828372,0.275102,0.415774,0.171054,0.275102,0.16609000000000002,0.16609000000000002,0.4982465,0.5978958,0.5,0.5978958
LMTL,LMT,1.998325,173,ols,0.211272,40000,0.211272,False,False,45.625999450683594,0.211272,1.0,False,,True,False,False,False,False,False,False,False,0.483013,0.160174,0.260113,0.067489,0.131118,-0.05109799999999998,-0.08015399999999998,0.49958125,0.5994974999999999,0.5,0.5994974999999999
METU,META,1.998368,464,ols,0.069712,450000,0.069712,False,False,30.549999237060547,0.069712,1.0,False,,True,False,False,False,False,False,False,False,0.717555,0.239618,0.358241,0.128023,0.239618,0.169906,0.169906,0.499592,0.5995104,0.5,0.5995104
MRVU,MRVL,2.008669,42,ols,0.30494299999999996,3000,0.30494299999999996,False,False,60.97999954223633,0.30494299999999996,1.0,False,,True,False,False,False,False,False,False,False,1.441119,0.563774,0.575495,0.335514,0.373557,0.25883100000000003,0.06861400000000001,0.50216725,0.6026006999999999,0.50216725,0.6026006999999999
MSFU,MSFT,1.992325,500,ols,0.034741,350000,0.034741,False,False,28.190000534057617,0.034741,1.0,False,,True,False,False,False,False,False,False,False,0.493815,0.161484,0.24614,0.059889,0.161484,0.126743,0.126743,0.49808125,0.5976975,0.5,0.5976975
MUU,MU,1.993861,377,ols,0.053274,10000,0.053274,False,False,213.8000030517578,0.053274,1.0,False,,True,False,False,False,False,False,False,False,1.174761,0.518859,0.588503,0.343153,0.518859,0.46558499999999997,0.46558499999999997,0.49846525,0.5981583,0.5,0.5981583
NFXL,NFLX,1.995759,382,ols,0.042809999999999994,55000,0.042809999999999994,False,False,37.470001220703125,0.042809999999999994,1.0,False,,True,False,False,False,False,False,False,False,0.652685,0.226992,0.325536,0.1053,0.226992,0.184182,0.184182,0.49893975,0.5987277,0.5,0.5987277
NVDU,NVDA,1.987259,500,ols,0.048581000000000006,50000,0.048581000000000006,False,False,124.56999969482422,0.048581000000000006,1.0,False,,True,False,False,False,False,False,False,False,0.694219,0.34597,0.348166,0.118913,0.34597,0.297389,0.297389,0.49681475,0.5961777,0.5,0.5961777
ORCU,ORCL,2.004198,99,ols,0.12372999999999999,200000,0.12372999999999999,False,False,12.489999771118164,0.12372999999999999,1.0,False,,True,False,False,False,False,False,False,False,1.142994,0.401458,0.614166,0.379578,0.388174,0.277728,0.264444,0.5010495,0.6012594,0.5010495,0.6012594
PALU,PANW,2.005153,263,ols,,0,,False,True,12.989999771118164,,1.0,False,,False,False,False,False,False,False,True,False,0.695117,0.249155,0.346694,0.121127,0.249155,0.249155,0.249155,0.50128825,1.0,0.50128825,1.0
PLTU,PLTR,1.991952,334,ols,0.065026,250000,0.065026,False,False,41.18000030517578,0.065026,1.0,False,,True,False,False,False,False,False,False,False,1.075583,0.501263,0.538703,0.286707,0.501263,0.436237,0.436237,0.497988,0.5975855999999999,0.5,0.5975855999999999
QCMU,QCOM,2.002249,202,ols,0.05439600000000001,40000,0.05439600000000001,False,False,15.418000221252441,0.05439600000000001,1.0,False,,True,False,False,False,False,False,False,False,0.637331,0.219075,0.322532,0.104378,0.196318,0.164679,0.141922,0.50056225,0.6006747,0.50056225,0.6006747
SHPU,SHOP,2.010871,173,ols,0.085638,15000,0.085638,False,False,15.680000305175781,0.085638,1.0,False,,True,False,False,False,False,False,False,False,1.036481,0.352655,0.550563,0.30808,0.338681,0.267017,0.253043,0.50271775,0.6032612999999999,0.50271775,0.6032612999999999
