ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
AAPU,AAPL,1.986462,500,ols,0.111622,100000,0.111622,False,False,30.059999465942383,0.111622,1.0,False,True,False,False,False,False,False,False,False,0.47635,0.172616,0.237668,0.055344,0.172616,0.0609939999999999,0.0609939999999999,0.4966155,0.5959386,0.5,0.5959386,0.111622,ETF_LS,849.1348412168687,-427.4609034639821,core_leveraged
AMUU,AMD,2.007349,259,ols,0.050919,20000,0.050919,False,False,78.4000015258789,0.050919,1.0,False,True,False,False,False,False,False,False,False,1.171972,0.493084,0.584814,0.345787,0.493084,0.442165,0.442165,0.50183725,0.6022047,0.50183725,0.6022047,0.050919,ETF_LS,5771.289104665893,-2875.0800706134773,core_leveraged
AMZU,AMZN,1.988915,500,ols,0.159354,100000,0.159354,False,False,38.16999816894531,0.159354,1.0,False,True,False,False,False,False,False,False,False,0.628369,0.21118,0.31515,0.097674,0.21118,0.051826,0.051826,0.49722875,0.5966745,0.5,0.5966745,0.159354,ETF_LS,849.485658017011,-427.11008666383987,core_leveraged
ASMU,ASML,2.005354,44,ols,0.117612,300,0.117612,False,False,23.3799991607666,0.117612,1.0,False,True,False,False,False,False,False,True,False,0.963569,0.326847,0.391139,0.154221,0.184362,0.209235,0.0667499999999999,0.5013385,0.6016062,0.5013385,0.6016062,0.117612,ETF_LS,851.821909491768,-424.7738351890828,core_leveraged
AVL,AVGO,1.986509,378,ols,0.053894,100000,0.053894,False,False,53.70000076293945,0.053894,1.0,False,True,False,False,False,False,False,False,False,0.853188,0.375338,0.427061,0.178707,0.375338,0.321444,0.321444,0.49662725,0.5959527,0.5,0.5959527,0.053894,ETF_LS,3942.752602960374,-1984.7645306214943,core_leveraged
BOEU,BA,1.993075,246,ols,0.0529889999999999,10000,0.0529889999999999,False,False,36.62929916381836,0.0529889999999999,1.0,False,True,False,False,False,False,False,False,False,0.601248,0.189749,0.306954,0.093244,0.187451,0.13676,0.134462,0.49826875,0.5979224999999999,0.5,0.5979224999999999,0.0529889999999999,ETF_LS,1262.2853479523212,-633.3355984859181,core_leveraged
BABU,BABA,2.034769,43,ols,0.051355,6000,0.051355,False,False,16.450000762939453,0.051355,1.0,False,True,False,False,False,False,False,False,False,0.755305,0.225446,0.432282,0.196726,0.201627,0.174091,0.150272,0.50869225,0.6104306999999999,0.50869225,0.6104306999999999,0.051355,ETF_LS,1541.8397269743523,-757.746813999207,core_leveraged
CONX,COIN,2.004451,100,ols,0.129976,20000,0.129976,False,False,10.920000076293944,0.129976,1.0,False,True,False,False,False,False,False,False,False,1.505175,0.667082,0.728989,0.534978,0.5874,0.537106,0.457424,0.50111275,0.6013353,0.50111275,0.6013353,0.129976,ETF_LS,3706.702018091465,-1849.235535361785,core_leveraged
CSCL,CSCO,2.022309,203,ols,0.10239,3000,0.10239,False,False,34.08190155029297,0.10239,1.0,False,True,False,False,False,False,False,False,False,0.533242,0.195279,0.253138,0.066239,0.170188,0.092889,0.067798,0.50557725,0.6066927,0.50557725,0.6066927,0.10239,ETF_LS,854.2048691347533,-422.3908755460977,core_leveraged
GGLL,GOOGL,1.994823,500,ols,0.084726,100000,0.084726,False,False,105.61000061035156,0.084726,1.0,False,True,False,False,False,False,False,False,False,0.575133,0.192132,0.287357,0.081934,0.192132,0.107406,0.107406,0.49870575,0.5984469,0.5,0.5984469,0.084726,ETF_LS,850.3282341532334,-426.2675105276175,core_leveraged
HODU,HOOD,2.007934,100,ols,0.105756,3000,0.105756,False,False,10.739999771118164,0.105756,1.0,False,True,False,False,False,False,False,False,False,1.446243,0.655041,0.667909,0.451426,0.532226,0.549285,0.4264699999999999,0.5019835,0.6023802,0.5019835,0.6023802,0.105756,ETF_LS,3959.1000282600894,-1971.728168485662,core_leveraged
LINT,INTC,1.990478,100,ols,0.138203,6000,0.138203,False,False,75.9000015258789,0.138203,1.0,False,True,False,False,False,False,False,False,False,1.453774,0.621405,0.636876,0.399836,0.48776,0.483202,0.349557,0.4976195,0.5971434,0.5,0.5971434,0.138203,ETF_LS,1908.5420188253474,-958.8360277407475,core_leveraged
ELIL,LLY,1.993004,264,ols,0.109299,10000,0.109299,False,False,18.579700469970703,0.109299,1.0,False,True,False,False,False,False,False,False,False,0.826264,0.277065,0.414778,0.17024,0.277065,0.167766,0.167766,0.498251,0.5979012,0.5,0.5979012,0.109299,ETF_LS,850.069169814646,-426.52657486620495,core_leveraged
METU,META,1.998351,465,ols,0.06972,450000,0.06972,False,False,31.0,0.06972,1.0,False,True,False,False,False,False,False,False,False,0.716249,0.240182,0.357536,0.127516,0.240182,0.170462,0.170462,0.49958775,0.5995053,0.5,0.5995053,0.06972,ETF_LS,1299.567318754674,-650.3198480920889,core_leveraged
MRVU,MRVL,2.009423,43,ols,0.408828,4000,0.408828,False,False,59.65520095825195,0.408828,1.0,False,False,True,False,False,True,True,False,False,1.428836,0.586443,0.575085,0.335412,0.378247,0.177615,-0.030581,0.50235575,0.6028268999999999,0.50235575,0.6028268999999999,0.408828,ETF_LS,0.0,0.0,
MSFU,MSFT,1.99207,500,ols,0.036892,100000,0.036892,False,False,29.3799991607666,0.036892,1.0,False,True,False,False,False,False,False,False,False,0.495585,0.162464,0.247077,0.060323,0.162464,0.125572,0.125572,0.4980175,0.597621,0.5,0.597621,0.036892,ETF_LS,1599.4484933392307,-802.9077760014611,core_leveraged
MUU,MU,1.993864,378,ols,0.0617659999999999,30000,0.0617659999999999,False,False,214.4600067138672,0.0617659999999999,1.0,False,True,False,False,False,False,False,False,False,1.174467,0.519707,0.588389,0.343022,0.519707,0.457941,0.457941,0.498466,0.5981592,0.5,0.5981592,0.0617659999999999,ETF_LS,5689.271995051999,-2853.3901986554743,core_leveraged
NFXL,NFLX,1.995761,383,ols,0.04234,6000,0.04234,False,False,37.47999954223633,0.04234,1.0,False,True,False,False,False,False,False,False,False,0.6521,0.227782,0.325262,0.105124,0.227782,0.185442,0.185442,0.49894025,0.5987283,0.5,0.5987283,0.04234,ETF_LS,2308.312424765314,-1156.6076422804706,core_leveraged
NVDU,NVDA,1.987424,500,ols,0.048906,25000,0.048906,False,False,124.01000213623048,0.048906,1.0,False,True,False,False,False,False,False,False,False,0.694252,0.3457,0.348175,0.118949,0.3457,0.296794,0.296794,0.496856,0.5962272,0.5,0.5962272,0.048906,ETF_LS,3730.1935959203934,-1876.898737219835,core_leveraged
ORCU,ORCL,2.004471,100,ols,0.134764,200000,0.134764,False,False,13.75,0.134764,1.0,False,True,False,False,False,False,False,False,False,1.149518,0.406634,0.615885,0.381862,0.391692,0.27187,0.256928,0.50111775,0.6013413,0.50111775,0.6013413,0.134764,ETF_LS,851.6970704447372,-424.8986742361137,core_leveraged
PALU,PANW,2.005023,264,ols,,0,,False,True,13.42389965057373,,1.0,False,False,False,False,False,False,False,True,False,0.69568,0.250849,0.346992,0.121312,0.250849,0.250849,0.250849,0.50125575,1.0,0.50125575,1.0,,ETF_LS,4478.323097592067,-2233.551982990752,core_leveraged
PLTU,PLTR,1.991949,335,ols,0.058516,200000,0.058516,False,False,41.470001220703125,0.058516,1.0,False,True,False,False,False,False,False,False,False,1.071843,0.502385,0.536934,0.284826,0.502385,0.4438689999999999,0.4438689999999999,0.49798725,0.5975847,0.5,0.5975847,0.058516,ETF_LS,5580.182018928166,-2801.3679160099814,core_leveraged
QCMU,QCOM,2.002157,203,ols,0.056533,15000,0.056533,False,False,15.729999542236328,0.056533,1.0,False,True,False,False,False,False,False,False,False,0.636212,0.220605,0.322704,0.104475,0.198024,0.164072,0.141491,0.50053925,0.6006471,0.50053925,0.6006471,0.056533,ETF_LS,1262.4107270271752,-630.5253419323136,core_leveraged
SHPU,SHOP,2.010858,174,ols,0.091407,10000,0.091407,False,False,15.56999969482422,0.091407,1.0,False,True,False,False,False,False,False,False,False,1.033502,0.352092,0.550429,0.307924,0.338421,0.260685,0.247014,0.5027145,0.6032573999999999,0.5027145,0.6032573999999999,0.091407,ETF_LS,1780.2921665395004,-885.339574718603,core_leveraged
SOFA,SOFI,1.984803,44,ols,0.047471,4000,0.047471,False,False,18.910999298095703,0.047471,1.0,False,True,False,False,False,False,False,False,False,0.903984,0.307606,0.536988,0.281816,0.286319,0.260135,0.238848,0.49620075,0.5954409,0.5,0.5954409,0.047471,ETF_LS,2932.86554545451,-1477.660778150028,core_leveraged
