underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
AAOI,"AAOI, AAOX",9455.163915000005,111090.756085,2
CRML,"CRML, CRMU, CRMX",8241.32038338999,170808.97961660998,3
MU,"MU, MULL, MUU",5011.352792820905,28246.094685520908,3
FLY,"FLY, FLYT",4973.7696622,41999.3503378,2
LUNR,"LUNL, LUNR",4130.051882129999,32945.08811787,2
NVTS,"NVTS, NVTX",4112.031013699998,59451.3689863,2
SMCI,"SMCI, SMCL, SMCX",4086.1062651599977,22515.065848439997,3
ONDS,"ONDG, ONDL, ONDS",3758.5355474000007,42949.5244526,3
RCAT,"RCAT, RCAX",3407.751475000001,43428.028525,2
RIOT,"RIOT, RIOX",3032.6825293099946,10077.821630449995,2
HOOD,"HODU, HOOD, HOOG, HOOX, ROBN",1928.278932536994,33472.843696412994,5
OKLO,"OKLL, OKLO",1707.0683786000009,26792.1316214,2
BMNR,"BMNG, BMNR, BMNU",1619.2063116000008,33114.1936884,3
IONQ,"IONL, IONQ, IONX, QPUX",1502.513041653996,32101.091242211594,4
TSM,"TSM, TSMG, TSMU",1433.5903306050018,6509.5353441450025,3
BULL,"BULG, BULL",1372.949227776,3401.6107722240004,2
MARA,"MARA, MRAL",1261.4356283894995,3212.6444555894996,2
BBAI,"BAIG, BBAI",1159.9759227960003,14351.524077204,2
XRPZ,"UXRP, XRPT, XRPZ, XXRP",1105.0600620799996,21162.91993792,4
GEMI,"GEMG, GEMI",1084.7664511880012,13603.213548812,2
META,"FBL, META, METU",1001.2818672699971,3594.5333850499974,3
AVAV,"AVAV, AVXX",863.3786924000005,9124.401307600001,2
OPEN,"OPEG, OPEN, OPEX",761.5578647744005,14449.5621352256,3
TSUI,"TSUI, TXXS",736.8625262555006,13797.037473744502,2
PL,"PL, PLU",730.8634049999991,16703.756595,2
APP,"APP, APPX",704.5089946999992,8683.2910053,2
HIMS,"HIMS, HIMZ",697.9809288799988,20041.45154392,2
RDW,"RDW, RDWU",676.4793724499996,9765.56062755,2
BLSH,"BLSG, BLSH",661.3657760000001,6815.454223999999,2
SBET,"SBET, SBTU",604.9732725000003,10737.1867275,2
QUBT,"QUBT, QUBX",509.1658188399988,16460.234181159998,2
SNAP,"SNAG, SNAP",504.8297790719996,3912.1902209279997,2
UEC,"UEC, UECG",484.56482857600076,14036.455171424,2
HUT,"HUT, HUTG",480.31921398500344,29537.600786015,2
PLTR,"PLTA, PLTG, PLTR, PLTU, PTIR",468.45141501999956,8374.54858498,5
CLSK,"CLSK, CLSX",453.6445679999997,22789.755431999998,2
ORCL,"ORCL, ORCU, ORCX",451.02780403999964,6551.772195959999,3
TDOG,"TDOG, TXXD",438.92140505999987,6352.2385949399995,2
GLXY,"GLGG, GLXU, GLXY",409.28036113000053,29729.919638869997,3
RKT,"RKT, RKTL",401.0898000000002,6962.590200000001,2
ETHA,"ETHA, ETHT, ETHU, ETU",392.7072948699997,22279.45270513,4
SOUN,"SOUN, SOUX",375.62302622079983,3201.9769737792003,2
ZETA,"ZETA, ZETX",342.4070814700003,5050.832918529999,2
GDX,"GDX, GDXU, NUGT",331.51821178,6835.20178822,3
NOW,"NOW, NOWL",295.0191907000001,2123.2408093000004,2
AVGO,"AVGG, AVGO, AVL",287.3285809799995,4418.2314190199995,3
GDXJ,"GDXJ, JNUG",273.1697807999999,3122.6702192000002,2
FIGR,"FGRU, FIGR",268.9603286199995,7992.59967138,2
