underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
NBIS,NBIZ,-2.036414,0.0,6563.642318769344,0.0,0.0,0.0,-129.65,25.75950191195087,0.0,0.0,6459.751820681295,bucket_4,
QBTS,QBTZ,-1.997626,0.0,6767.017282244675,0.0,0.0,0.0,-468.73,43.40376535593235,0.0,0.0,6341.691047600608,bucket_4,
CRCL,CRCD,-1.986863,0.0,3851.8502023462916,0.0,0.0,0.0,-469.75,19.043478860661676,0.0,0.0,3401.1436812069533,bucket_4,
CRWV,CORD,-2.006075,0.0,1637.9846346535717,0.0,0.0,0.0,-329.71,32.502713916559884,0.0,0.0,1340.7773485701316,bucket_4,
IREN,IREZ,-2.007181,0.0,2098.2187548278675,0.0,0.0,0.0,-829.64,34.44793508115843,0.0,0.0,1303.0266899090261,bucket_4,
LITE,LITZ,-2.001862,0.0,552.0410839297219,0.0,0.0,0.0,-31.240000000000002,29.004753504035598,0.0,0.0,549.8058374337575,bucket_4,
MSTR,SMST,-1.965471,0.0,537.970973476304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.970973476304,bucket_4,
XLK,WEBS,-2.736337,313.26477971,0.0,0.0,0.0,0.0,-1.1875,0.0,0.0,0.0,312.07727971,bucket_4,
AMD,DAMD,-2.028006,0.0,207.05031765250055,0.0,0.0,0.0,-7.65,5.514279127470641,0.0,0.0,204.9145967799712,bucket_4,
COIN,CONI,-1.925645,0.0,208.95859106216585,0.0,0.0,0.0,-14.85,1.214361785775885,0.0,0.0,195.32295284794174,bucket_4,
QQQ,QID,-1.995491,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078,bucket_4,
BE,BEZ,-2.00832,0.0,779.752919011826,0.0,0.0,0.0,-792.99,20.291514321382515,0.0,0.0,7.054433333208408,bucket_4,
MU,MUZ,-2.0,4.4114826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4114826,bucket_4,
CELH,CELT,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
HOOD,HOOZ,-2.009412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
BMNR,BMNZ,-1.985662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
DKNG,DKUP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
LYFT,LYFX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
