etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.026426,0.75
ASTN,ASTS,-1.990909,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.015859,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991529,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-1.99689,0.75
CONI,COIN,-1.924835,0.75
CRCD,CRCL,-1.99698,0.75
CORD,CRWV,-2.009055,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002228,0.75
SDOW,DIA,-2.999205,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.011432,0.75
BTCZ,IBIT,-1.998404,0.75
IONZ,IONQ,-2.019305,0.75
IREZ,IREN,-2.012787,0.75
TWM,IWM,-2.002784,0.75
TZA,IWM,-2.997449,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.002757,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.966261,0.75
MSTZ,MSTR,-1.992828,0.75
SMST,MSTR,-1.967601,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.039561,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.002189,0.75
NVDS,NVDA,-1.495817,0.75
OKLS,OKLO,-2.002698,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.000574,0.75
QID,QQQ,-1.995851,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.990273,0.75
RKLZ,RKLB,-2.0005,0.75
SMCZ,SMCI,-2.011758,0.75
SNDQ,SNDK,-2.027287,0.75
HIBS,SPHB,-3.006749,0.75
SPXS,SPY,-2.994521,0.75
SPXU,SPY,-2.992753,0.75
UVIX,SVIX,-1.989417,0.75
TBT,TLT,-1.998357,0.75
TBX,TLT,-1.370886,0.75
TMV,TLT,-2.989595,0.75
TSDD,TSLA,-2.009068,0.75
STSM,TSM,-2.00009,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.742276,0.75
DUG,XLE,-1.990611,0.75
SKF,XLF,-1.997979,0.75
FNGD,XLK,-2.911118,0.75
REW,XLK,-2.007965,0.75
TECS,XLK,-2.999267,0.75
WEBS,XLK,-2.754944,0.75
DRIP,XOP,-1.995553,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
