underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
AMD,semis,override,1.0,letf,2.9068621008108337,computed,28727.620034005,80581.579965995
IBIT,crypto,override,1.0,letf,1.802702866980832,computed,27991.14516246,80758.85483754
QBTS,quantum,override,1.0,letf,4.077310935356446,computed,27380.1098158696,53254.4424321304
MSTR,crypto-equity,override,1.0,letf,3.0464572926156737,computed,17832.051425619997,76236.12242398
IREN,crypto-equity,override,1.0,letf,3.374373396812159,computed,16927.032027160003,99034.8259162
NBIS,software,override,1.0,letf,3.1657766037233936,computed,13976.952571679998,100156.82071728
CRWV,software,override,1.0,letf,2.920453197830077,computed,12286.841493479998,84603.59458752
SMCI,semis,override,1.0,letf,3.5451785510948364,computed,9767.609710567996,47685.190289432
META,mega-cap-tech,override,1.0,letf,1.4465829767171845,computed,7800.209223589998,42819.03077641
CRML,metals,override,1.0,letf,3.6140463211839493,computed,6470.590066739198,120165.0099332608
IONQ,quantum,override,1.0,letf,3.359187887182876,computed,5500.191983310005,70259.96801668999
CRCL,software,override,1.0,letf,3.033920107686827,computed,5192.878115790001,61105.14406495
GRAB,consumer,override,1.0,letf,1.4804500668873135,computed,4420.5,4420.5
EOSE,clean,override,1.0,letf,3.844981710659709,computed,4368.507299519999,45002.37270048
NOK,industrials,override,1.0,letf,1.4509702478342,computed,4114.67,4114.67
AAL,industrials,override,1.0,letf,1.7998231824986162,computed,2544.6600000000003,2544.6600000000003
RCAT,drones,override,1.0,letf,3.4425252927923906,computed,2383.5536149752043,45599.046385024805
CIFR,crypto-equity,override,1.0,letf,3.984591099129745,computed,2083.007240229701,35441.7927597703
LUNR,space,override,1.0,letf,3.5099023294971254,computed,2037.503895599999,31266.4561044
USAR,industrials,override,1.0,letf,3.040864297428169,computed,1876.2866878399984,20883.81331216
ONDS,drones,override,1.0,letf,3.4686835559571576,computed,1754.3072494800008,34070.44275052
OKLO,nuclear,override,1.0,letf,3.9422013919229637,computed,1568.1841472000033,31401.015852800003
BE,clean,override,1.0,letf,4.162849671111322,computed,1539.3384437399943,69022.46155626
UUUU,nuclear,override,1.0,letf,2.677426564567237,computed,1369.329052000001,20085.350948
LITE,semis,override,1.0,letf,2.730328158734172,computed,1285.4550442399996,37878.50495576
CVNA,consumer,override,1.0,passive_low_delta,2.31905558736976,computed,1267.0,1267.0
BMNR,crypto-equity,override,1.0,letf,5.025233074402912,computed,1231.778497440001,32823.86150256
QUBT,quantum,override,1.0,letf,3.657343380536942,computed,1127.9472525,15099.2527475
SBET,crypto-equity,override,1.0,letf,3.552236004355174,computed,1110.4765049999987,13481.643495
KEEL,industrials,override,1.0,letf,4.003667720688266,computed,1091.413631759999,37034.34636824
COIN,crypto-equity,override,1.0,letf,3.114041313298173,computed,1077.3446189699898,117314.05538103
LLY,healthcare,override,1.0,letf,0.45616521652183495,computed,1021.41,1021.41
HUT,crypto-equity,override,1.0,letf,4.566000476906745,computed,999.055652057601,26247.4643479424
