etf,underlying,beta,partial_hedge_ratio
DAMD,AMD,-2.028509,0.75
ASTN,ASTS,-1.998727,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.002607,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.989476,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.019223,0.75
CONI,COIN,-1.924088,0.75
CRCD,CRCL,-2.013483,0.75
CORD,CRWV,-2.007641,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002451,0.75
SDOW,DIA,-2.999548,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.994485,0.75
BTCZ,IBIT,-1.999497,0.75
IONZ,IONQ,-2.018068,0.75
IREZ,IREN,-2.004458,0.75
TWM,IWM,-2.000392,0.75
TZA,IWM,-2.996043,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.991426,0.75
MSTZ,MSTR,-2.002662,0.75
SMST,MSTR,-1.97665,0.75
NBIZ,NBIS,-2.028521,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.004568,0.75
NVDS,NVDA,-1.489636,0.75
OKLS,OKLO,-1.998346,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.99558,0.75
QID,QQQ,-1.996713,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.981771,0.75
RKLZ,RKLB,-2.017481,0.75
SMCZ,SMCI,-2.024287,0.75
SMZ,SMR,-1.995586,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.004482,0.75
SPXS,SPY,-2.996338,0.75
SPXU,SPY,-2.994486,0.75
UVIX,SVIX,-1.98162,0.75
TBT,TLT,-1.997986,0.75
TBX,TLT,-1.370688,0.75
TMV,TLT,-2.989807,0.75
TSDD,TSLA,-2.011213,0.75
STSM,TSM,-2.006159,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.747614,0.75
DUG,XLE,-1.990921,0.75
SKF,XLF,-1.997951,0.75
FNGD,XLK,-2.918146,0.75
REW,XLK,-2.00474,0.75
TECS,XLK,-2.996103,0.75
WEBS,XLK,-2.797061,0.75
DRIP,XOP,-1.996941,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
