symbol,underlying,overlay_type,net_notional_usd,gross_notional_usd,n_legs
UVIX,SVIX,volatility_etp_bucket5,21118.325236316,21118.325236316,1
SVIX,SVIX,volatility_etp_bucket5,-22055.32,22055.32,1
