symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,-1.832884,0.0,0.0,-100.63,-11.59,0.05332515116262927,0.0,0.0,45.884956101162636
DUST,DIREXION DAILY GOLD MINERS I,0.0,6.078577,0.0,0.0,0.0,-0.01,0.017783126285038565,0.0,0.0,6.086360126285039
EWV,PROSHARES ULTSHRT MSCI JAPAN,0.0,5.645536,0.0,0.0,0.0,-0.12,0.11641406239728924,0.0,0.0,5.641950062397289
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,3.789706,0.0,0.0,0.0,-0.09,0.042398461851249986,0.0,0.0,3.74210446185125
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,2.589696,0.0,0.0,0.0,-0.12,0.052343929616928915,0.0,0.0,2.5220399296169287
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,2.228696,0.0,0.0,0.0,-0.06,0.08488172062620246,0.0,0.0,2.253577720626202
SDS,PROSHARES ULTRASHORT S&P500,0.0,2.199306,0.0,0.0,0.0,-0.18,0.1638034289007435,0.0,0.0,2.1831094289007433
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,0.103867,0.0,0.0,0.0,0.0,0.037504467968991415,0.0,0.0,0.14137146796899142
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,0.125034,0.0,0.0,-0.33,0.0,0.015118080111531424,0.0,0.0,-0.18984791988846858
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,-0.802046,0.0,0.0,0.0,0.0,0.025426963264506778,0.0,0.0,-0.7766190367354933
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,-1.020192,0.0,0.0,0.0,-0.03,0.01957597552903428,0.0,0.0,-1.0306160244709657
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,0.137413,0.0,0.0,-145.47,-6.640000000000001,0.02009687091749249,0.0,0.0,-47.528627869082506
