underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
IBIT,"BITU, BITX, BTCL, IBIT",1.218847158882317,3763.1389877527818,0.0,0.0,-10.59,-34.06,8.276940154467246,0.0,0.0,3727.984775066131
ETHA,"ETHA, ETHT, ETHU, ETU",1782.5645824974301,1449.232615826208,0.0,0.0,-6.55,-25.18,6.5643935052265014,0.0,0.0,3206.6315918288647
PANW,"PALU, PANG, PANW",1.2163816892194752,1805.3640458565292,0.0,0.0,0.0,-27.12,4.6127355818550875,0.0,0.0,1784.0731631276037
TSLA,"TSLA, TSLI, TSLL, TSLR, TSLT",16.918506534550204,1533.5872101645716,0.0,0.0,0.0,-47.879999999999995,7.0642177657998895,0.0,0.0,1509.6899344649219
AMD,"AMD, AMDG, AMDL, AMUU",0.9815229471843088,1517.3422701545765,0.0,0.0,0.0,-30.95,8.344599357439666,0.0,0.0,1495.7183924592005
PLTR,"PLTA, PLTR, PLTU, PTIR",-4.579313824604888,1440.2791212762402,0.0,0.0,0.0,-37.35,8.565480284763636,0.0,0.0,1406.915287736399
MSFT,"MSFL, MSFT, MSFU, MSFX",0.0,1265.3830979674435,0.0,0.0,0.0,-39.96,8.265779567071233,0.0,0.0,1233.6888775345146
SNOW,"SNOU, SNOW",0.0,1088.6738570811176,0.0,0.0,0.0,-11.76,2.551106926523491,0.0,0.0,1079.4649640076411
ALAB,"ALAB, LABX",-11.3464136,988.3486618700804,0.0,0.0,0.0,-13.35,2.4410172751451316,0.0,0.0,966.0932655452257
BA,"BA, BOEG, BOEU",0.0,904.0869844064356,0.0,0.0,0.0,-29.82,5.306380656146023,0.0,0.0,879.5733650625816
BABA,"BABA, BABU, BABX",0.0,794.4225002970693,0.0,0.0,0.0,-7.25,3.7810429009721243,0.0,0.0,790.9535431980414
APP,"APP, APPX",-80.94260628258834,792.4604489025495,0.0,0.0,0.0,-11.66,0.9449812646103126,0.0,0.0,700.8028238845714
MDB,"MDB, MDBX",0.0,712.0564712183868,0.0,0.0,0.0,-14.78,2.3808618874597482,0.0,0.0,699.6573331058466
UNH,"UNH, UNHG",0.0,564.5298867959276,0.0,0.0,0.0,-14.17,2.787423594326976,0.0,0.0,553.1473103902546
DKNG,"DKNG, DKUP",-81.31656572330331,633.2157748613466,0.0,0.0,0.0,-15.26,0.9390828614686797,0.0,0.0,537.5782919995121
CRWD,"CRWD, CRWL",0.0,524.0562269419723,0.0,0.0,0.0,-16.88,1.0919062057693334,0.0,0.0,508.26813314774165
NU,"NU, NUG",0.0,447.4090096686906,0.0,0.0,0.0,-7.01,2.099076380115874,0.0,0.0,442.4980860488065
XRPZ,"GXRP, UXRP, XXRP",-1440.0479320600002,1887.0271334090685,0.0,0.0,-11.16,-15.87,5.220039212577825,0.0,0.0,425.1692405616459
ENPH,"ENPH, ENPX",436.15916215,0.0,0.0,0.0,0.0,-14.26,0.0,0.0,0.0,421.89916215
AMZN,"AMZN, AMZU, AMZZ",-51.593563360000005,481.56751797014306,0.0,0.0,0.0,-25.46,5.796679471323348,0.0,0.0,410.31063408146633
IREN,"IREG, IREN",0.0,377.6579970010325,0.0,0.0,0.0,-19.62,3.0565858054312476,0.0,0.0,361.0945828064638
BLSH,"BLSH, BLSX",0.0,364.06555324091244,0.0,0.0,0.0,-16.64,2.7699305479129803,0.0,0.0,350.1954837888254
CRM,"CRM, CRMG",0.0,282.90579838954716,0.0,0.0,0.0,-9.36,3.1640176078133266,0.0,0.0,276.70981599736047
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU",0.059057165318056805,318.63840188747747,0.0,0.0,0.0,-59.66,10.839950914750363,0.0,0.0,269.8774099675459
GOOGL,"GGLL, GOOGL, GOOX",3.0028532862736417,280.48532710357944,0.0,0.0,0.0,-24.43,5.560975238523479,0.0,0.0,264.6191556283765
INTC,"INTC, INTW",0.0,270.89759587893104,0.0,0.0,0.0,-10.72,3.0433798040425715,0.0,0.0,263.2209756829736
AVGO,"AVGG, AVGO, AVL",0.0,292.17933611267586,0.0,0.0,0.0,-34.82,5.128530720289792,0.0,0.0,262.48786683296566
LLY,"ELIL, LLY",17.49173016271783,189.61358359291006,0.0,0.0,0.0,-19.95,1.4433725461946554,0.0,0.0,188.59868630182254
UBER,"UBER, UBRL",-20.7682281,167.0114254716945,0.0,0.0,0.0,-4.0,2.8341589256709625,0.0,0.0,145.0773562973655
UEC,"UEC, UECG",0.0,144.33001014020556,0.0,0.0,0.0,-2.62,2.668046336388908,0.0,0.0,144.37805647659445
RKT,"RKT, RKTL",0.0,139.96383320930028,0.0,0.0,0.0,-1.51,2.7516942551353716,0.0,0.0,141.20552746443565
QCOM,"QCMU, QCOM",-6.58924512,148.4489976455676,0.0,0.0,0.0,-8.02,2.873985038818802,0.0,0.0,136.71373756438646
TEM,"TEM, TEMT",-269.04081553,402.9919228978246,0.0,0.0,0.0,-18.21,2.4528021894865795,0.0,0.0,118.19390955731126
CSCO,"CSCL, CSCO",112.70561760281453,-1.4746638874216416,3.69,0.0,0.0,-14.8,2.6842788369702166,0.0,0.0,102.80523255236307
CMG,"CMG, CMGG",117.09194073999998,0.0,0.0,0.0,0.0,-15.68,0.0,0.0,0.0,101.41194074000003
CLS,"CLS, CSEX",-13.020731152405677,114.41744905832067,0.0,0.0,0.0,-9.97,0.5092367325221837,0.0,0.0,91.9359546384372
OPEN,"OPEG, OPEN",-257.1848309222786,349.96011914492976,0.0,0.0,0.0,-14.67,1.237647898717482,0.0,0.0,79.34293612136867
ISRG,"ISRG, ISUL",87.74365675000001,0.0,0.0,0.0,0.0,-8.56,0.0,0.0,0.0,79.18365675000001
CNC,"CNC, CNCG",73.47769074999997,0.0,0.0,0.0,0.0,-10.69,0.0,0.0,0.0,62.78769074999991
SOXX,"SOXL, SOXX",0.0,56.00407977973169,0.0,0.0,0.0,-0.31,2.0591016176953114,0.0,0.0,57.75318139742699
COST,"COST, COTG",0.0,68.37677835073775,4.240092703464859,0.0,0.0,-18.54,2.8292297157874806,0.0,0.0,56.90610076999008
ASTS,"ASTS, ASTX",40.112376772144124,0.0,0.0,0.0,0.0,-7.57,0.0,0.0,0.0,32.542376772144124
GLXY,"GLXU, GLXY",5.840784750000012,0.0,0.0,0.0,0.0,-4.68,0.0,0.0,0.0,1.1607847500000048
SOEZ,SOEZ,0.0,-2.9864410000031967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9864410000031967
SNAP,"SNAG, SNAP",-4.882207230000002,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,-5.212207230000001
LMT,"LMT, LMTL",6.314522499999953,0.0,0.0,0.0,0.0,-18.08,0.0,0.0,0.0,-11.765477500000088
PLUG,"PLUG, PLUL",0.0,-24.303297005926616,0.0,0.0,0.0,-0.4,0.5623045228841529,0.0,0.0,-24.140992483042464
