symbol,net_notional_usd,gross_notional_usd,n_legs
SDS,538.8700899199999,538.8700899199999,1
SQQQ,420.3345146,420.3345146,1
EWV,385.80517419999995,385.80517419999995,1
FAZ,258.66473904000003,258.66473904000003,1
LABD,209.70089000000002,209.70089000000002,1
SOXS,185.73826607999996,185.73826607999996,1
TSLQ,84.03959407999999,84.03959407999999,1
NVDQ,64.66207456,64.66207456,1
DUST,58.48077472,58.48077472,1
TSYY,-12.975880319999998,12.975880319999998,1
NVYY,-19.441157399999998,19.441157399999998,1
TQQY,-77.0113183734,77.0113183734,1
