pair,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
VRT (spot),0.0,2707.481629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2707.481629
TER (spot),0.0,2651.242972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.242972
XRPZ | XXRP,1652.83345397,287.819042,0.0,0.0,-11.16,-7.16,2.6079979761798855,0.0,0.0,1924.9404939461797
ETHA | ETHT,0.0,1878.132271,0.0,0.0,-1.55,-11.78,0.6794342038186549,0.0,0.0,1865.4817052038186
COIN | COIW,2003.50306779,0.0,0.0,0.0,-136.06,-13.67,0.0,0.0,0.0,1853.77306779
ETHA | ETHU,0.0,1750.101623,0.0,0.0,-5.0,-5.62,2.9472691302710454,0.0,0.0,1742.4288921302712
ALAB | LABX,-11.3464136,1752.484566,0.0,0.0,0.0,-13.35,2.4410172751451316,0.0,0.0,1730.2291696751454
SOEZ | SOLT,-0.47269883,1744.225058,0.0,0.0,-12.1,-5.19,2.8274518704857186,0.0,0.0,1729.2898110404858
AAPL (spot),13.82705432,1568.923689,21.84,0.0,0.0,0.0,0.0,0.0,0.0,1604.5907433199998
IBIT | BITU,0.0,1599.079662,0.0,0.0,-3.66,-5.42,2.7735754280801386,0.0,0.0,1592.7732374280802
XRPZ | UXRP,-0.28348017,1580.351364,0.0,0.0,0.0,-8.709999999999999,2.6120412363979404,0.0,0.0,1573.969925066398
PANW | PANG,0.0,1566.141323,0.0,0.0,0.0,-15.47,2.55062530287987,0.0,0.0,1553.2219483028798
ETHA | ETU,1780.90252921,-255.743747,0.0,0.0,0.0,-7.78,2.937690171136801,0.0,0.0,1520.316472381137
APP | APPX,0.0,1514.968693,0.0,0.0,0.0,-11.66,0.9449812646103126,0.0,0.0,1504.2536742646103
PANW | PALU,0.0,1487.605187,0.0,0.0,0.0,-11.65,2.062110278975217,0.0,0.0,1478.017297278975
DKNG | DKUP,318.62031275,1170.876943,0.0,0.0,0.0,-15.26,0.9390828614686797,0.0,0.0,1475.1763386114687
IBIT | BTCL,0.0,1481.902044,0.0,0.0,0.0,-11.2,2.739843935113925,0.0,0.0,1473.4418879351138
IBIT | BITX,0.0,1485.791731,0.0,0.0,-6.93,-17.44,2.763520791273182,0.0,0.0,1464.185251791273
HOOD | HOOY,1525.86069875,0.0,0.0,0.0,-160.41,-9.24,0.0,0.0,0.0,1356.21069875
SNOW | SNOU,0.0,1305.902,0.0,0.0,0.0,-11.76,2.551106926523491,0.0,0.0,1296.6931069265236
MDB | MDBX,0.0,1283.018652,0.0,0.0,0.0,-14.78,2.3808618874597482,0.0,0.0,1270.6195138874598
HOOD | HOOW,-34.7024433,1498.072209,0.0,0.0,-219.74,-4.0600000000000005,2.603276875278216,0.0,0.0,1242.1730425752783
TSM (spot),328.43494075,882.708115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.14305575
PYPL | PYPY,1294.27550389,0.0,0.0,0.0,-91.03,-11.91,0.0,0.0,0.0,1191.33550389
AMD | AMDG,0.0,1063.963893,0.0,0.0,0.0,-15.01,2.7638775495277157,0.0,0.0,1051.7177705495278
UNH | UNHG,0.0,1061.045754,0.0,0.0,0.0,-14.17,2.787423594326976,0.0,0.0,1049.663177594327
PLTR | PLTW,32.5453301,1200.189244,0.0,0.0,-185.37,-4.2,1.6903206099832608,0.0,0.0,1044.8548947099832
BABA | BABX,0.0,1020.282897,0.0,0.0,0.0,-3.72,2.61399746082697,0.0,0.0,1019.176894460827
NBIS (spot),42.28176775,974.768543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.05031075
PLTR | PTIR,-0.79478333,981.525583,0.0,0.0,0.0,-8.4,2.8628066135100623,0.0,0.0,975.1936062835101
PLTR | PLTA,-1.74661902,985.613219,0.0,0.0,0.0,-17.24,2.851461701015874,0.0,0.0,969.4780616810158
GDX (spot),0.0,960.15624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.15624
XYZ | XYZY,1112.99321044,0.0,0.0,0.0,-145.49,-9.73,0.0,0.0,0.0,957.77321044
CRWD | CRWL,0.0,957.174319,0.0,0.0,0.0,-16.88,1.0919062057693334,0.0,0.0,941.3862252057693
CELH (spot),0.0,923.66028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.66028
CVNA | CVNY,1060.05958389,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,896.02958389
MU (spot),0.0,889.441315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.441315
NU | NUG,0.0,884.881238,0.0,0.0,0.0,-7.01,2.099076380115874,0.0,0.0,879.970314380116
CRWV (spot),15.10061921,848.690087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.7907062099999
MSTR | MSTW,199.91852463,948.471149,0.0,0.0,-285.4,-15.47,1.4851965055678868,0.0,0.0,849.0048701355679
CEG (spot),0.0,835.579715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.579715
AMZN | AMZW,917.96394275,0.0,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,808.3839427500001
MSFT | MSFX,0.0,808.675737,0.0,0.0,0.0,-16.11,2.2617284143289456,0.0,0.0,794.8274654143289
CNC | CNCG,801.76991375,0.0,0.0,0.0,0.0,-10.69,0.0,0.0,0.0,791.07991375
MSFT | MSFL,0.0,792.778725,0.0,0.0,0.0,-10.95,2.866166087073594,0.0,0.0,784.6948910870735
AMD | AMDL,0.0,774.006139,0.0,0.0,0.0,-10.08,2.80156311314835,0.0,0.0,766.7277021131483
AMD | AMDY,896.15158561,0.0,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,762.54158561
GEV (spot),0.0,761.232543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.232543
AMD | AMUU,0.0,737.3759,0.0,0.0,0.0,-5.86,2.7791586947636,0.0,0.0,734.2950586947636
LMT (spot),724.63081675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.63081675
OPEN | OPEG,0.0,727.137117,0.0,0.0,0.0,-14.67,1.237647898717482,0.0,0.0,713.7047648987175
MARA | MARO,0.0,1011.375868,-9.29,0.0,-282.82,-9.43,2.7418358353684082,0.0,0.0,712.5777038353684
ENPH (spot),707.53597985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.53597985
MSFT | MSFW,38.27551575,760.126131,0.0,0.0,-92.58,-2.0,1.888678199504302,0.0,0.0,705.7103249495042
RDDT | RDYY,806.40119775,0.0,0.0,0.0,-105.7,-10.620000000000001,0.0,0.0,0.0,690.08119775
CRM | CRMG,0.0,693.229605,0.0,0.0,0.0,-9.36,3.1640176078133266,0.0,0.0,687.0336226078133
AI | AIYY,883.84601372,0.0,0.0,0.0,-176.57999999999998,-20.3,0.0,0.0,0.0,686.9660137200001
IBIT | XBTY,0.0,1051.094775,0.0,0.0,-362.53999999999996,-12.02,5.311922301033121,0.0,0.0,681.8466973010331
BLSH | BLSX,0.0,688.062315,0.0,0.0,0.0,-16.64,2.7699305479129803,0.0,0.0,674.192245547913
BA | BOEG,0.0,673.123509,0.0,0.0,0.0,-15.51,2.6578787261346823,0.0,0.0,660.2713877261347
SNOW | SNOY,734.35125347,0.0,0.0,0.0,-114.75,-12.7,0.0,0.0,0.0,606.9012534699999
AMZN | AMZY,708.26038009,0.0,0.0,0.0,-96.86,-8.2,0.0,0.0,0.0,603.20038009
BA | BOEU,0.0,606.47555,0.0,0.0,0.0,-14.31,2.6485019300113404,0.0,0.0,594.8140519300114
