underlying,net_notional_usd,gross_notional_usd,orphan_frac
QQQ,-17634.61,17634.61,1.0
DIA,-17610.48,17610.48,1.0
XLK,-16884.34,16884.34,1.0
CLSK,-10128.0,10128.0,1.0
