underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
MSTR,895.7082344400001,1632.9589999999998,-0.37,0.0,-1187.84,-119.94,18.15256318785884,0.0,0.0,1238.6697976278588
CRWV,181.83653027,511.50525500000003,0.0,0.0,0.0,-25.630000000000003,1.7305290095134795,0.0,0.0,669.4423142795138
ENPH,436.159162,0.0,0.0,0.0,0.0,-14.26,0.0,0.0,0.0,421.899162
META,666.85666064,-20.31300499999999,0.0,0.0,-337.87,-53.580000000000005,6.691947515980673,0.0,0.0,261.78560315598077
HOOD,1490.68620305,-884.8602559999999,0.0,0.0,-380.15,-13.8,1.8063136301073444,0.0,0.0,213.68226068010722
XRPZ,-1499.5541247400001,1712.596585,0.0,0.0,-11.16,-19.549999999999997,3.8202655688967297,0.0,0.0,186.15272582889656
MSFT,631.76421974,-242.29317899999967,0.0,0.0,-165.56,-68.94,6.898279787804567,0.0,0.0,161.8693205278047
COIN,347.46634131999974,0.0,0.0,0.0,-165.33,-21.759999999999998,0.0,0.0,0.0,160.37634131999977
MU,23.55844995,142.66122499999994,0.0,0.0,0.0,-10.76,1.734494533967259,0.0,0.0,157.19416948396713
INTC,-62.22877602,219.543211,0.0,0.0,0.0,-12.57,1.8076972533135,0.0,0.0,146.55213223331353
XLK,0.0,134.09545500000002,0.0,0.0,0.0,0.0,10.797735155902211,0.0,0.0,144.89319015590223
TSLA,261.39657538000006,312.36214499999994,0.0,0.0,-348.0,-100.75,6.514938573351413,0.0,0.0,131.52365895335126
AVGO,0.0,160.25900500000003,0.0,0.0,0.0,-39.239999999999995,3.6644894235058603,0.0,0.0,124.68349442350589
VRT,-261.38572532,395.0162720000003,0.0,0.0,0.0,-12.52,1.8495723294748807,0.0,0.0,122.96011900947542
NVDA,-113.24710862000002,587.175028,0.0,0.0,-267.89,-93.47999999999999,9.235322831465657,0.0,0.0,121.79324221146568
NBIS,-50.607662999999995,181.13464899999997,0.0,0.0,0.0,-10.88,1.5239510475875573,0.0,0.0,121.17093704758753
APP,-2e-08,130.84757100000002,0.0,0.0,0.0,-12.82,0.6463460031447618,0.0,0.0,118.67391698314486
PLTR,-452.6021205,797.3183450000001,0.0,0.0,-185.37,-48.52,7.367793572779422,0.0,0.0,118.19401807277922
ABNB,208.2108875,0.0,0.0,0.0,-78.46000000000001,-11.59,0.0,0.0,0.0,118.1608875
TSM,82.82289362,193.27660200000003,0.0,0.0,-138.64,-31.720000000000002,3.165540240167024,0.0,0.0,108.90503586016706
CMG,567.93314245,-446.53904100000005,0.0,0.0,0.0,-15.68,1.6319598647210496,0.0,0.0,107.34606131472106
BLSH,0.0,124.94066600000002,0.0,0.0,0.0,-20.13,2.12793490471955,0.0,0.0,106.93860090471958
IREN,0.0,127.52158099999997,0.0,0.0,0.0,-24.14,1.920417285912189,0.0,0.0,105.30199828591208
MDB,0.0,113.64598100000012,0.0,0.0,0.0,-17.29,1.60552016146074,0.0,0.0,97.961501161461
LLY,108.11969664999998,0.0,0.0,0.0,0.0,-22.3,0.0,0.0,0.0,85.81969664999997
