symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
LABD,flow_program,9581.384645279999,9581.384645279999,1
SOXS,flow_program,9490.55128482,9490.55128482,1
FAZ,flow_program,9436.468524599999,9436.468524599999,1
SQQQ,flow_program,9240.14713908,9240.14713908,1
EWV,flow_program,8764.99740454,8764.99740454,1
DUST,flow_program,8413.16828864,8413.16828864,1
NVDQ,flow_program,8257.22694099,8257.22694099,1
ZSL,flow_program,8194.92584274,8194.92584274,1
SDS,flow_program,8186.1127553999995,8186.1127553999995,1
TSLQ,flow_program,8170.043327,8170.043327,1
