ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.976224,499,ols,0.042575,-0.006274999999999999,0.048850000000000005,1000,0.048850000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.563281,0.16526,0.284684,0.078177,0.16526,0.11640999999999999,0.11640999999999999,0.494056,0.5928671999999999,0.5,0.5928671999999999
AMUU,AMD,2.007533,232,ols,0.021292,0.015007999999999999,0.006284,50000,0.006284,False,False,False,,True,False,False,False,True,False,False,False,False,1.311593,0.495921,0.557681,0.314531,0.481525,0.489637,0.47524099999999997,0.50188325,0.6022599,0.50188325,0.6022599
AMZU,AMZN,1.983474,499,ols,0.038552,-0.002252,0.040804,350000,0.040804,False,False,False,,True,False,False,False,True,False,False,False,False,0.628573,0.214787,0.316673,0.09781,0.214787,0.173983,0.173983,0.4958685,0.5950422,0.5,0.5950422
ASMU,ASML,2.002386,17,ols_short_history,0.047546,-0.011246,0.058792,10000,0.058792,False,False,False,,True,False,False,False,True,False,False,False,False,0.9095,,0.432819,0.188003,0.188003,,0.12921100000000002,0.5005965,0.6007158,0.5005965,0.6007158
AVL,AVGO,1.98735,351,ols,0.051012,-0.014712000000000001,0.065724,100000,0.065724,False,False,False,,True,False,False,False,True,False,False,False,False,1.085835,0.380244,0.534716,0.280519,0.380244,0.31452,0.31452,0.4968375,0.596205,0.5,0.596205
BOEU,BA,1.99091,219,ols,0.042027999999999996,-0.005728,0.04775599999999999,4000,0.04775599999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.57724,0.183782,0.349408,0.120426,0.175485,0.136026,0.127729,0.4977275,0.5972729999999999,0.5,0.5972729999999999
BABU,BABA,2.075303,16,ols_short_history,0.037317,-0.001017,0.038334,400,0.038334,False,False,False,,True,False,False,False,True,False,False,True,False,0.515146,,0.440482,0.21649,0.21649,,0.17815599999999998,0.51882575,0.6225909,0.51882575,0.6225909
BRKU,BRK-B,1.94467,308,ols,0.05907,-0.022770000000000002,0.08184,55000,0.08184,False,False,False,,True,False,False,False,True,False,False,False,False,0.362217,0.135503,0.172621,0.027371,0.135503,0.053663000000000016,0.053663000000000016,0.4861675,0.583401,0.5,0.583401
CONX,COIN,1.998683,73,ols,0.10020699999999999,-0.06390699999999999,0.16411399999999998,15000,0.16411399999999998,False,False,False,,True,False,False,False,True,False,False,False,False,1.587874,0.696719,0.798062,0.635645,0.653337,0.532605,0.48922299999999996,0.49967075,0.5996049,0.5,0.5996049
CSCL,CSCO,2.027776,176,ols,0.04903,-0.012729999999999998,0.061759999999999995,7000,0.061759999999999995,False,False,False,,True,False,False,False,True,False,False,False,False,0.535958,0.191422,0.235631,0.057857,0.15114,0.129662,0.08938,0.506944,0.6083327999999999,0.506944,0.6083327999999999
FRDU,F,1.980924,157,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.631479,0.208797,0.347871,0.117574,0.174407,,,0.495231,1.0,0.5,1.0
