ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.976224,499,ols
AMUU,AMD,2.0,2.007533,232,ols
AMZU,AMZN,2.0,1.983474,499,ols
ASMU,ASML,2.0,2.002386,17,ols_short_history
AVL,AVGO,2.0,1.98735,351,ols
BOEU,BA,2.0,1.99091,219,ols
BABU,BABA,2.0,2.075303,16,ols_short_history
BRKU,BRK-B,2.0,1.94467,308,ols
CONX,COIN,2.0,1.998683,73,ols
CSCL,CSCO,2.0,2.027776,176,ols
FRDU,F,2.0,1.980924,157,ols
GGLL,GOOGL,2.0,1.981698,499,ols
HODU,HOOD,2.0,2.007559,73,ols
LINT,INTC,2.0,1.987037,73,ols
ELIL,LLY,2.0,1.992304,237,ols
LMTL,LMT,2.0,1.982875,147,ols
METU,META,2.0,1.998806,438,ols
MRVU,MRVL,2.0,2.026714,16,ols_short_history
MSFU,MSFT,2.0,1.981598,499,ols
MUU,MU,2.0,1.993859,351,ols
NFXL,NFLX,2.0,1.997162,356,ols
NVDU,NVDA,2.0,1.978879,499,ols
ORCU,ORCL,2.0,2.009076,73,ols
PALU,PANW,2.0,2.005175,237,ols
PLTU,PLTR,2.0,1.991725,308,ols
QCMU,QCOM,2.0,2.003523,176,ols
SHPU,SHOP,2.0,2.009288,147,ols
SOFA,SOFI,2.0,2.023129,17,ols_short_history
TSLL,TSLA,2.0,1.98719,499,ols
TSMX,TSM,2.0,1.99419,356,ols
XOMX,XOM,2.0,1.963815,219,ols
YINN,FXI,2.0,2.974203,499,ols
MEXX,EWW,2.0,2.95529,499,ols
KORU,EWY,2.0,2.941365,499,ols
HIBL,SPY,2.0,4.486309,499,ols
LABU,XBI,2.0,2.987762,499,ols
SOXL,SOXX,2.0,2.960153,499,ols
CHAU,ASHR,2.0,1.967232,499,ols
CWEB,KWEB,2.0,1.986976,499,ols
ERX,XLE,2.0,1.986346,499,ols
NUGT,GDX,2.0,1.980279,499,ols
JNUG,GDXJ,2.0,1.970842,499,ols
GUSH,XOP,2.0,2.011179,499,ols
URAA,URA,2.0,1.930241,425,ols
MSTU,MSTR,2.0,1.965674,367,ols
