ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.977593,500,ols
AMUU,AMD,2.0,2.007903,239,ols
AMZU,AMZN,2.0,1.986642,500,ols
ASMU,ASML,2.0,1.997863,24,ols_short_history
AVL,AVGO,2.0,1.987163,358,ols
BOEU,BA,2.0,1.988941,226,ols
BABU,BABA,2.0,2.00022,23,ols_short_history
BRKU,BRK-B,2.0,1.944765,315,ols
CONX,COIN,2.0,1.998505,80,ols
CSCL,CSCO,2.0,2.027408,183,ols
FRDU,F,2.0,1.981916,164,ols
GGLL,GOOGL,2.0,1.989903,500,ols
HODU,HOOD,2.0,2.007594,80,ols
LINT,INTC,2.0,1.987159,80,ols
ELIL,LLY,2.0,1.99116,244,ols
LMTL,LMT,2.0,1.985335,154,ols
METU,META,2.0,1.998707,445,ols
MRVU,MRVL,2.0,2.02114,23,ols_short_history
MSFU,MSFT,2.0,1.989379,500,ols
MUU,MU,2.0,1.993934,358,ols
NFXL,NFLX,2.0,1.997109,363,ols
NVDU,NVDA,2.0,1.985503,500,ols
ORCU,ORCL,2.0,2.006005,80,ols
PALU,PANW,2.0,2.005166,244,ols
PLTU,PLTR,2.0,1.991764,315,ols
QCMU,QCOM,2.0,2.003556,183,ols
SHPU,SHOP,2.0,2.009769,154,ols
SOFA,SOFI,2.0,2.002977,24,ols_short_history
TSLL,TSLA,2.0,1.992143,500,ols
TSMX,TSM,2.0,1.994091,363,ols
XOMX,XOM,2.0,1.968994,226,ols
YINN,FXI,2.0,2.973571,500,ols
MEXX,EWW,2.0,2.957035,500,ols
KORU,EWY,2.0,2.936078,500,ols
HIBL,SPY,2.0,4.487737,500,ols
LABU,XBI,2.0,2.988173,500,ols
SOXL,SOXX,2.0,2.960322,500,ols
CHAU,ASHR,2.0,1.9672,500,ols
CWEB,KWEB,2.0,1.987202,500,ols
ERX,XLE,2.0,1.987148,500,ols
NUGT,GDX,2.0,1.980061,500,ols
JNUG,GDXJ,2.0,1.971859,500,ols
GUSH,XOP,2.0,2.010788,500,ols
URAA,URA,2.0,1.929793,432,ols
MSTU,MSTR,2.0,1.965736,374,ols
NVDX,NVDA,2.0,1.997776,500,ols
TSLT,TSLA,2.0,1.992919,500,ols
BTCL,IBIT,2.0,2.006408,423,ols
ETU,ETHA,2.0,1.989711,348,ols
CCUP,CRCL,2.0,1.982125,151,ols
CRWU,CRWV,2.0,1.989292,161,ols
