ETF,Underlying,inverse_etf_short_usd,inverse_short_solved_usd,underlying_short_usd,hedge_ratio,ratchet_binding,ratchet_source,ratchet_explain
LITZ,LITE,19858.827425958512,19858.827425958512,14026.470448097152,0.353196578424264,False,solve,ratchet disabled
SMZ,SMR,10919.320936173348,10919.320936173348,8959.82992360091,0.40916264558217363,False,solve,ratchet disabled
SNDQ,SNDK,10190.221636417255,10190.221636417255,8221.194077489252,0.3992326057104535,False,solve,ratchet disabled
NBIZ,NBIS,9491.568458333886,9491.568458333886,7930.510083088369,0.4101602412900858,False,solve,ratchet disabled
QBTZ,QBTS,5699.853293368276,5699.853293368276,5827.940759854993,0.5119430251851047,False,solve,ratchet disabled
MSTZ,MSTR,3428.551519501915,3428.551519501915,2527.316731956181,0.3707536440930934,False,solve,ratchet disabled
CONI,COIN,1658.0006007675834,1658.0006007675834,1260.3941053923782,0.39487638921195267,False,solve,ratchet disabled
