symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
CLSZ,-125000.0,0.0,125000.0,125000.0,125000.0,0.0,-125000.0,True
MSTZ,-124626.93013648738,0.0,124626.93013648738,124626.93013648738,124626.93013648738,0.0,-124626.93013648738,True
CRCD,-106892.12491969552,0.0,106892.12491969552,106892.12491969552,106892.12491969552,0.0,-106892.12491969552,True
MSDD,-95369.82455818224,0.0,95369.82455818224,95369.82455818224,95369.82455818224,0.0,-95369.82455818224,True
HMYY,-89468.69907739876,-1558.0,87910.69907739876,87910.69907739876,89468.69907739876,1558.0,-87910.69907739876,True
ETHD,-71161.69617731283,0.0,71161.69617731283,71161.69617731283,71161.69617731283,0.0,-71161.69617731283,True
QBY,-58450.86991607546,0.0,58450.86991607546,58450.86991607546,58450.86991607546,0.0,-58450.86991607546,True
BEZ,-54253.62264299098,0.0,54253.62264299098,54253.62264299098,54253.62264299098,0.0,-54253.62264299098,True
IREZ,-39314.188749267465,0.0,39314.188749267465,39314.188749267465,39314.188749267465,0.0,-39314.188749267465,True
IOYY,-21603.1957875083,0.0,21603.1957875083,21603.1957875083,21603.1957875083,0.0,-21603.1957875083,True
MAAY,-17581.755163178106,-34850.7988,-17269.04363682189,17269.04363682189,17581.755163178106,34850.7988,17269.04363682189,False
AZYY,-13669.29141523687,0.0,13669.29141523687,13669.29141523687,13669.29141523687,0.0,-13669.29141523687,True
NFLU,-908.9410406273709,-14193.72,-13284.778959372628,13284.778959372628,908.9410406273709,14193.72,13284.778959372628,False
MTYY,-33112.338061348244,-45821.299999999996,-12708.961938651752,12708.961938651752,33112.338061348244,45821.299999999996,12708.961938651752,False
AAOX,-6622.716480122491,-19239.92,-12617.203519877508,12617.203519877508,6622.716480122491,19239.92,12617.203519877508,False
MRVU,0.0,-12418.4,-12418.4,12418.4,0.0,12418.4,12418.4,False
QUBX,-2767.2152033533844,-13099.05,-10331.834796646615,10331.834796646615,2767.2152033533844,13099.05,10331.834796646615,False
AMZO,0.0,-8602.0712,-8602.0712,8602.0712,0.0,8602.0712,8602.0712,False
CONI,-8381.61281606362,0.0,8381.61281606362,8381.61281606362,8381.61281606362,0.0,-8381.61281606362,True
GEMG,-7701.225906439797,0.0,7701.225906439797,7701.225906439797,7701.225906439797,0.0,-7701.225906439797,True
BMNU,-7498.700651556082,0.0,7498.700651556082,7498.700651556082,7498.700651556082,0.0,-7498.700651556082,True
EOSU,-7318.389750630436,0.0,7318.389750630436,7318.389750630436,7318.389750630436,0.0,-7318.389750630436,True
MSFL,-565.9511852108285,-7836.620000000001,-7270.668814789173,7270.668814789173,565.9511852108285,7836.620000000001,7270.668814789173,False
FBYY,-18381.26456584491,-11127.91,7253.354565844911,7253.354565844911,18381.26456584491,11127.91,-7253.354565844911,True
OPEG,-9066.993344176462,-2036.9107,7030.082644176462,7030.082644176462,9066.993344176462,2036.9107,-7030.082644176462,True
TERG,-317.0061245033776,-7259.1071,-6942.100975496623,6942.100975496623,317.0061245033776,7259.1071,6942.100975496623,False
NUGT,-1211.7220309278134,-8032.32,-6820.597969072186,6820.597969072186,1211.7220309278134,8032.32,6820.597969072186,False
