symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
EWV,PROSHARES ULTSHRT MSCI JAPAN,-396.59563052,-22.970954,0.0,0.0,0.0,-2.58,0.3499054267809191,0.0,0.0,-421.79667909321904
LABD,DIRE DLY SP BT BE 3X ETF-USD,0.0,-483.676063,0.0,0.0,0.0,-33.97,5.40004849745999,0.0,0.0,-512.24601450254
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,-621.667672,0.0,0.0,0.0,-47.71,7.034641718620561,0.0,0.0,-662.3430302813795
SOXS,DIREX DAI SEMI BE 3X ETF-USD,0.0,-665.779636,0.0,0.0,0.0,-25.91,5.530293475850547,0.0,0.0,-686.1593425241495
SDS,PROSHARES ULTRASHORT S&P500,0.0,-688.38076,0.0,0.0,0.0,-17.46,7.428534020436857,0.0,0.0,-698.4122259795632
FAZ,DIREX DLY FIN BEA 3X ETF-USD,0.0,-696.156683,0.0,0.0,0.0,-27.96,5.564837085350632,0.0,0.0,-718.5518459146494
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,-753.544355,0.0,0.0,0.0,-9.11,5.797617185095368,0.0,0.0,-756.8567378149046
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,-947.099044,0.0,0.0,0.0,-9.84,7.829807928289898,0.0,0.0,-949.1092360717101
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-2494.977632,0.0,0.0,0.0,-118.64,8.913116282979566,0.0,0.0,-2604.7045157170205
DUST,DIR DLY GOL MN IDX BR 2X ETF,-3.4059583,-2804.749378,0.0,0.0,0.0,-51.8,10.08658980203215,0.0,0.0,-2849.868746497968
