ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
SPOG,SPOT,1.984138,70,ols,0.140653,-0.104353,0.245006,1000,0.245006,False,False,False,,False,True,False,False,False,False,True,False,False,0.434527,1.03594,0.133252,-0.11175399999999999
TERG,TER,2.003259,70,ols,0.069084,-0.032784,0.10186800000000001,2000,0.10186800000000001,False,False,False,,False,True,False,False,False,True,True,False,False,0.543178,1.126581,0.18457,0.082702
TSLG,TSLA,1.990998,301,ols,0.113218,-0.076918,0.190136,250000,0.190136,False,False,False,,False,True,False,False,False,False,True,False,False,0.628014,1.214209,0.129889,-0.060246999999999995
TSMG,TSM,1.978837,282,ols,0.036044,0.000256,0.035788,25000,0.035788,False,False,False,,True,False,False,False,True,False,False,False,False,0.406026,0.798657,0.113889,0.078101
UNHG,UNH,1.997279,153,ols,0.046826,-0.010526,0.057352,300000,0.057352,False,False,False,,True,False,False,False,True,False,False,False,False,0.41597,0.886348,0.141207,0.083855
UPSG,UPS,1.991507,52,ols,0.019128,0.017172,0.0019559999999999994,200,0.0019559999999999994,False,False,False,,True,False,False,False,True,False,False,True,False,0.295513,0.451796,0.090908,0.088952
VALG,VALE,1.959967,47,ols,0.090871,-0.054570999999999995,0.145442,200,0.145442,False,False,False,,False,True,False,False,False,False,True,True,False,0.293752,0.754766,0.059689,-0.085753
XYZG,XYZ,2.003424,226,ols,0.135389,-0.099089,0.23447800000000002,10000,0.23447800000000002,False,False,False,,False,True,False,False,False,False,True,False,False,0.511121,1.087028,0.164641,-0.06983700000000001
COIO,COIN,0.977348,137,ols,0.0025,0.0338,0.0,400,0.0,False,False,False,,True,False,False,False,True,False,False,True,False,0.795909,0.676795,-0.042088,-0.042088
MSOO,MSTR,0.974584,137,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.936298,0.758869,0.174067,
NVDO,NVDA,0.934538,137,ols,0.040694,-0.004394,0.045088,500,0.045088,False,False,False,,True,False,False,False,True,False,False,True,False,0.498218,0.339087,-0.169458,-0.21454600000000001
PLOO,PLTR,0.909157,137,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.629186,0.476862,-0.039319,
TSLO,TSLA,0.85204,137,ols,0.0025,0.0338,0.0,200,0.0,False,False,False,,True,False,False,False,True,False,False,True,False,0.628014,0.403759,0.116279,0.116279
CRCA,CRCL,1.978661,141,ols,0.16384,-0.12754,0.29138,100000,0.29138,False,False,False,,False,True,False,False,False,False,True,False,False,1.212339,1.925317,0.276482,-0.014897999999999967
NVDB,NVDA,1.999342,118,ols,0.028842,0.007458,0.021384,100000,0.021384,False,False,False,,True,False,False,False,True,False,False,False,False,0.498218,0.724567,0.13481,0.11342600000000001
PLTA,PLTR,1.986602,118,ols,0.05122499999999999,-0.014924999999999999,0.06614999999999999,30000,0.06614999999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.629186,1.033141,0.170002,0.103852
TSLI,TSLA,1.980177,118,ols,0.036248,5.2e-05,0.036196,4000,0.036196,False,False,False,,True,False,False,False,True,False,False,False,False,0.628014,0.887778,0.189714,0.153518
COIA,COIN,2.00006,118,ols,0.07048600000000001,-0.034186,0.10467200000000002,30000,0.10467200000000002,False,False,False,,False,True,False,False,False,True,True,False,False,0.795909,1.431506,0.210777,0.10610499999999998
BITU,IBIT,1.990652,479,ols,0.028778,0.007522,0.021256,45000,0.021256,False,False,False,,True,False,False,False,True,False,False,False,False,0.514077,1.001412,0.165065,0.143809
ETHT,ETHA,1.991443,402,ols,0.07167,-0.03537,0.10704,35000,0.10704,False,False,False,,False,True,False,False,False,True,True,False,False,0.755929,1.484219,0.198653,0.091613
UXRP,XRPZ,2.005123,65,ols,0.02582,0.01048,0.01534,500000,0.01534,False,False,False,,True,False,False,False,True,False,False,False,False,0.903156,1.658064,0.164783,0.14944300000000002
SOLT,SOEZ,2.019487,59,ols,0.016047,0.020253,0.0,100000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.837307,1.613231,0.187022,0.187022
TSLR,TSLA,2.000073,499,ols,0.058823999999999994,-0.022524000000000002,0.081348,60000,0.081348,False,False,False,,False,True,False,False,False,True,True,False,False,0.628014,1.256347,0.112504,0.031156000000000003
AAPB,AAPL,1.990249,499,ols,0.024432,0.011868,0.012563999999999999,65000,0.012563999999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.285389,0.568675,0.085449,0.072885
AMDL,AMD,1.999269,489,ols,0.029967999999999998,0.006332,0.023635999999999997,700000,0.023635999999999997,False,False,False,,True,False,False,False,True,False,False,False,False,0.555154,1.115012,0.124914,0.101278
AMZZ,AMZN,1.993704,489,ols,0.037717,-0.0014169999999999999,0.039134,30000,0.039134,False,False,False,,True,False,False,False,True,False,False,False,False,0.315861,0.63311,0.083111,0.043977
AVGU,AVGO,1.98873,158,ols,0.10047299999999999,-0.064173,0.164646,15000,0.164646,False,False,False,,False,True,False,False,False,False,True,False,False,0.53692,0.893076,0.100222,-0.06442399999999998
BABX,BABA,2.00571,499,ols,0.010936999999999999,0.025363000000000004,0.0,80000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.439242,0.881281,0.093617,0.093617
BULX,BULL,1.961583,123,ols,0.08068,-0.044379999999999996,0.12506,7000,0.12506,False,False,False,,False,True,False,False,False,False,True,False,False,2.740254,1.127547,0.288015,0.16295500000000002
CONL,COIN,1.987175,499,ols,0.085869,-0.049569,0.135438,550000,0.135438,False,False,False,,False,True,False,False,False,False,True,False,False,0.795909,1.581901,0.186598,0.05116000000000001
CRWL,CRWD,1.996188,323,ols,0.08127599999999999,-0.044976,0.12625199999999998,60000,0.12625199999999998,False,False,False,,False,True,False,False,False,False,True,False,False,0.471953,0.932411,0.177143,0.05089100000000002
DLLL,DELL,1.985278,260,ols,0.143521,-0.107221,0.250742,25000,0.250742,False,False,False,,False,True,False,False,False,False,True,False,False,0.541005,1.109034,0.08499,-0.165752
ETRL,ETOR,1.998911,123,ols,0.077321,-0.041021,0.118342,1000,0.118342,False,False,False,,False,True,False,False,False,True,True,False,False,0.677635,1.144938,0.204386,0.08604400000000001
GOU,GOOGL,2.052962,60,ols,0.12290200000000001,-0.086602,0.20950400000000002,10000,0.20950400000000002,False,False,False,,False,True,False,False,False,False,True,False,False,0.298219,0.466157,0.126969,-0.08253500000000003
INTW,INTC,1.988563,261,ols,0.031435,0.0048649999999999995,0.026569999999999996,100000,0.026569999999999996,False,False,False,,True,False,False,False,True,False,False,False,False,0.616821,1.358065,0.112888,0.086318
IONL,IONQ,1.987621,233,ols,0.245491,-0.20919100000000002,0.45468200000000003,15000,0.45468200000000003,False,False,False,,False,True,False,False,False,False,True,False,False,1.083052,1.971467,0.201954,-0.25272800000000006
ISUL,ISRG,2.001273,99,ols,0.089382,-0.053082000000000004,0.142464,6000,0.142464,False,False,False,,False,True,False,False,False,False,True,False,False,0.314445,0.682612,0.102017,-0.04044700000000001
LCDL,LCID,1.964057,215,ols,0.273376,-0.23707599999999998,0.510452,65000,0.510452,False,False,False,,False,True,False,False,False,False,True,False,False,0.767414,1.533155,0.197614,-0.312838
MRAL,MARA,1.981371,246,ols,0.320477,-0.284177,0.604654,800000,0.604654,False,False,False,,False,True,False,False,False,False,True,False,False,0.906833,1.680844,0.204666,-0.399988
FBL,META,1.998362,499,ols,0.030237,0.006063,0.024174,250000,0.024174,False,False,False,,True,False,False,False,True,False,False,False,False,0.35365,0.707036,0.097553,0.073379
MVLL,MRVL,1.998118,246,ols,0.114453,-0.078153,0.192606,90000,0.192606,False,False,False,,False,True,False,False,False,False,True,False,False,0.624385,1.21364,0.160777,-0.031828999999999996
MSFL,MSFT,1.990609,489,ols,0.031749,0.004551,0.027198,500000,0.027198,False,False,False,,True,False,False,False,True,False,False,False,False,0.241441,0.480298,0.094429,0.067231
MSTP,MSTR,1.994387,181,ols,0.48629300000000003,-0.449993,0.936286,200000,0.936286,False,False,False,,False,True,False,False,False,False,True,False,False,0.936298,1.421899,0.21513,-0.7211559999999999
MULL,MU,1.998147,323,ols,0.10106899999999999,-0.064769,0.16583799999999999,100000,0.16583799999999999,False,False,False,,False,True,False,False,False,False,True,False,False,0.601279,1.272567,0.16815,0.0023120000000000085
NBIL,NBIS,1.999269,99,ols,0.102295,-0.065995,0.16829,200000,0.16829,False,False,False,,False,True,False,False,False,False,True,False,False,1.11134,1.85498,0.136268,-0.032021999999999995
NOWL,NOW,1.991454,158,ols,0.104377,-0.068077,0.172454,85000,0.172454,False,False,False,,False,True,False,False,False,False,True,False,False,0.396481,0.75388,0.152719,-0.019735000000000003
NVDL,NVDA,1.987787,499,ols,0.078186,-0.041886,0.12007200000000001,700000,0.12007200000000001,False,False,False,,False,True,False,False,False,False,True,False,False,0.498218,0.990781,0.133958,0.013885999999999982
PDDL,PDD,2.002843,158,ols,0.198985,-0.162685,0.36167,30000,0.36167,False,False,False,,False,True,False,False,False,False,True,False,False,0.481619,0.598556,0.082511,-0.279159
PTIR,PLTR,1.996867,372,ols,0.017697,0.018603,0.0,350000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.629186,1.326986,0.094222,0.094222
QCML,QCOM,1.975497,227,ols,0.125917,-0.089617,0.215534,100000,0.215534,False,False,False,,False,True,False,False,False,False,True,False,False,0.38717,0.771143,0.102469,-0.113065
RDTL,RDDT,1.982431,234,ols,0.10970200000000001,-0.07340200000000001,0.18310400000000002,75000,0.18310400000000002,False,False,False,,False,True,False,False,False,False,True,False,False,0.832065,1.452618,0.183394,0.0002899999999999847
RVNL,RIVN,1.994189,215,ols,0.737529,-0.701229,1.438758,15000,1.438758,False,False,False,,False,True,False,False,False,False,True,False,False,0.692371,1.295796,0.169909,-1.268849
SMCL,SMCI,1.988082,301,ols,0.152858,-0.116558,0.269416,200000,0.269416,False,False,False,,False,True,False,False,False,False,True,False,False,0.955829,1.660917,0.394992,0.12557600000000002
TSMU,TSM,1.992006,323,ols,0.060735000000000004,-0.024435,0.08517,30000,0.08517,False,False,False,,False,True,False,False,False,True,True,False,False,0.406026,0.795927,0.158342,0.07317200000000001
UBRL,UBER,1.995698,372,ols,0.005144999999999999,0.031155,0.0,75000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.379979,0.769563,0.089278,0.089278
VRTL,VRT,1.983447,234,ols,0.028492000000000003,0.007808000000000001,0.020684,10000,0.020684,False,False,False,,True,False,False,False,True,False,False,False,False,0.654981,1.264312,0.156578,0.135894
AMYY,AMD,0.318329,114,ols,0.12727,-0.09097,0.21824,3000,0.21824,False,False,False,,False,True,False,False,False,False,True,False,False,0.555154,0.296052,0.089848,-0.128392
AZYY,AMZN,0.643409,114,ols,0.05060800000000001,-0.014308000000000001,0.064916,400,0.064916,False,False,False,,True,False,False,False,True,False,False,True,False,0.315861,0.240208,0.256057,0.19114099999999998
BBYY,BABA,0.641034,88,ols,0.64687,-0.6105700000000001,1.25744,1000,1.25744,False,False,False,,False,True,False,False,False,False,True,False,False,0.439242,0.292172,0.212284,-1.045156
XBTY,IBIT,0.544114,200,ols,0.028992,0.007308,0.021684000000000002,8000,0.021684000000000002,False,False,True,,True,False,True,False,True,False,False,False,False,0.514077,0.300168,0.26652,0.24483599999999997
COYY,COIN,0.50735,148,ols,0.218114,-0.181814,0.399928,100000,0.399928,False,False,False,,False,True,False,False,False,False,True,False,False,0.795909,0.40777,0.747496,0.34756800000000004
