etf,weight
NVTX,0.10000000003847412
QBTX,0.09999999974626436
ASTX,0.0999999996450595
IRE,0.08088180669184236
SMU,0.07908433999226372
NBIG,0.06875511092182814
IOYY,0.039999999905255317
MAAY,0.03999999983958029
MTYY,0.03999999528100431
SMYY,0.03652405199136029
NEBX,0.036233558196206654
XBTY,0.035199232444714276
CWVX,0.030238676210277964
QBTZ,0.02500000007076459
CORD,0.025000000059065965
ETHD,0.025000000050708952
MSDD,0.02478037429475373
PLTZ,0.020604052623209003
CRWG,0.0175152920306624
NBIL,0.013945671936646082
OKLL,0.00983333754303121
CLSX,0.007519395411943104
LABX,0.0064838065515178
WULX,0.0061483234789665425
FBYY,0.005523320955603515
RGTX,0.00550692751563027
CONI,0.004395947140623512
IREX,0.004145200555408106
CRDU,0.003203310902729487
COYY,0.0027533995824818264
CRWU,0.002090201117164047
GLXU,0.0007830651479327785
RKLX,0.0007727234728510483
ETHU,0.00037044838727374584
IONX,0.0002924550626605655
MSTZ,0.00021962576087414254
ETU,0.00017797372089335562
BAIG,0.0001413900438128134
QUBX,9.369265953152494e-05
APPX,7.538338883107237e-05
RGTU,7.261898763503087e-05
ETHT,6.813828901851405e-05
UNX,5.592788881570971e-05
SBTU,5.058926896428592e-05
IONL,4.9741018226195635e-05
AVXX,4.498968439597925e-05
CONL,3.57180361668333e-05
COZX,3.449537409901002e-05
RIOX,2.907142969884453e-05
COIA,2.8055367507618513e-05
INTW,2.6643341142984178e-05
MUU,1.5668979107052443e-05
OSCX,1.3005670203606491e-05
ROBN,1.2401938540093736e-05
SOUX,1.1375303986510755e-05
UPSX,1.072464193730921e-05
TEMT,1.0295159784666876e-05
LMNX,9.494854223546911e-06
KTUP,9.384504284784427e-06
HOOX,9.188962090242391e-06
COIG,8.28139364322983e-06
RDTL,7.597654061597063e-06
AMDL,6.995870717101521e-06
ARCX,6.3032900665025265e-06
MPL,5.4183535042708485e-06
PTIR,5.050320200578576e-06
AMUU,4.778525564748217e-06
MULL,4.446115354906928e-06
AMDG,4.382223014151942e-06
QSU,4.1587122925354805e-06
HOOG,3.7052579484070542e-06
MPG,3.0704331184197916e-06
HIMZ,2.4858374269220674e-06
RBLU,2.38009823985465e-06
PLTU,2.256896041015477e-06
SNOU,2.162456521717567e-06
GDXU,1.990476046242936e-06
PONX,1.9746855556357856e-06
JNUG,1.9223588459090283e-06
NUGT,1.8498048708247038e-06
OPEX,1.6889012064880824e-06
GLGG,1.6001016116563946e-06
SRPU,1.4600193166265596e-06
BABX,1.3136674893632237e-06
BULX,1.3029435692317368e-06
VRTL,1.2678279683147572e-06
SOFX,1.2128173440086193e-06
ANEL,1.1938929950847482e-06
PLTA,1.1396560553516445e-06
LRCU,1.1332447405441783e-06
ORCX,1.091720557059244e-06
GEVX,1.004666536477859e-06
URAA,9.740510189312097e-07
TSLI,8.053821170848701e-07
NVOX,7.874300334611924e-07
CVNX,7.825131612155143e-07
BITX,7.636817233957601e-07
AVGG,6.330044524458262e-07
TSLL,5.771874938129401e-07
DKNX,5.62119840599518e-07
BTCL,5.232417651651184e-07
BITU,4.7084464593338225e-07
TSLR,4.3693003695838253e-07
XYZG,4.049239717638818e-07
AVL,3.75820916340836e-07
SOXL,3.712643962122499e-07
AFRU,3.1663617643314666e-07
MSTX,3.1631507921604735e-07
UBRL,3.0811278778512836e-07
MVLL,3.0265061874339173e-07
VSTL,3.014584519980239e-07
SHPU,2.60216805521381e-07
FBL,2.384020141903901e-07
TSLT,2.1873328100480984e-07
QCMU,1.5169136009431155e-07
QPUX,1.467068110530656e-07
CWEB,1.4356038021463783e-07
LLYX,1.435524128772145e-07
NVDG,1.417413089506535e-07
AVGX,1.389637336892184e-07
PLTG,1.363541480654851e-07
CEGX,1.2832937091518805e-07
PALU,1.2420823998719693e-07
JOBX,1.0373526944586887e-07
TSMG,1.0302296659514585e-07
ETRL,1.027778538026842e-07
AMZZ,1.0179932930266089e-07
TSMU,9.327604959661365e-08
NVDU,8.882926255266833e-08
GOOX,8.192775465227712e-08
ARMG,8.018597279249069e-08
CRMG,7.939290930273994e-08
TSLG,7.529113050843181e-08
NVDL,7.450950913115241e-08
METU,7.376616255308793e-08
YINN,6.923291546685113e-08
NFLU,6.489410319709266e-08
PANG,5.866027645675224e-08
DLLL,5.825166957798779e-08
MRAL,5.634037267119915e-08
NOWL,5.043692626996648e-08
AMZU,4.798723498762686e-08
BOEU,4.261012346731023e-08
NVDB,4.1807129472708974e-08
NFXL,4.1118800319006056e-08
UNHG,4.0503345104531664e-08
MSFU,3.498226585884259e-08
AVGU,2.0936182525005203e-08
CRWL,1.7964127359466537e-08
MSTU,1.777333458190475e-08
BOEG,1.7142683606101633e-08
ASMG,1.4468717846915576e-08
SMCL,1.2097028034761004e-08
TARK,4.683096818197081e-09
TTDU,4.274985249073688e-09
NVDX,0.0
DJTU,0.0
GMEU,0.0
MSTP,0.0
LULG,0.0
