etf,underlying,pair_frac_merged
NVTX,NVTS,0.1000000000384741
QBTX,QBTS,0.09999999974626433
ASTX,ASTS,0.09999999964505948
IRE,IREN,0.08088180669184235
SMU,SMR,0.0790843399922637
NBIG,NBIS,0.06875511092182814
IOYY,IONQ,0.03999999990525533
MAAY,MARA,0.0399999998395803
MTYY,MSTR,0.03999999528100433
SMYY,SMCI,0.0365240519913603
NEBX,NBIS,0.036233558196206654
XBTY,IBIT,0.03519923244471429
CWVX,CRWV,0.03023867621027796
QBTZ,QBTS,0.025000000070764593
CORD,CRWV,0.02500000005906597
ETHD,ETHA,0.025000000050708956
MSDD,MSTR,0.024780374294753733
PLTZ,PLTR,0.020604052623209006
CRWG,CRWV,0.0175152920306624
NBIL,NBIS,0.013945671936646082
OKLL,OKLO,0.009833337543031208
CLSX,CLSK,0.007519395411943103
LABX,ALAB,0.006483806551517799
WULX,WULF,0.006148323478966541
FBYY,META,0.005523320955603518
RGTX,RGTI,0.005506927515630269
CONI,COIN,0.004395947140623514
IREX,IREN,0.004145200555408106
CRDU,CRDO,0.0032033109027294867
COYY,COIN,0.002753399582481828
CRWU,CRWV,0.0020902011171640466
GLXU,GLXY,0.0007830651479327784
RKLX,RKLB,0.000772723472851048
ETHU,ETHA,0.0003704483872737458
IONX,IONQ,0.00029245506266056543
MSTZ,MSTR,0.0002196257608741426
ETU,ETHA,0.0001779737208933556
BAIG,BBAI,0.0001413900438128134
QUBX,QUBT,9.369265953152492e-05
APPX,APP,7.538338883107235e-05
RGTU,RGTI,7.261898763503086e-05
ETHT,ETHA,6.813828901851404e-05
UNX,U,5.59278888157097e-05
SBTU,SBET,5.058926896428592e-05
IONL,IONQ,4.9741018226195635e-05
AVXX,AVAV,4.4989684395979246e-05
CONL,COIN,3.5718036166833294e-05
COZX,CORZ,3.449537409901002e-05
RIOX,RIOT,2.9071429698844527e-05
COIA,COIN,2.805536750761851e-05
INTW,INTC,2.6643341142984174e-05
MUU,MU,1.5668979107052443e-05
OSCX,OSCR,1.3005670203606491e-05
ROBN,HOOD,1.2401938540093735e-05
SOUX,SOUN,1.1375303986510753e-05
UPSX,UPST,1.072464193730921e-05
TEMT,TEM,1.0295159784666874e-05
LMNX,LMND,9.49485422354691e-06
KTUP,KTOS,9.384504284784426e-06
HOOX,HOOD,9.18896209024239e-06
COIG,COIN,8.28139364322983e-06
RDTL,RDDT,7.597654061597062e-06
AMDL,AMD,6.995870717101519e-06
ARCX,ACHR,6.303290066502526e-06
MPL,MP,5.418353504270848e-06
PTIR,PLTR,5.050320200578575e-06
AMUU,AMD,4.7785255647482164e-06
MULL,MU,4.446115354906928e-06
AMDG,AMD,4.382223014151942e-06
QSU,QS,4.1587122925354805e-06
HOOG,HOOD,3.7052579484070542e-06
MPG,MP,3.0704331184197907e-06
HIMZ,HIMS,2.485837426922067e-06
RBLU,RBLX,2.3800982398546494e-06
PLTU,PLTR,2.2568960410154764e-06
SNOU,SNOW,2.162456521717567e-06
GDXU,GDX,1.990476046242936e-06
PONX,PONY,1.974685555635785e-06
JNUG,GDXJ,1.9223588459090283e-06
NUGT,GDX,1.8498048708247036e-06
OPEX,OPEN,1.6889012064880822e-06
