source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-16,ASTN,ASTS,31897.580289300004,23274.81
2026-07-16,CONI,COIN,11901.35587641,11901.35587641
2026-07-16,CORD,CRWV,102177.15152832,0.4727494592866744
2026-07-16,DAMD,AMD,5435.9334354,2679.903878145928
2026-07-16,EWV,EWJ,3173.7614451840004,1587.168
2026-07-16,FAZ,XLF,8212.993011519999,0.0
2026-07-16,IREZ,IREN,32496.30762276,32496.30762276
2026-07-16,LITZ,LITE,66774.91307724,14288.0
2026-07-16,MSTZ,MSTR,21017.38651236,15107.85
2026-07-16,MUZ,MU,5183.5,5183.5
2026-07-16,NBIZ,NBIS,47460.393171268006,33118.66
2026-07-16,NVDQ,NVDA,5643.25344765,2127.99625
2026-07-16,QBTZ,QBTS,70595.5750808,0.0
2026-07-16,RKLZ,RKLB,23041.56123828,10287.0
2026-07-16,SDS,SPY,10439.96291068,1509.62
2026-07-16,SNDQ,SNDK,56118.1748029,40375.0
2026-07-16,SPCG,SPCX,1890.0,2710.8631339071644
2026-07-16,SSPC,SPCX,2360.56,2710.8631339071644
2026-07-16,UVIX,SVIX,19352.093353425,21251.23
