etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.026602,0.75
ASTN,ASTS,-1.994761,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.014594,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991373,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-1.99689,0.75
CONI,COIN,-1.925524,0.75
CRCD,CRCL,-1.99704,0.75
CORD,CRWV,-2.011295,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002314,0.75
SDOW,DIA,-2.999289,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.011672,0.75
BTCZ,IBIT,-1.997528,0.75
IONZ,IONQ,-2.018918,0.75
IREZ,IREN,-2.014306,0.75
TWM,IWM,-2.002611,0.75
TZA,IWM,-2.99714,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.001708,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.969082,0.75
MSTZ,MSTR,-1.993357,0.75
SMST,MSTR,-1.967334,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.039549,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.001643,0.75
NVDS,NVDA,-1.495845,0.75
OKLS,OKLO,-2.001637,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.000728,0.75
QID,QQQ,-1.99591,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.990267,0.75
RKLZ,RKLB,-2.003105,0.75
SMCZ,SMCI,-2.003575,0.75
SNDQ,SNDK,-2.027435,0.75
SNK,SPCX,-2.0,0.75
SPCG,SPCX,-2.0,0.75
SSPC,SPCX,-2.0,0.75
HIBS,SPHB,-3.006158,0.75
SPXS,SPY,-2.994549,0.75
SPXU,SPY,-2.992758,0.75
UVIX,SVIX,-1.989756,0.75
TBT,TLT,-1.9993,0.75
TBX,TLT,-1.371016,0.75
TMV,TLT,-2.989448,0.75
TSDD,TSLA,-2.009024,0.75
STSM,TSM,-1.999919,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.74122,0.75
DUG,XLE,-1.990308,0.75
SKF,XLF,-1.997454,0.75
FNGD,XLK,-2.907994,0.75
REW,XLK,-2.00696,0.75
TECS,XLK,-2.999012,0.75
WEBS,XLK,-2.760134,0.75
DRIP,XOP,-1.995771,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
