symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17735.851124160003,17735.851124160003,1
DUST,flow_program,13761.333555199999,13761.333555199999,1
ZSL,flow_program,11994.069672,11994.069672,1
SDS,flow_program,10735.551468900001,10735.551468900001,1
FAZ,flow_program,9821.672724479999,9821.672724479999,1
TSLQ,flow_program,8264.877214400001,8264.877214400001,1
SQQQ,flow_program,7711.668142500001,7711.668142500001,1
LABD,flow_program,7647.274116339999,7647.274116339999,1
NVDQ,flow_program,5936.5572084000005,5936.5572084000005,1
EWV,flow_program,3037.786690995,3037.786690995,1
SOXS,flow_program,1326.5124887399998,1326.5124887399998,1
TSYY,flow_program,-69.08496600000001,69.08496600000001,1
NVYY,flow_program,-101.548293,101.548293,1
TQQY,flow_program,-498.3427091088001,498.3427091088001,1
