ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.983617,500,ols,0.07156,-0.03516,0.10672,2000,0.10672,False,False,False,,True,False,False,False,True,False,False,False,False,0.562274,0.170442,0.283248,0.078269,0.170442,0.06372200000000001,0.06372200000000001,0.49590425,0.5950850999999999,0.5,0.5950850999999999
AMUU,AMD,2.007902,241,ols,0.047087000000000004,-0.010687,0.057774000000000006,25000,0.057774000000000006,False,False,False,,True,False,False,False,True,False,False,False,False,1.290403,0.496459,0.555125,0.311826,0.4884,0.438685,0.430626,0.5019755,0.6023706,0.5019755,0.6023706
AMZU,AMZN,1.987011,500,ols,0.041668000000000004,-0.005268,0.046936000000000005,80000,0.046936000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.629254,0.211156,0.316514,0.098238,0.211156,0.16422,0.16422,0.49675275,0.5961033,0.5,0.5961033
ASMU,ASML,1.990634,26,ols_short_history,0.051603,-0.015203,0.066806,2000,0.066806,False,False,False,,True,False,False,False,True,False,False,False,False,0.798811,,0.43283,0.184718,0.184718,,0.11791199999999999,0.4976585,0.5971902,0.5,0.5971902
AVL,AVGO,1.987312,360,ols,0.044364999999999995,-0.007965,0.052329999999999995,95000,0.052329999999999995,False,False,False,,True,False,False,False,True,False,False,False,False,1.075844,0.378856,0.53304,0.278747,0.378856,0.32652600000000004,0.32652600000000004,0.496828,0.5961936,0.5,0.5961936
BOEU,BA,1.990062,228,ols,0.047556,-0.011156,0.058712,9000,0.058712,False,False,False,,True,False,False,False,True,False,False,False,False,0.589211,0.193871,0.350665,0.121139,0.186944,0.13515899999999997,0.128232,0.4975155,0.5970186,0.5,0.5970186
BABU,BABA,2.027973,25,ols_short_history,0.046191,-0.009791,0.055982000000000004,10000,0.055982000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.653583,,0.442667,0.204253,0.204253,,0.148271,0.50699325,0.6083918999999999,0.50699325,0.6083918999999999
BRKU,BRK-B,1.944738,317,ols,0.07344,-0.037040000000000003,0.11048000000000001,200,0.11048000000000001,False,False,False,,True,False,False,False,True,False,False,True,False,0.358217,0.137911,0.17249,0.027332,0.137911,0.027430999999999997,0.027430999999999997,0.4861845,0.5834214,0.5,0.5834214
CONX,COIN,1.998584,82,ols,0.095919,-0.059519,0.15543800000000002,10000,0.15543800000000002,False,False,False,,True,False,False,False,True,False,False,False,False,1.51306,0.690632,0.791295,0.624818,0.646234,0.535194,0.49079599999999995,0.499646,0.5995752,0.5,0.5995752
CSCL,CSCO,2.027446,185,ols,0.086015,-0.049615,0.13563,9000,0.13563,False,False,False,,True,False,False,False,True,False,False,False,False,0.527841,0.194893,0.2359,0.057961,0.158486,0.05926300000000001,0.022855999999999987,0.5068615,0.6082337999999999,0.5068615,0.6082337999999999
