ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.983617,500,ols
AMUU,AMD,2.0,2.007902,241,ols
AMZU,AMZN,2.0,1.987011,500,ols
ASMU,ASML,2.0,1.990634,26,ols_short_history
AVL,AVGO,2.0,1.987312,360,ols
BOEU,BA,2.0,1.990062,228,ols
BABU,BABA,2.0,2.027973,25,ols_short_history
BRKU,BRK-B,2.0,1.944738,317,ols
CONX,COIN,2.0,1.998584,82,ols
CSCL,CSCO,2.0,2.027446,185,ols
FRDU,F,2.0,1.982199,166,ols
GGLL,GOOGL,2.0,1.990692,500,ols
HODU,HOOD,2.0,2.007825,82,ols
LINT,INTC,2.0,1.986308,82,ols
ELIL,LLY,2.0,1.991174,246,ols
LMTL,LMT,2.0,1.983626,156,ols
METU,META,2.0,1.998784,447,ols
MRVU,MRVL,2.0,2.020658,25,ols_short_history
MSFU,MSFT,2.0,1.990053,500,ols
MUU,MU,2.0,1.994024,360,ols
NFXL,NFLX,2.0,1.996854,365,ols
NVDU,NVDA,2.0,1.985478,500,ols
ORCU,ORCL,2.0,2.005171,82,ols
PALU,PANW,2.0,2.005647,246,ols
PLTU,PLTR,2.0,1.991766,317,ols
QCMU,QCOM,2.0,2.00338,185,ols
SHPU,SHOP,2.0,2.010481,156,ols
SOFA,SOFI,2.0,2.002304,26,ols_short_history
TSLL,TSLA,2.0,1.992759,500,ols
TSMX,TSM,2.0,1.993844,365,ols
XOMX,XOM,2.0,1.969797,228,ols
YINN,FXI,2.0,2.973519,500,ols
MEXX,EWW,2.0,2.956993,500,ols
KORU,EWY,2.0,2.932958,500,ols
HIBL,SPY,2.0,4.484113,500,ols
LABU,XBI,2.0,2.987444,500,ols
SOXL,SOXX,2.0,2.960371,500,ols
CHAU,ASHR,2.0,1.966501,500,ols
CWEB,KWEB,2.0,1.987309,500,ols
ERX,XLE,2.0,1.987564,500,ols
NUGT,GDX,2.0,1.980673,500,ols
JNUG,GDXJ,2.0,1.973343,500,ols
GUSH,XOP,2.0,2.010852,500,ols
URAA,URA,2.0,1.932183,434,ols
MSTU,MSTR,2.0,1.965764,376,ols
NVDX,NVDA,2.0,1.997612,500,ols
TSLT,TSLA,2.0,1.992877,500,ols
BTCL,IBIT,2.0,2.006453,425,ols
ETU,ETHA,2.0,1.989557,350,ols
CCUP,CRCL,2.0,1.982311,153,ols
CRWU,CRWV,2.0,1.989142,163,ols
AAPX,AAPL,2.0,1.995245,500,ols
GOOX,GOOGL,2.0,1.983459,500,ols
MSFX,MSFT,2.0,2.007268,500,ols
NFLU,NFLX,2.0,1.989953,369,ols
ROBN,HOOD,2.0,2.012051,284,ols
ARMU,ARM,2.0,1.9749,263,ols
DJTU,DJT,2.0,2.002774,263,ols
RBLU,RBLX,2.0,2.019055,263,ols
SNOU,SNOW,2.0,2.022479,227,ols
SMUP,SMR,2.0,2.05783,163,ols
DKUP,DKNG,2.0,1.895664,160,ols
BULU,BULL,2.0,1.941332,159,ols
GLXU,GLXY,2.0,2.011244,154,ols
AFRU,AFRM,2.0,1.951272,128,ols
