symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
SOXS,flow_program,10547.2813072,10547.2813072,1
DUST,flow_program,10465.708799099999,10465.708799099999,1
LABD,flow_program,10093.93981335,10093.93981335,1
ZSL,flow_program,9788.1337008,9788.1337008,1
FAZ,flow_program,9485.595824319998,9485.595824319998,1
SQQQ,flow_program,9198.02944368,9198.02944368,1
SDS,flow_program,8307.21811242,8307.21811242,1
NVDQ,flow_program,8158.87813056,8158.87813056,1
TSLQ,flow_program,8052.99621378,8052.99621378,1
TSYY,flow_program,-13.10024136,13.10024136,1
NVYY,flow_program,-21.039766439999998,21.039766439999998,1
TQQY,flow_program,-76.79788038,76.79788038,1
