underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
CRML,"CRML, CRMU",0.0,3448.7869659999997,0.0,0.0,0.0,-249.65,69.03813564331568,0.0,0.0,3268.1751016433154
GDX,"GDX, GDXU, NUGT",-170.39822695000004,3198.998775,0.0,0.0,-10.84,-37.650000000000006,27.528134811282044,0.0,0.0,3007.6386828612813
TSLA,"TSLA, TSLI, TSLL, TSLR, TSLT",50.440367803686414,2257.646487410521,0.0,0.0,-55.230000000000004,-175.36,57.95811472738915,0.0,0.0,2135.454969941597
BLSH,"BLSG, BLSH, BLSX",1753.26777316,204.856178,0.0,0.0,0.0,-53.87,21.399798433370005,0.0,0.0,1925.6537495933699
GSOL,"GSOL, SOLX",0.0,1159.2979030000001,0.0,0.0,0.0,-65.64,0.0,0.0,0.0,1093.6579029999998
SLV,SLV,950.86998489,0.0,0.0,0.0,0.0,-0.5800000000000001,0.0,0.0,0.0,950.2899848899999
PLTR,"PLTA, PLTR, PLTU, PTIR",-170.91325581656943,1335.3401276505629,0.0,0.0,-72.61000000000001,-201.70999999999998,53.64368556672852,0.0,0.0,943.7505574007214
CRWV,"CRWG, CRWU, CRWV, CWVX",11.97414388,913.3363199999994,0.0,0.0,0.0,-159.61,87.6112027235639,0.0,0.0,853.3116666035639
XRPZ,"GXRP, UXRP, XRP, XRPT, XRPZ, XXRP",-1439.7644517400001,2251.98141,0.0,0.0,-11.16,-93.52000000000001,49.46830673310241,0.0,0.0,757.0052649931024
NBIS,"NBIG, NBIL, NBIS, NEBX",-50.60766285999999,784.5477229999997,0.0,0.0,0.0,-124.89000000000001,100.65883657237612,0.0,0.0,709.7088967123782
MSTR,"MSOO, MSTR, MSTU, MSTX",256.4123161102847,431.7256881183936,0.0,0.0,0.0,-57.68,26.911279734859065,0.0,0.0,657.3692839635374
IREN,"IRE, IREG, IREN, IREX",0.0,734.9948720000002,0.0,0.0,0.0,-180.18,59.61124256144212,0.0,0.0,614.4261145614419
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDO, NVDU",-57.911751811029205,877.542268999918,0.7832368750045721,0.0,-44.92,-245.72,78.52243876746402,0.0,0.0,608.2961928313573
CRCL,"CCUP, CRCA, CRCG, CRCL",-10.19988844,682.612674484651,0.0,0.0,0.0,-137.28,72.44393071079116,0.0,0.0,607.5767167554418
TSM,"TSM, TSMG, TSMU",216.25019580623385,410.13190127329426,24.891556806337466,-5.2288174441427735,0.0,-96.34,35.99898850297977,0.0,0.0,585.7038249447028
TER,"TER, TERG",-3.35040458,722.0913770000002,3.12,0.0,0.0,-167.04,22.89511704298075,0.0,0.0,577.716089462981
PLUG,"PLUG, PLUL",0.0,609.6569730000001,0.0,0.0,0.0,-173.76,39.0132697491422,0.0,0.0,474.9102427491425
RCAT,"RCAT, RCAX",0.0,549.1005419999992,0.0,0.0,0.0,-96.96,22.698500349526366,0.0,0.0,474.8390423495257
HIMS,"HIMS, HIMZ",-10.735033389738073,480.639385993387,0.0,0.0,0.0,-29.91,19.068888187355324,0.0,0.0,459.0632407910042
RIOT,"RIOT, RIOX",468.88332721,0.0,0.0,0.0,0.0,-11.95,0.0,0.0,0.0,456.93332721
SOXX,"SOXL, SOXX",1023.02168034,-603.8992050000002,0.0,0.0,4.16,-7.51,24.22586540887525,0.0,0.0,439.9983407488744
VRT,"VRT, VRTL",-205.89726932,652.84195,2.06,0.0,0.0,-64.39,27.338865352645673,0.0,0.0,411.95354603264514
UEC,"UEC, UECG",-18.904435080000003,453.56252099999995,0.0,0.0,0.0,-49.13,16.419975549243983,0.0,0.0,401.9480614692436
URA,"URA, URAA",0.0,435.975572,0.0,0.0,-42.69,-21.85,17.252323459637836,0.0,0.0,388.6878954596378
EWJ,EWJ,388.67593575,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,388.27593575000003
CIFR,"CIFG, CIFR",0.0,455.62536,0.0,0.0,0.0,-123.89999999999999,25.51866608855544,0.0,0.0,357.24402608855553
SRPT,"SRPT, SRPU",0.0,414.29216426931225,0.0,0.0,0.0,-105.97,33.224156766019284,0.0,0.0,341.54632103533186
FIGR,"FGRU, FIGR",264.31496211,183.25658399999998,0.0,0.0,0.0,-142.63,27.95192956855084,0.0,0.0,332.8934756785511
LEU,"LEU, LEUX",2e-07,470.85606399999995,0.0,0.0,0.0,-168.7,20.91511542159873,0.0,0.0,323.07117962159873
BMNR,"BMNG, BMNR, BMNU",-3.63044042,550.9916929999999,0.0,0.0,0.0,-268.49,40.324594840012495,0.0,0.0,319.19584742001246
KEEL,"BTFL, KEEL, KEEX",0.0,279.4135190000002,0.0,0.0,0.0,-27.729999999999997,37.01396209584477,0.0,0.0,288.697481095845
