symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,19160.7956603505,19160.7956603505,1
DUST,flow_program,16541.14762752,16541.14762752,1
ZSL,flow_program,15508.82252556,15508.82252556,1
SDS,flow_program,11020.85692344,11020.85692344,1
FAZ,flow_program,9576.13469772,9576.13469772,1
TSLQ,flow_program,9307.010718959998,9307.010718959998,1
SQQQ,flow_program,8484.300937,8484.300937,1
NVDQ,flow_program,6573.31734696,6573.31734696,1
LABD,flow_program,6195.403820240001,6195.403820240001,1
EWV,flow_program,3227.16148146,3227.16148146,1
SOXS,flow_program,1505.9791836000002,1505.9791836000002,1
TSYY,flow_program,-67.53579,67.53579,1
NVYY,flow_program,-97.55736035999999,97.55736035999999,1
TQQY,flow_program,-479.05189750079995,479.05189750079995,1
