symbol,net_notional_usd,gross_notional_usd,n_legs
SOXS,10270.258239179999,10270.258239179999,1
DUST,9763.580459519999,9763.580459519999,1
LABD,9554.99109558,9554.99109558,1
ZSL,9494.6073651,9494.6073651,1
FAZ,9305.46548352,9305.46548352,1
SQQQ,9187.971399200002,9187.971399200002,1
TSLQ,8717.93677664,8717.93677664,1
SDS,8469.84864896,8469.84864896,1
NVDQ,8230.58978687,8230.58978687,1
TSYY,-12.585980069999998,12.585980069999998,1
NVYY,-18.573980999999996,18.573980999999996,1
TQQY,-77.1341308866,77.1341308866,1
