ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
AAPU,AAPL,1.983961,499,ols,0.105499,-0.069099,0.174598,8000,0.174598,False,False,False,True,False,False,False,False,False,False,False,0.563612,0.170927,0.283879,0.078659,0.170927,-0.003671,-0.003671,0.49599025,0.5951883,0.5,0.5951883,,ETF_LS,2089.6070692612934,-1053.2500735958486,core_leveraged
AMUU,AMD,2.00797,242,ols,0.045264,-0.008864,0.0541279999999999,30000,0.0541279999999999,False,False,False,True,False,False,False,False,False,False,False,1.290679,0.485404,0.55632,0.313202,0.478571,0.431276,0.424443,0.5019925,0.6023909999999999,0.5019925,0.6023909999999999,,ETF_LS,4573.925653606541,-2277.885453271982,core_leveraged
AMZU,AMZN,1.987043,499,ols,0.041407,-0.005007,0.046414,80000,0.046414,False,False,False,True,False,False,False,False,False,False,False,0.631529,0.208062,0.317655,0.098952,0.208062,0.161648,0.161648,0.49676075,0.5961129,0.5,0.5961129,,ETF_LS,2630.5310775492644,-1323.8420494922677,core_leveraged
ASMU,ASML,1.987733,27,ols_short_history,0.050176,-0.013776,0.063952,2000,0.063952,False,False,False,True,False,False,False,False,False,False,False,0.841188,0.239619,0.434549,0.185372,0.191184,0.175667,0.127232,0.49693325,0.5963199,0.5,0.5963199,,ETF_LS,2090.936792927231,-1051.9203499299108,core_leveraged
AVL,AVGO,1.987484,361,ols,0.0490909999999999,-0.012691,0.061782,100000,0.061782,False,False,False,True,False,False,False,False,False,False,False,1.077573,0.373813,0.534695,0.280554,0.373813,0.312031,0.312031,0.496871,0.5962452,0.5,0.5962452,,ETF_LS,3569.166191959702,-1795.8213459628867,core_leveraged
BOEU,BA,1.987357,229,ols,0.054309,-0.0179089999999999,0.072218,6000,0.072218,False,False,False,True,False,False,False,False,False,False,False,0.590059,0.20143,0.351531,0.12124,0.194111,0.129212,0.121893,0.49683925,0.5962071,0.5,0.5962071,,ETF_LS,2090.8043942713043,-1052.0527485858374,core_leveraged
BABU,BABA,2.011868,26,ols_short_history,0.046191,-0.009791,0.055982,10000,0.055982,False,False,False,True,False,False,False,False,False,False,False,0.691683,0.232194,0.443591,0.20029,0.203582,0.176212,0.1476,0.502967,0.6035604,0.502967,0.6035604,,ETF_LS,2378.324132530294,-1182.1472047521474,core_leveraged
CONX,COIN,1.997836,83,ols,0.0974569999999999,-0.061057,0.158514,15000,0.158514,False,False,False,True,False,False,False,False,False,False,False,1.514266,0.674349,0.789951,0.621998,0.639241,0.515835,0.4807269999999999,0.499459,0.5993508,0.5,0.5993508,,ETF_LS,3377.4152797230795,-1690.5368006798753,core_leveraged
CSCL,CSCO,2.027404,186,ols,0.089058,-0.0526579999999999,0.141716,10000,0.141716,False,False,False,True,False,False,False,False,False,False,False,0.528768,0.190983,0.236537,0.058271,0.156225,0.049267,0.0145089999999999,0.506851,0.6082212,0.506851,0.6082212,,ETF_LS,2104.7211217456083,-1038.1360211115339,core_leveraged
FRDU,F,1.983801,167,ols,0.1003159999999999,-0.063916,0.164232,100,0.164232,False,False,False,True,False,False,False,False,False,True,False,0.626759,0.200835,0.347332,0.117724,0.172802,0.036603,0.00857,0.49595025,0.5951403,0.5,0.5951403,,ETF_LS,2089.5505909600347,-1053.306551897108,core_leveraged
GGLL,GOOGL,1.991888,499,ols,0.0495009999999999,-0.013101,0.0626019999999999,100000,0.0626019999999999,False,False,False,True,False,False,False,False,False,False,False,0.590749,0.193381,0.296422,0.0868,0.193381,0.130779,0.130779,0.497972,0.5975664,0.5,0.5975664,,ETF_LS,2136.11140037209,-1072.4053763926938,core_leveraged
HODU,HOOD,2.008842,83,ols,0.095572,-0.059172,0.154744,15000,0.154744,False,False,False,True,False,False,False,False,False,False,False,1.425106,0.60307,0.704055,0.502287,0.535481,0.448326,0.380737,0.5022105,0.6026526,0.5022105,0.6026526,,ETF_LS,2656.193532631669,-1322.2510942282513,core_leveraged
LINT,INTC,1.986228,83,ols,0.193681,-0.157281,0.350962,25000,0.350962,False,False,False,False,True,False,False,True,True,False,False,1.411665,0.577969,0.621118,0.377855,0.443766,0.2270069999999999,0.092804,0.496557,0.5958684,0.5,0.5958684,,ETF_LS,0.0,0.0,
ELIL,LLY,1.991371,247,ols,0.088255,-0.051855,0.14011,7000,0.14011,False,False,False,True,False,False,False,False,False,False,False,0.848598,0.276593,0.373468,0.137678,0.273837,0.1364829999999999,0.1337269999999999,0.49784275,0.5974113,0.5,0.5974113,,ETF_LS,2092.2161013891523,-1050.64104146799,core_leveraged
LMTL,LMT,1.983813,157,ols,0.11527,-0.07887,0.1941399999999999,20000,0.1941399999999999,False,False,False,True,False,False,False,False,False,False,False,0.474789,0.144535,0.241457,0.056894,0.111496,-0.0496049999999999,-0.0826439999999999,0.49595325,0.5951439,0.5,0.5951439,,ETF_LS,2089.554827042732,-1053.30231581441,core_leveraged
METU,META,1.998894,448,ols,0.080462,-0.044062,0.124524,200000,0.124524,False,False,False,True,False,False,False,False,False,False,False,0.706138,0.231426,0.352767,0.124238,0.231426,0.1069019999999999,0.1069019999999999,0.4997235,0.5996682,0.5,0.5996682,,ETF_LS,2094.8517305761006,-1048.0054122810418,core_leveraged
MRVU,MRVL,2.018851,26,ols_short_history,0.051603,-0.015203,0.066806,10000,0.066806,False,False,False,True,False,False,False,False,False,False,False,1.377052,0.468416,0.632482,0.411416,0.417297,0.40161,0.350491,0.50471275,0.6056553,0.50471275,0.6056553,,ETF_LS,3798.5148067026544,-1881.5231073034386,core_leveraged
MSFU,MSFT,1.990969,499,ols,0.035289,0.001111,0.034178,150000,0.034178,False,False,False,True,False,False,False,False,False,False,False,0.477324,0.16134,0.23951,0.05659,0.16134,0.127162,0.127162,0.49774225,0.5972907,0.5,0.5972907,,ETF_LS,2553.209819611395,-1282.3955669884335,core_leveraged
MUU,MU,1.994096,361,ols,0.039775,-0.003375,0.04315,100000,0.04315,False,False,False,True,False,False,False,False,False,False,False,1.258558,0.50555,0.602246,0.359494,0.50555,0.4624,0.4624,0.498524,0.5982288,0.5,0.5982288,,ETF_LS,5041.6421327637445,-2528.284562410107,core_leveraged
NVDU,NVDA,1.986197,499,ols,0.062267,-0.025867,0.088134,1000,0.088134,False,False,False,True,False,False,False,False,False,False,False,0.981422,0.352893,0.493822,0.238834,0.352893,0.264759,0.264759,0.49654925,0.5958591,0.5,0.5958591,,ETF_LS,2784.5849185779484,-1401.9681424239127,core_leveraged
ORCU,ORCL,2.006313,83,ols,0.138235,-0.101835,0.24007,65000,0.24007,False,False,False,True,False,False,False,False,False,False,False,1.09193,0.362992,0.511976,0.264607,0.297012,0.1229219999999999,0.0569419999999999,0.50157825,0.6018939,0.50157825,0.6018939,,ETF_LS,2097.4380055759802,-1045.4191372811622,core_leveraged
PALU,PANW,2.005776,247,ols,0.059477,-0.023077,0.082554,200000,0.082554,False,False,False,True,False,False,False,False,False,False,False,0.716181,0.235512,0.340548,0.11698,0.23316,0.1529579999999999,0.150606,0.501444,0.6017328,0.501444,0.6017328,,ETF_LS,2097.2512351457417,-1045.6059077114003,core_leveraged
PLTU,PLTR,1.991719,318,ols,0.091267,-0.054867,0.146134,10000,0.146134,False,False,False,True,False,False,False,False,False,False,False,1.287218,0.496821,0.626393,0.387508,0.496821,0.350687,0.350687,0.49792975,0.5975157,0.5,0.5975157,,ETF_LS,2550.4099428597365,-1280.5069102919322,core_leveraged
