ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.983897,499,ols
AMUU,AMD,2.0,2.007923,242,ols
AMZU,AMZN,2.0,1.987126,499,ols
ASMU,ASML,2.0,1.987493,27,ols_short_history
AVL,AVGO,2.0,1.987317,361,ols
BOEU,BA,2.0,1.990878,229,ols
BABU,BABA,2.0,2.017691,26,ols_short_history
BRKU,BRK-B,2.0,1.944628,318,ols
CONX,COIN,2.0,1.998919,83,ols
CSCL,CSCO,2.0,2.027825,186,ols
FRDU,F,2.0,1.983669,167,ols
GGLL,GOOGL,2.0,1.991893,499,ols
HODU,HOOD,2.0,2.007325,83,ols
LINT,INTC,2.0,1.98632,83,ols
ELIL,LLY,2.0,1.991229,247,ols
LMTL,LMT,2.0,1.985999,157,ols
METU,META,2.0,1.998768,448,ols
MRVU,MRVL,2.0,2.020881,26,ols_short_history
MSFU,MSFT,2.0,1.990976,499,ols
MUU,MU,2.0,1.994094,361,ols
NFXL,NFLX,2.0,1.996789,366,ols
NVDU,NVDA,2.0,1.986192,499,ols
ORCU,ORCL,2.0,2.004419,83,ols
PALU,PANW,2.0,2.005741,247,ols
PLTU,PLTR,2.0,1.991571,318,ols
QCMU,QCOM,2.0,2.003266,186,ols
SHPU,SHOP,2.0,2.011536,157,ols
SOFA,SOFI,2.0,1.990143,27,ols_short_history
TSLL,TSLA,2.0,1.992846,499,ols
TSMX,TSM,2.0,1.993585,366,ols
XOMX,XOM,2.0,1.969368,229,ols
YINN,FXI,2.0,2.973578,499,ols
MEXX,EWW,2.0,2.955126,499,ols
KORU,EWY,2.0,2.929218,499,ols
HIBL,SPY,2.0,4.485268,499,ols
LABU,XBI,2.0,2.98764,499,ols
SOXL,SOXX,2.0,2.960425,499,ols
CHAU,ASHR,2.0,1.966651,499,ols
CWEB,KWEB,2.0,1.987326,499,ols
ERX,XLE,2.0,1.988087,499,ols
NUGT,GDX,2.0,1.980132,499,ols
JNUG,GDXJ,2.0,1.973864,499,ols
GUSH,XOP,2.0,2.010218,499,ols
URAA,URA,2.0,1.932727,435,ols
MSTU,MSTR,2.0,1.965765,377,ols
NVDX,NVDA,2.0,1.997336,499,ols
TSLT,TSLA,2.0,1.992711,499,ols
BTCL,IBIT,2.0,2.006452,426,ols
ETU,ETHA,2.0,1.98954,351,ols
CCUP,CRCL,2.0,1.982333,154,ols
CRWU,CRWV,2.0,1.989127,164,ols
AAPX,AAPL,2.0,1.995209,499,ols
GOOX,GOOGL,2.0,1.983573,499,ols
MSFX,MSFT,2.0,2.007432,499,ols
NFLU,NFLX,2.0,1.989925,370,ols
ROBN,HOOD,2.0,2.012,285,ols
ARMU,ARM,2.0,1.96826,264,ols
DJTU,DJT,2.0,2.003314,264,ols
RBLU,RBLX,2.0,2.019061,264,ols
SNOU,SNOW,2.0,2.021758,228,ols
SMUP,SMR,2.0,2.057475,164,ols
BULU,BULL,2.0,1.928535,160,ols
GLXU,GLXY,2.0,2.011344,155,ols
AFRU,AFRM,2.0,1.950322,129,ols
KTUP,KTOS,2.0,2.025486,129,ols
TTDU,TTD,2.0,1.99827,128,ols
BMNU,BMNR,2.0,1.944262,121,ols
SBTU,SBET,2.0,2.028036,104,ols
CIFU,CIFR,2.0,1.987383,81,ols
SOLX,GSOL,2.0,1.981933,74,ols
XRPK,XRPZ,2.0,1.960883,74,ols
XRPT,XRPZ,2.0,2.018349,80,ols
GMEU,GME,2.0,1.968044,228,ols
APLX,APLD,2.0,1.994629,134,ols
APPX,APP,2.0,1.984805,227,ols
ARCX,ACHR,2.0,1.988662,196,ols
ASTX,ASTS,2.0,1.989696,175,ols
BEX,BE,2.0,1.976262,87,ols
CEGX,CEG,2.0,1.979924,175,ols
CLSX,CLSK,2.0,1.998033,129,ols
COZX,CORZ,2.0,2.043378,93,ols
CRDU,CRDO,2.0,1.988756,129,ols
CSEX,CLS,2.0,1.999929,87,ols
CWVX,CRWV,2.0,1.989863,175,ols
DOGD,DDOG,2.0,2.01498,153,ols
ENPX,ENPH,2.0,2.018214,129,ols
FLYT,FLY,2.0,1.964279,102,ols
GEVX,GEV,2.0,1.991828,175,ols
IREX,IREN,2.0,1.982059,102,ols
JOBX,JOBY,2.0,1.978479,134,ols
LABX,ALAB,2.0,1.993676,153,ols
LRCU,LRCX,2.0,2.045153,148,ols
MDBX,MDB,2.0,1.991996,148,ols
NEBX,NBIS,2.0,1.998919,134,ols
NNEX,NNE,2.0,1.99271,87,ols
NVTX,NVTS,2.0,1.999831,134,ols
OPEX,OPEN,2.0,1.996302,102,ols
PONX,PONY,2.0,2.016337,134,ols
QBTX,QBTS,2.0,1.992613,227,ols
QUBX,QUBT,2.0,1.965421,187,ols
RGTU,RGTI,2.0,1.986591,187,ols
SMU,SMR,2.0,1.986064,175,ols
SNPX,SNPS,2.0,1.913346,87,ols
SRPU,SRPT,2.0,1.957072,102,ols
TARK,ARKK,2.0,1.977676,499,ols
TEMT,TEM,2.0,1.983454,215,ols
UNX,U,2.0,2.02488,129,ols
UPSX,UPST,2.0,1.986845,196,ols
VOYX,VOYG,2.0,1.967749,134,ols
WULX,WULF,2.0,1.995981,102,ols
CRMU,CRML,2.0,1.95916,28,ols_short_history
UECG,UEC,2.0,2.004975,28,ols_short_history
DNNG,DNN,2.0,1.961414,28,ols_short_history
RCAX,RCAT,2.0,2.022273,33,ols
RDWU,RDW,2.0,1.966228,35,ols
OKLL,OKLO,2.0,1.997448,187,ols
GDXU,GDX,2.0,3.043146,499,ols
MRNX,MRNA,2.0,2.01805,32,ols
ZETX,ZETA,2.0,2.077479,32,ols
LITX,LITE,2.0,1.980075,38,ols
SNXX,SNDX,2.0,1.422434,38,ols
WDCX,WDC,2.0,2.054493,38,ols
LNOK,NOK,2.0,1.956332,42,ols
USGG,USAR,2.0,2.000962,47,ols
ONDG,ONDS,2.0,1.996418,47,ols
PLUL,PLUG,2.0,1.932816,47,ols
ALBG,ALB,2.0,2.007621,47,ols
UUUG,UUUU,2.0,1.99681,47,ols
HUTG,HUT,2.0,2.003181,47,ols
XPEG,XPEV,2.0,1.988032,45,ols
ORLG,ORLY,2.0,2.008337,45,ols
LUNL,LUNR,2.0,2.013495,47,ols
RKTL,RKT,2.0,1.955412,47,ols
EOSU,EOSE,2.0,1.976051,46,ols
BTFL,BITF,2.0,2.018138,56,ols
FGRU,FIGR,2.0,2.009349,23,ols_short_history
APHU,APH,2.0,2.037153,23,ols_short_history
COPZ,COPX,2.0,2.062209,23,ols_short_history
LEUX,LEU,2.0,2.107822,22,ols_short_history
COHX,COHR,2.0,2.046118,22,ols_short_history
AXPG,AXP,2.0,2.028403,22,ols_short_history
FCXG,FCX,2.0,2.055775,22,ols_short_history
GLWG,GLW,2.0,1.99792,9,ols_short_history
SNDU,SNDK,2.0,1.952903,7,ols_short_history
PAAU,PAAS,2.0,1.910998,7,ols_short_history
BITX,IBIT,2.0,2.0046,499,ols
ETHU,ETHA,2.0,2.001019,417,ols
XXRP,XRPZ,2.0,2.019879,80,ols
AALG,AAL,2.0,1.978551,175,ols
ABNG,ABNB,2.0,1.982779,85,ols
ADBG,ADBE,2.0,1.991532,251,ols
AMDG,AMD,2.0,2.002749,290,ols
ARMG,ARM,2.0,1.996817,297,ols
ASMG,ASML,2.0,1.98382,297,ols
AVGG,AVGO,2.0,2.00008,212,ols
BAIG,BBAI,2.0,2.011523,146,ols
BEG,BE,2.0,1.998801,65,ols
BIDG,BIDU,2.0,2.014077,63,ols
BLSG,BLSH,2.0,2.01039,100,ols
BMNG,BMNR,2.0,1.992836,100,ols
BOEG,BA,2.0,1.986738,193,ols
BULG,BULL,2.0,1.983094,154,ols
CIFG,CIFR,2.0,1.995614,68,ols
CMGG,CMG,2.0,1.970333,85,ols
CNCG,CNC,2.0,2.005971,63,ols
COIG,COIN,2.0,1.995512,255,ols
COTG,COST,2.0,1.986092,127,ols
CRCG,CRCL,2.0,1.989769,154,ols
CRMG,CRM,2.0,1.983484,241,ols
CRWG,CRWV,2.0,1.996955,154,ols
DUOG,DUOL,2.0,2.021854,68,ols
FIGG,FIG,2.0,1.995813,109,ols
FUTG,FUTU,2.0,1.999051,109,ols
GEMG,GEMI,2.0,1.978701,93,ols
GEVG,GEV,2.0,1.947661,65,ols
GLGG,GLXY,2.0,2.002012,146,ols
GRAG,GRAB,2.0,1.986507,68,ols
HOOG,HOOD,2.0,2.00639,251,ols
IREG,IREN,2.0,1.96915,65,ols
KLAG,KLAC,2.0,2.017952,63,ols
LACG,LAC,2.0,2.012256,68,ols
LULG,LULU,2.0,1.991123,93,ols
MPG,MP,2.0,1.984808,100,ols
NBIG,NBIS,2.0,2.008678,100,ols
NEMG,NEM,2.0,1.997076,85,ols
NETG,NET,2.0,2.007475,85,ols
NIOG,NIO,2.0,1.969744,63,ols
NUG,NU,2.0,1.989606,85,ols
NVDG,NVDA,2.0,1.96889,316,ols
OKTG,OKTA,2.0,1.999953,85,ols
OPEG,OPEN,2.0,2.003117,68,ols
OSCG,OSCR,2.0,1.98854,93,ols
PANG,PANW,2.0,1.99819,251,ols
PBRG,PBR,2.0,1.930274,63,ols
PLTG,PLTR,2.0,1.996165,227,ols
PYPG,PYPL,2.0,1.994697,241,ols
RTXG,RTX,2.0,2.010148,198,ols
SATG,SATS,2.0,2.008748,65,ols
SBU,SBUX,2.0,1.999139,85,ols
SNAG,SNAP,2.0,2.001094,63,ols
SPOG,SPOT,2.0,1.982468,85,ols
TERG,TER,2.0,1.992419,85,ols
TSLG,TSLA,2.0,1.99093,316,ols
TSMG,TSM,2.0,1.978063,297,ols
UNHG,UNH,2.0,1.996475,168,ols
UPSG,UPS,2.0,1.99582,68,ols
VALG,VALE,2.0,1.976262,63,ols
XYZG,XYZ,2.0,1.999841,241,ols
COIO,COIN,2.0,0.941512,152,ols
MSOO,MSTR,2.0,0.971634,152,ols
NVDO,NVDA,2.0,0.943303,152,ols
PLOO,PLTR,2.0,0.880651,152,ols
TSLO,TSLA,2.0,0.859664,152,ols
CRCA,CRCL,2.0,1.978081,156,ols
NVDB,NVDA,2.0,1.99396,133,ols
PLTA,PLTR,2.0,1.990265,133,ols
TSLI,TSLA,2.0,1.979729,133,ols
COIA,COIN,2.0,1.999726,133,ols
BITU,IBIT,2.0,1.992364,494,ols
ETHT,ETHA,2.0,1.991315,417,ols
UXRP,XRPZ,2.0,2.001517,80,ols
SOLT,SOEZ,2.0,2.01412,74,ols
TSLR,TSLA,2.0,1.998898,499,ols
