ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.976232,500,ols
AMUU,AMD,2.0,2.007556,234,ols
AMZU,AMZN,2.0,1.984371,500,ols
ASMU,ASML,2.0,2.002685,19,ols_short_history
AVL,AVGO,2.0,1.987316,353,ols
BOEU,BA,2.0,1.991408,221,ols
BABU,BABA,2.0,2.006704,18,ols_short_history
BRKU,BRK-B,2.0,1.944992,310,ols
CONX,COIN,2.0,1.998617,75,ols
CSCL,CSCO,2.0,2.026936,178,ols
FRDU,F,2.0,1.98144,159,ols
GGLL,GOOGL,2.0,1.981755,500,ols
HODU,HOOD,2.0,2.007608,75,ols
LINT,INTC,2.0,1.987098,75,ols
ELIL,LLY,2.0,1.992287,239,ols
LMTL,LMT,2.0,1.98274,149,ols
METU,META,2.0,1.998769,440,ols
MRVU,MRVL,2.0,2.025269,18,ols_short_history
MSFU,MSFT,2.0,1.984501,500,ols
MUU,MU,2.0,1.9939,353,ols
NFXL,NFLX,2.0,1.997148,358,ols
NVDU,NVDA,2.0,1.984014,500,ols
ORCU,ORCL,2.0,2.005182,75,ols
PALU,PANW,2.0,2.005101,239,ols
PLTU,PLTR,2.0,1.991701,310,ols
QCMU,QCOM,2.0,2.003723,178,ols
SHPU,SHOP,2.0,2.009139,149,ols
SOFA,SOFI,2.0,2.013796,19,ols_short_history
TSLL,TSLA,2.0,1.987204,500,ols
TSMX,TSM,2.0,1.994362,358,ols
XOMX,XOM,2.0,1.967909,221,ols
YINN,FXI,2.0,2.974068,500,ols
MEXX,EWW,2.0,2.954902,500,ols
KORU,EWY,2.0,2.93979,500,ols
HIBL,SPY,2.0,4.493739,500,ols
LABU,XBI,2.0,2.987694,500,ols
SOXL,SOXX,2.0,2.960252,500,ols
CHAU,ASHR,2.0,1.967159,500,ols
CWEB,KWEB,2.0,1.98707,500,ols
ERX,XLE,2.0,1.986837,500,ols
NUGT,GDX,2.0,1.980058,500,ols
JNUG,GDXJ,2.0,1.970868,500,ols
GUSH,XOP,2.0,2.010948,500,ols
URAA,URA,2.0,1.929544,427,ols
MSTU,MSTR,2.0,1.965657,369,ols
NVDX,NVDA,2.0,1.997622,500,ols
TSLT,TSLA,2.0,1.992842,500,ols
BTCL,IBIT,2.0,2.006609,418,ols
ETU,ETHA,2.0,1.989196,343,ols
CCUP,CRCL,2.0,1.981879,146,ols
CRWU,CRWV,2.0,1.988874,156,ols
AAPX,AAPL,2.0,1.994969,500,ols
GOOX,GOOGL,2.0,1.982311,500,ols
MSFX,MSFT,2.0,2.007069,500,ols
NFLU,NFLX,2.0,1.989013,362,ols
ROBN,HOOD,2.0,2.012135,277,ols
ARMU,ARM,2.0,1.998368,256,ols
DJTU,DJT,2.0,2.002693,256,ols
RBLU,RBLX,2.0,2.019903,256,ols
SNOU,SNOW,2.0,2.022152,220,ols
SMUP,SMR,2.0,2.059786,156,ols
DKUP,DKNG,2.0,1.983287,153,ols
BULU,BULL,2.0,1.979077,153,ols
GLXU,GLXY,2.0,2.011174,147,ols
AFRU,AFRM,2.0,1.961714,121,ols
AXUP,AXON,2.0,1.973314,121,ols
KTUP,KTOS,2.0,2.020357,121,ols
TTDU,TTD,2.0,1.998151,120,ols
BKNU,BKNG,2.0,2.00886,120,ols
PXIU,UPXI,2.0,1.904349,120,ols
BMNU,BMNR,2.0,1.942188,113,ols
SBTU,SBET,2.0,2.023026,96,ols
CIFU,CIFR,2.0,1.990311,73,ols
SOLX,GSOL,2.0,1.979829,66,ols
XRPK,XRPZ,2.0,1.964891,66,ols
XRPT,XRPZ,2.0,2.020519,72,ols
GMEU,GME,2.0,1.966377,220,ols
APLX,APLD,2.0,1.99429,126,ols
APPX,APP,2.0,1.984511,219,ols
ARCX,ACHR,2.0,1.989164,188,ols
ASTX,ASTS,2.0,1.989807,167,ols
AURU,AUR,2.0,1.850768,99,ols
BEX,BE,2.0,1.977679,79,ols
BLSX,BLSH,2.0,2.009573,94,ols
CEGX,CEG,2.0,1.983022,167,ols
CELT,CELH,2.0,1.953234,105,ols
CLSX,CLSK,2.0,1.998206,121,ols
COZX,CORZ,2.0,2.038119,85,ols
CRDU,CRDO,2.0,1.986222,121,ols
CSEX,CLS,2.0,1.999666,79,ols
CWVX,CRWV,2.0,1.989278,167,ols
DASX,DASH,2.0,1.991939,94,ols
DOGD,DDOG,2.0,2.015066,145,ols
ENPX,ENPH,2.0,2.017406,121,ols
FLYT,FLY,2.0,1.962543,94,ols
GEVX,GEV,2.0,1.994215,167,ols
IREX,IREN,2.0,1.981804,94,ols
JOBX,JOBY,2.0,1.980722,126,ols
LABX,ALAB,2.0,1.99448,145,ols
LRCU,LRCX,2.0,2.049584,140,ols
LYFX,LYFT,2.0,1.839153,99,ols
MDBX,MDB,2.0,1.991349,140,ols
NEBX,NBIS,2.0,1.998528,126,ols
NETX,NET,2.0,1.510548,105,ols
NNEX,NNE,2.0,1.994398,79,ols
NVTX,NVTS,2.0,2.001049,126,ols
NWMX,NEM,2.0,1.221794,68,ols
OKTX,OKTA,2.0,1.692947,80,ols
OPEX,OPEN,2.0,2.00157,94,ols
PONX,PONY,2.0,2.01824,126,ols
QBTX,QBTS,2.0,1.993182,219,ols
QSX,QS,2.0,1.697939,67,ols
QUBX,QUBT,2.0,1.965508,179,ols
RGTU,RGTI,2.0,1.98685,179,ols
SMU,SMR,2.0,1.986077,167,ols
SNPX,SNPS,2.0,1.90482,79,ols
SRPU,SRPT,2.0,1.955929,94,ols
TARK,ARKK,2.0,1.976083,500,ols
TEMT,TEM,2.0,1.984799,207,ols
UNX,U,2.0,2.025884,121,ols
UPSX,UPST,2.0,1.988651,188,ols
VOYX,VOYG,2.0,1.974224,126,ols
WULX,WULF,2.0,1.991448,94,ols
CRMU,CRML,2.0,1.953715,20,ols_short_history
UECG,UEC,2.0,1.987652,20,ols_short_history
DNNG,DNN,2.0,1.958374,20,ols_short_history
RCAX,RCAT,2.0,2.028051,25,ols_short_history
RDWU,RDW,2.0,1.977657,27,ols_short_history
OKLL,OKLO,2.0,1.997004,179,ols
GDXU,GDX,2.0,3.043415,500,ols
MRNX,MRNA,2.0,2.011452,24,ols_short_history
ZETX,ZETA,2.0,2.082466,24,ols_short_history
LITX,LITE,2.0,1.974058,30,ols
SNXX,SNDX,2.0,1.505543,30,ols
WDCX,WDC,2.0,2.067834,30,ols
LNOK,NOK,2.0,1.954642,34,ols
USGG,USAR,2.0,2.003424,39,ols
ONDG,ONDS,2.0,2.003714,39,ols
PLUL,PLUG,2.0,1.932132,39,ols
ALBG,ALB,2.0,2.009832,39,ols
UUUG,UUUU,2.0,1.99761,39,ols
HUTG,HUT,2.0,2.002251,39,ols
XPEG,XPEV,2.0,1.995608,37,ols
ORLG,ORLY,2.0,2.011697,37,ols
LUNL,LUNR,2.0,2.017314,39,ols
RKTL,RKT,2.0,1.931756,39,ols
EOSU,EOSE,2.0,1.983267,38,ols
BTFL,BITF,2.0,2.033151,48,ols
FGRU,FIGR,2.0,2.005495,15,ols_short_history
APHU,APH,2.0,2.003883,15,ols_short_history
COPZ,COPX,2.0,2.083764,15,ols_short_history
LEUX,LEU,2.0,2.24814,14,ols_short_history
COHX,COHR,2.0,2.056074,14,ols_short_history
AXPG,AXP,2.0,2.020518,14,ols_short_history
FCXG,FCX,2.0,2.061136,14,ols_short_history
BITX,IBIT,2.0,2.00385,500,ols
ETHU,ETHA,2.0,2.001002,409,ols
XXRP,XRPZ,2.0,2.021807,72,ols
AALG,AAL,2.0,1.977433,167,ols
ABNG,ABNB,2.0,1.999393,77,ols
ADBG,ADBE,2.0,1.989302,243,ols
AMDG,AMD,2.0,2.002366,282,ols
ARMG,ARM,2.0,1.996746,289,ols
ASMG,ASML,2.0,1.982815,289,ols
AVGG,AVGO,2.0,2.001227,204,ols
BAIG,BBAI,2.0,2.010724,138,ols
BEG,BE,2.0,2.000229,57,ols
BIDG,BIDU,2.0,2.010956,55,ols
BLSG,BLSH,2.0,2.008534,92,ols
BMNG,BMNR,2.0,1.992195,92,ols
BOEG,BA,2.0,1.993843,185,ols
BULG,BULL,2.0,1.986833,146,ols
CIFG,CIFR,2.0,1.995111,60,ols
CMGG,CMG,2.0,1.974572,77,ols
CNCG,CNC,2.0,1.997122,55,ols
COIG,COIN,2.0,1.995487,247,ols
COTG,COST,2.0,1.986021,119,ols
CRCG,CRCL,2.0,1.989458,146,ols
CRMG,CRM,2.0,1.983624,233,ols
CRWG,CRWV,2.0,1.996472,146,ols
DUOG,DUOL,2.0,2.025165,60,ols
FIGG,FIG,2.0,1.995823,101,ols
FUTG,FUTU,2.0,1.99708,101,ols
GEMG,GEMI,2.0,1.979651,85,ols
GEVG,GEV,2.0,1.94402,57,ols
GLGG,GLXY,2.0,2.00253,138,ols
GRAG,GRAB,2.0,1.985593,60,ols
HOOG,HOOD,2.0,2.00619,243,ols
IREG,IREN,2.0,1.970012,57,ols
KLAG,KLAC,2.0,2.016358,55,ols
LACG,LAC,2.0,2.020174,60,ols
LULG,LULU,2.0,1.989832,85,ols
MPG,MP,2.0,1.984662,92,ols
NBIG,NBIS,2.0,2.00737,92,ols
NEMG,NEM,2.0,1.996784,77,ols
NETG,NET,2.0,2.00916,77,ols
NIOG,NIO,2.0,1.964106,55,ols
NUG,NU,2.0,1.989354,77,ols
NVDG,NVDA,2.0,1.96868,308,ols
OKTG,OKTA,2.0,2.00049,77,ols
OPEG,OPEN,2.0,2.009107,60,ols
OSCG,OSCR,2.0,1.988094,85,ols
PANG,PANW,2.0,1.997606,243,ols
PBRG,PBR,2.0,1.91866,55,ols
PLTG,PLTR,2.0,1.995325,219,ols
PYPG,PYPL,2.0,1.995349,233,ols
RTXG,RTX,2.0,2.007377,190,ols
SATG,SATS,2.0,2.011879,57,ols
SBU,SBUX,2.0,1.992224,77,ols
SNAG,SNAP,2.0,2.008821,55,ols
SPOG,SPOT,2.0,1.986651,77,ols
TERG,TER,2.0,1.989317,77,ols
TSLG,TSLA,2.0,1.991208,308,ols
TSMG,TSM,2.0,1.980261,289,ols
UNHG,UNH,2.0,1.99686,160,ols
UPSG,UPS,2.0,1.998854,60,ols
VALG,VALE,2.0,1.968641,55,ols
XYZG,XYZ,2.0,1.999128,233,ols
COIO,COIN,2.0,0.948269,144,ols
MSOO,MSTR,2.0,0.97802,144,ols
NVDO,NVDA,2.0,0.937931,144,ols
PLOO,PLTR,2.0,0.902576,144,ols
TSLO,TSLA,2.0,0.851775,144,ols
CRCA,CRCL,2.0,1.978199,148,ols
NVDB,NVDA,2.0,1.993657,125,ols
PLTA,PLTR,2.0,1.990508,125,ols
TSLI,TSLA,2.0,1.979165,125,ols
COIA,COIN,2.0,1.998867,125,ols
BITU,IBIT,2.0,1.992228,486,ols
ETHT,ETHA,2.0,1.991177,409,ols
UXRP,XRPZ,2.0,2.003603,72,ols
SOLT,SOEZ,2.0,2.019745,66,ols
TSLR,TSLA,2.0,1.999954,500,ols
AAPB,AAPL,2.0,1.990128,500,ols
AMDL,AMD,2.0,1.999041,496,ols
