ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.976232,500,ols,0.044152,-0.007752,0.051904,20000,0.051904,False,False,False,,True,False,False,False,True,False,False,False,False,0.562726,0.165955,0.284403,0.078024,0.165955,0.11405099999999999,0.11405099999999999,0.494058,0.5928696,0.5,0.5928696
AMUU,AMD,2.007556,234,ols,0.023611,0.012789,0.010822,25000,0.010822,False,False,False,,True,False,False,False,True,False,False,False,False,1.305997,0.497541,0.55694,0.313707,0.48441,0.486719,0.473588,0.501889,0.6022668,0.501889,0.6022668
AMZU,AMZN,1.984371,500,ols,0.038641,-0.002241,0.040882,250000,0.040882,False,False,False,,True,False,False,False,True,False,False,False,False,0.627729,0.214807,0.316122,0.097603,0.214807,0.173925,0.173925,0.49609275,0.5953113,0.5,0.5953113
ASMU,ASML,2.002685,19,ols_short_history,0.05025,-0.01385,0.0641,10000,0.0641,False,False,False,,True,False,False,False,True,False,False,False,False,0.873008,,0.43231,0.187645,0.187645,,0.123545,0.50067125,0.6008055,0.50067125,0.6008055
AVL,AVGO,1.987316,353,ols,0.048846,-0.012445999999999999,0.061292,200000,0.061292,False,False,False,,True,False,False,False,True,False,False,False,False,1.082939,0.380409,0.534254,0.28002,0.380409,0.319117,0.319117,0.496829,0.5961948,0.5,0.5961948
BOEU,BA,1.991408,221,ols,0.04397,-0.00757,0.05154,8000,0.05154,False,False,False,,True,False,False,False,True,False,False,False,False,0.580475,0.185189,0.348687,0.12002,0.177172,0.133649,0.125632,0.497852,0.5974224,0.5,0.5974224
BABU,BABA,2.006704,18,ols_short_history,0.036516,-0.00011599999999999999,0.036632,25000,0.036632,False,False,False,,True,False,False,False,True,False,False,False,False,0.569054,,0.440461,0.195961,0.195961,,0.159329,0.501676,0.6020112,0.501676,0.6020112
BRKU,BRK-B,1.944992,310,ols,0.056584,-0.020184,0.076768,40000,0.076768,False,False,False,,True,False,False,False,True,False,False,False,False,0.361294,0.137871,0.172516,0.027351,0.137871,0.06110299999999999,0.06110299999999999,0.486248,0.5834976,0.5,0.5834976
CONX,COIN,1.998617,75,ols,0.09668900000000001,-0.060289,0.156978,20000,0.156978,False,False,False,,True,False,False,False,True,False,False,False,False,1.567815,0.7043,0.79737,0.634481,0.65526,0.5473220000000001,0.49828199999999995,0.49965425,0.5995851,0.5,0.5995851
CSCL,CSCO,2.026936,178,ols,0.06232,-0.025920000000000002,0.08824,10000,0.08824,False,False,False,,True,False,False,False,True,False,False,False,False,0.534728,0.191975,0.23576,0.057849,0.152589,0.10373500000000001,0.064349,0.506734,0.6080808,0.506734,0.6080808
FRDU,F,1.98144,159,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.628386,0.203202,0.347621,0.117497,0.171573,,,0.49536,1.0,0.5,1.0
GGLL,GOOGL,1.981755,500,ols,0.037284000000000005,-0.000884,0.03816800000000001,350000,0.03816800000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.590973,0.206846,0.297871,0.086314,0.206846,0.168678,0.168678,0.49543875,0.5945265,0.5,0.5945265
HODU,HOOD,2.007608,75,ols,0.099845,-0.063445,0.16329,15000,0.16329,False,False,False,,True,False,False,False,True,False,False,False,False,1.466325,0.654154,0.70642,0.504739,0.549208,0.490864,0.38591800000000004,0.501902,0.6022823999999999,0.501902,0.6022823999999999
LINT,INTC,1.987098,75,ols,0.222162,-0.185762,0.407924,30000,0.407924,False,False,False,,False,True,False,False,False,False,True,False,False,1.44396,0.612175,0.618156,0.374754,0.445415,0.20425100000000002,0.037491,0.4967745,0.5961294,0.5,0.5961294
ELIL,LLY,1.992287,239,ols,0.086217,-0.049817,0.136034,7000,0.136034,False,False,False,,True,False,False,False,True,False,False,False,False,0.851625,0.280945,0.37022,0.135481,0.273441,0.144911,0.137407,0.49807175,0.5976861,0.5,0.5976861
LMTL,LMT,1.98274,149,ols,0.092239,-0.055839,0.148078,10000,0.148078,False,False,False,,True,False,False,False,True,False,False,False,False,0.48017,0.146751,0.240597,0.056397,0.109821,-0.0013269999999999949,-0.038256999999999985,0.495685,0.594822,0.5,0.594822
METU,META,1.998769,440,ols,0.075496,-0.039096,0.114592,85000,0.114592,False,False,False,,True,False,False,False,True,False,False,False,False,0.706174,0.232769,0.350784,0.122822,0.232769,0.118177,0.118177,0.49969225,0.5996307,0.5,0.5996307
MRVU,MRVL,2.025269,18,ols_short_history,0.04425900000000001,-0.007859,0.052118000000000005,2000,0.052118000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,1.56298,,0.631886,0.414541,0.414541,,0.362423,0.50631725,0.6075807000000001,0.50631725,0.6075807000000001
MSFU,MSFT,1.984501,500,ols,0.034505,0.001895,0.03261,900000,0.03261,False,False,False,,True,False,False,False,True,False,False,False,False,0.476119,0.163411,0.23959,0.056076,0.163411,0.130801,0.130801,0.49612525,0.5953503,0.5,0.5953503
MUU,MU,1.9939,353,ols,0.031303,0.005097000000000001,0.026205999999999997,90000,0.026205999999999997,False,False,False,,True,False,False,False,True,False,False,False,False,1.258375,0.507091,0.607103,0.365208,0.507091,0.48088499999999995,0.48088499999999995,0.498475,0.59817,0.5,0.59817
NFXL,NFLX,1.997148,358,ols,0.070547,-0.034147,0.104694,2000,0.104694,False,False,False,,True,False,False,False,True,False,False,False,False,0.703277,0.231841,0.329113,0.107852,0.231841,0.127147,0.127147,0.499287,0.5991443999999999,0.5,0.5991443999999999
NVDU,NVDA,1.984014,500,ols,0.046817000000000004,-0.010417000000000001,0.05723400000000001,35000,0.05723400000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.979348,0.357556,0.493245,0.237488,0.357556,0.300322,0.300322,0.4960035,0.5952042,0.5,0.5952042
ORCU,ORCL,2.005182,75,ols,0.146532,-0.110132,0.256664,9000,0.256664,False,False,False,,True,False,False,False,True,False,False,False,False,1.127858,0.386381,0.510012,0.262138,0.299115,0.12971699999999997,0.042451000000000016,0.5012955,0.6015545999999999,0.5012955,0.6015545999999999
PALU,PANW,2.005101,239,ols,0.049574999999999994,-0.013175,0.06275,250000,0.06275,False,False,False,,True,False,False,False,True,False,False,False,False,0.721159,0.239878,0.339727,0.116299,0.233503,0.177128,0.170753,0.50127525,0.6015303,0.50127525,0.6015303
PLTU,PLTR,1.991701,310,ols,0.088554,-0.052154,0.140708,2000,0.140708,False,False,False,,True,False,False,False,True,False,False,False,False,1.296474,0.504979,0.62517,0.385986,0.504979,0.36427099999999996,0.36427099999999996,0.49792525,0.5975102999999999,0.5,0.5975102999999999
QCMU,QCOM,2.003723,178,ols,0.029845,0.006555,0.023289999999999998,10000,0.023289999999999998,False,False,False,,True,False,False,False,True,False,False,False,False,0.661509,0.222905,0.383749,0.148087,0.200935,0.199615,0.177645,0.50093075,0.6011169,0.50093075,0.6011169
SHPU,SHOP,2.009139,149,ols,0.17879699999999998,-0.142397,0.321194,10000,0.321194,False,False,False,,False,True,False,False,False,True,True,False,False,1.025217,0.346133,0.57508,0.335264,0.341691,0.024939000000000044,0.020497000000000043,0.50228475,0.6027416999999999,0.50228475,0.6027416999999999
SOFA,SOFI,2.013796,19,ols_short_history,0.049573,-0.013172999999999999,0.062746,3000,0.062746,False,False,False,,True,False,False,False,True,False,False,False,False,0.951311,,0.57418,0.336536,0.336536,,0.27379,0.503449,0.6041388,0.503449,0.6041388
TSLL,TSLA,1.987204,500,ols,0.063564,-0.027164,0.090728,600,0.090728,False,False,False,,True,False,False,False,True,False,False,True,False,1.24725,0.508041,0.627296,0.38598,0.508041,0.41731299999999993,0.41731299999999993,0.496801,0.5961612,0.5,0.5961612
TSMX,TSM,1.994362,358,ols,0.289753,-0.253353,0.543106,400000,0.543106,False,False,False,,False,True,False,False,False,False,True,False,False,0.802456,0.274519,0.40273,0.160822,0.274519,-0.26858699999999996,-0.26858699999999996,0.4985905,0.5983086,0.5,0.5983086
XOMX,XOM,1.967909,221,ols,0.047544,-0.011144000000000001,0.058688000000000004,20000,0.058688000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.430376,0.132164,0.224887,0.048166,0.121831,0.073476,0.06314299999999999,0.49197725,0.5903727,0.5,0.5903727
YINN,FXI,2.974068,500,ols,0.022484,0.013916,0.008568000000000001,55000,0.008568000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.853982,0.368059,0.286446,0.240862,0.368059,0.359491,0.359491,0.743517,0.8922203999999999,0.743517,0.8922203999999999
MEXX,EWW,2.954902,500,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.726292,0.290674,0.245172,0.173612,0.290674,,,0.7387255,1.0,0.7387255,1.0
KORU,EWY,2.93979,500,ols,0.106532,-0.070132,0.176664,200000,0.176664,False,False,False,,True,False,False,False,True,False,False,False,False,0.838245,0.341653,0.284827,0.231315,0.341653,0.164989,0.164989,0.7349475,0.881937,0.7349475,0.881937
HIBL,SPY,4.493739,500,ols,0.598018,-0.561618,1.159636,3000,1.159636,False,False,False,,False,True,False,False,False,False,True,False,False,0.799264,0.439068,0.163882,0.210829,0.439068,-0.7205679999999999,-0.7205679999999999,1.0,1.0,1.0,1.0
LABU,XBI,2.987694,500,ols,0.12804000000000001,-0.09164,0.21968000000000001,9000,0.21968000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.77367,0.316508,0.258756,0.198809,0.316508,0.096828,0.096828,0.7469235,0.8963081999999999,0.7469235,0.8963081999999999
