etf,underlying,pair_frac_merged
XBTY,IBIT,0.03656272948573051
IOYY,IONQ,0.03421057722693997
MAAY,MARA,0.03126817614935825
FBYY,META,0.027865102119505897
MTYY,MSTR,0.025851140351567724
QBTZ,QBTS,0.025000000010882026
ETHD,ETHA,0.024999999965122373
CORD,CRWV,0.02499999992579935
SMYY,SMCI,0.02304843893834632
COYY,COIN,0.021193835728551425
PLTZ,PLTR,0.017974173144769238
MSDD,MSTR,0.0165224478091518
ETHU,ETHA,0.01285102533303779
ASTX,ASTS,0.01145853439405963
ETU,ETHA,0.011208931942225747
QBTX,QBTS,0.010641619864632107
INTW,INTC,0.009574196268750546
NEBX,NBIS,0.00948777184239203
ETHT,ETHA,0.009382347314396623
SMU,SMR,0.00896135288645443
CWVX,CRWV,0.008829417310626008
RKLX,RKLB,0.008771162365618576
CONL,COIN,0.00873811840466996
CRWG,CRWV,0.008685341238093978
NUGT,GDX,0.008563415221959003
RGTX,RGTI,0.00846678280729205
BABX,BABA,0.00813404215600574
NVTX,NVTS,0.008018187608963721
CONI,COIN,0.00791341378839861
MUU,MU,0.00783643284280468
NBIG,NBIS,0.007834992137306897
APPX,APP,0.007738876523203288
LABX,ALAB,0.0076351531627846456
MSTZ,MSTR,0.0075899653558766465
IONX,IONQ,0.00753782537724746
JNUG,GDXJ,0.007503440784365138
PTIR,PLTR,0.007404893720487956
BITX,IBIT,0.007320557578537239
NBIL,NBIS,0.0072708130205383584
CRDU,CRDO,0.007201885330802889
COIA,COIN,0.006932885329905719
OKLL,OKLO,0.006901528650183486
AMDL,AMD,0.006884555681823682
CLSX,CLSK,0.006839389098182205
GLXU,GLXY,0.006577842317262573
BITU,IBIT,0.006336602297311373
BTCL,IBIT,0.006319809241899369
UBRL,UBER,0.006280222937146822
OSCX,OSCR,0.006216370508825512
CWEB,KWEB,0.006005855990907421
IRE,IREN,0.006003507482172447
SNOU,SNOW,0.005969005140417872
TEMT,TEM,0.005963164316274043
PLTU,PLTR,0.005958216993013631
TSLI,TSLA,0.00593075491483997
ROBN,HOOD,0.005924213299241403
RDTL,RDDT,0.005871634554664188
UPSX,UPST,0.005833105235094198
CRWU,CRWV,0.00579130654647219
COIG,COIN,0.005766461744222697
WULX,WULF,0.005732209859796683
HOOX,HOOD,0.00568608932423917
LLYX,LLY,0.00560002093911361
RBLU,RBLX,0.005585175775831973
AMUU,AMD,0.005557169657870911
AVXX,AVAV,0.005525741326790014
MULL,MU,0.005482265346962554
NVOX,NVO,0.005432863212036966
TSLL,TSLA,0.005421548297594393
AMDG,AMD,0.005408828297023905
AVGG,AVGO,0.005199966150187638
FBL,META,0.005192563950594318
ANEL,ANET,0.005126517552564904
IONL,IONQ,0.005065770648559069
TSLR,TSLA,0.005045873757420525
DKNX,DKNG,0.004960437873756586
PALU,PANW,0.004889309722496904
PLTA,PLTR,0.004769462739437125
ORCX,ORCL,0.004725415910459693
GEVX,GEV,0.004715575450326519
URAA,URA,0.004671237486529833
SOFX,SOFI,0.0045850506121797975
BAIG,BBAI,0.004557866970672046
HOOG,HOOD,0.004550474490718365
AVL,AVGO,0.0045185443422463036
RIOX,RIOT,0.0045100528017337094
VRTL,VRT,0.004368880351359766
SOUX,SOUN,0.004300727724354371
COZX,CORZ,0.004204075308517872
QUBX,QUBT,0.004156122554098495
ARCX,ACHR,0.0041417421166720265
BULX,BULL,0.004098248936002957
XYZG,XYZ,0.004095314897142911
NFLU,NFLX,0.004088151627717838
GOOX,GOOGL,0.004061138270208203
NVDG,NVDA,0.00405448343160097
KTUP,KTOS,0.004004157583567473
QCMU,QCOM,0.003928121417877409
AMZZ,AMZN,0.003912468663717036
VSTL,VST,0.0038414065435925376
TSLT,TSLA,0.003828331741551943
CVNX,CVNA,0.0038055422700816596
MSFU,MSFT,0.003649848958476123
CRMG,CRM,0.0036488739416842752
NVDU,NVDA,0.0035516983081176077
LRCU,LRCX,0.0035303080068394203
IREX,IREN,0.003467900376997744
RGTU,RGTI,0.0034614857212343086
PANG,PANW,0.0033918687040944235
METU,META,0.0032653790033013853
NVDL,NVDA,0.003246856359027181
SBTU,SBET,0.003235743003133671
MPL,MP,0.0032275522318987006
AVGX,AVGO,0.0032193795664998575
BOEU,BA,0.003192956007763932
TSMU,TSM,0.003117984171791993
TSMG,TSM,0.0030813456541795036
GDXU,GDX,0.0030602925000082952
MVLL,MRVL,0.0030432446731227343
LMNX,LMND,0.003026650541905639
NFXL,NFLX,0.0030163709688440987
MSTX,MSTR,0.0029877675539315414
UNX,U,0.0029330026911510657
AMZU,AMZN,0.002831260198848475
YINN,FXI,0.002752638224635497
QSU,QS,0.002744023193413976
MPG,MP,0.0026797864608384056
CEGX,CEG,0.0026368968683813383
SHPU,SHOP,0.002549205100710736
ETRL,ETOR,0.002543712565314177
TSLG,TSLA,0.002530763644852824
NOWL,NOW,0.0024435846974314944
UNHG,UNH,0.0023833939861069567
NVDB,NVDA,0.00224036969051229
AFRU,AFRM,0.0021357476620093726
PLTG,PLTR,0.0021190543683260376
SOXL,SOXX,0.002114733885629416
DLLL,DELL,0.0021104360551058485
PONX,PONY,0.0021031389688844107
ARMG,ARM,0.0019977295097824426
BOEG,BA,0.0017359385277483487
GLGG,GLXY,0.0016424229678714724
CRWL,CRWD,0.0015683276712293841
OPEX,OPEN,0.0015446782485151332
HIMZ,HIMS,0.0015014004140193888
AVGU,AVGO,0.0011831989045538384
ASMG,ASML,0.0011568204780513349
MRAL,MARA,0.001092981181869151
JOBX,JOBY,0.0010689969932419394
SRPU,SRPT,0.0009996394231126166
MSTU,MSTR,0.0008834694814484017
TARK,ARKK,0.0006451616970892118
TTDU,TTD,0.0006451615564697409
QPUX,IONQ,0.0006451613966751784
SMCL,SMCI,0.0006451613809935595
