date,bucket,incumbent_cohort,n_pairs,gross_notional_usd
2023-01-03,bucket_core_screener,incumbent,27,7499695.90516901
2023-01-04,bucket_core_screener,incumbent,27,7904192.113431454
2023-01-05,bucket_core_screener,incumbent,27,7787635.99036479
2023-01-06,bucket_3_inverse,incumbent,1,125.21270751953125
2023-01-06,bucket_core_screener,incumbent,27,8055324.70876646
2023-01-09,bucket_3_inverse,incumbent,1,124.34666442871094
2023-01-09,bucket_core_screener,incumbent,27,7633601.517382622
2023-01-10,bucket_3_inverse,incumbent,1,124.85186004638672
2023-01-10,bucket_core_screener,incumbent,27,7799989.252219677
2023-01-11,bucket_3_inverse,incumbent,1,123.0476303100586
2023-01-11,bucket_core_screener,incumbent,27,7893566.736968279
2023-01-12,bucket_3_inverse,incumbent,1,117.6349868774414
2023-01-12,bucket_core_screener,incumbent,27,8006139.599185944
2023-01-13,bucket_3_inverse,incumbent,4,833.585807800293
2023-01-13,bucket_core_screener,incumbent,27,8148133.198785543
2023-01-17,bucket_3_inverse,incumbent,4,962.7419281005859
2023-01-17,bucket_core_screener,incumbent,27,7525539.814544916
2023-01-18,bucket_3_inverse,incumbent,4,993.6184234619141
2023-01-18,bucket_core_screener,incumbent,27,7367704.7269051075
2023-01-19,bucket_3_inverse,incumbent,4,1016.8015289306641
2023-01-19,bucket_core_screener,incumbent,27,7416334.2325463295
2023-01-20,bucket_3_inverse,incumbent,4,976.6678466796875
2023-01-20,bucket_core_screener,incumbent,27,7679930.677561283
2023-01-23,bucket_3_inverse,incumbent,4,1436.1780891418457
2023-01-23,bucket_core_screener,incumbent,27,7845031.929977417
2023-01-24,bucket_3_inverse,incumbent,4,1406.3582000732422
2023-01-24,bucket_core_screener,incumbent,27,7833593.008502483
2023-01-25,bucket_3_inverse,incumbent,4,1392.2628707885742
2023-01-25,bucket_core_screener,incumbent,27,7869623.142384529
2023-01-26,bucket_3_inverse,incumbent,4,1384.2621879577637
2023-01-26,bucket_core_screener,incumbent,27,8000951.511515617
2023-01-27,bucket_3_inverse,incumbent,4,1373.1086196899414
2023-01-27,bucket_core_screener,incumbent,27,8060812.498680115
2023-01-30,bucket_3_inverse,incumbent,4,2176.373733520508
2023-01-30,bucket_core_screener,incumbent,27,7647687.110200882
2023-01-31,bucket_3_inverse,incumbent,4,2102.5673599243164
2023-01-31,bucket_core_screener,incumbent,27,7743145.912029743
2023-02-01,bucket_3_inverse,incumbent,4,2075.36279296875
2023-02-01,bucket_core_screener,incumbent,27,8038457.591227531
2023-02-02,bucket_3_inverse,incumbent,4,2024.0918197631836
2023-02-02,bucket_core_screener,incumbent,27,8184316.65609026
2023-02-03,bucket_3_inverse,incumbent,6,3423.339813232422
2023-02-03,bucket_core_screener,incumbent,27,7892135.325606823
2023-02-06,bucket_3_inverse,incumbent,6,3993.033561706543
2023-02-06,bucket_core_screener,incumbent,27,7819102.933032513
2023-02-07,bucket_3_inverse,incumbent,6,3875.2812423706055
2023-02-07,bucket_core_screener,incumbent,27,7988766.711900711
2023-02-08,bucket_3_inverse,incumbent,6,3995.854782104492
2023-02-08,bucket_core_screener,incumbent,27,7845702.5333042145
2023-02-09,bucket_3_inverse,incumbent,6,4057.3804931640625
2023-02-09,bucket_core_screener,incumbent,27,7762155.35185051
2023-02-10,bucket_3_inverse,incumbent,6,4096.31755065918
2023-02-10,bucket_core_screener,incumbent,27,7614449.848267555
2023-02-13,bucket_3_inverse,incumbent,6,4633.578323364258
2023-02-13,bucket_core_screener,incumbent,27,7795552.486074448
2023-02-14,bucket_3_inverse,incumbent,6,4586.465038299561
2023-02-14,bucket_core_screener,incumbent,27,7869352.245707035
2023-02-15,bucket_3_inverse,incumbent,6,4563.8765869140625
2023-02-15,bucket_core_screener,incumbent,27,7866727.563506603
2023-02-16,bucket_3_inverse,incumbent,6,4725.01265335083
2023-02-16,bucket_core_screener,incumbent,27,7741197.408894539
2023-02-17,bucket_3_inverse,incumbent,7,5610.159240722656
2023-02-17,bucket_core_screener,incumbent,27,7620554.922762394
2023-02-21,bucket_3_inverse,incumbent,7,6312.541679382324
2023-02-21,bucket_core_screener,incumbent,27,7385710.288224697
2023-02-22,bucket_3_inverse,incumbent,7,6329.024158477783
2023-02-22,bucket_core_screener,incumbent,27,7348599.879148006
2023-02-23,bucket_3_inverse,incumbent,7,6295.744495391846
2023-02-23,bucket_core_screener,incumbent,27,7432405.396937847
2023-02-24,bucket_3_inverse,incumbent,7,6530.866024017334
2023-02-24,bucket_core_screener,incumbent,27,7219777.090783596
2023-02-27,bucket_3_inverse,incumbent,7,7105.603927612305
2023-02-27,bucket_core_screener,incumbent,27,7856665.84387064
2023-02-28,bucket_3_inverse,incumbent,7,7064.805587768555
2023-02-28,bucket_core_screener,incumbent,27,7877236.243807316
2023-03-01,bucket_3_inverse,incumbent,7,7092.56803894043
2023-03-01,bucket_core_screener,incumbent,27,8017358.731070995
2023-03-02,bucket_3_inverse,incumbent,7,7145.685409545898
2023-03-02,bucket_core_screener,incumbent,27,8075998.673024654
2023-03-03,bucket_3_inverse,incumbent,8,8107.048797607422
2023-03-03,bucket_core_screener,incumbent,27,8262148.398672581
2023-03-06,bucket_3_inverse,incumbent,8,9448.913558959961
2023-03-06,bucket_core_screener,incumbent,27,7687265.680134773
2023-03-07,bucket_3_inverse,incumbent,8,9882.660850524902
2023-03-07,bucket_core_screener,incumbent,27,7451428.6495399475
2023-03-08,bucket_3_inverse,incumbent,8,9930.66756439209
2023-03-08,bucket_core_screener,incumbent,27,7452958.114694595
2023-03-09,bucket_3_inverse,incumbent,8,10424.196632385254
2023-03-09,bucket_core_screener,incumbent,27,7205854.428368568
2023-03-10,bucket_3_inverse,incumbent,8,10690.624542236328
2023-03-10,bucket_core_screener,incumbent,27,7129053.775715828
2023-03-13,bucket_3_inverse,incumbent,8,10959.723918914795
2023-03-13,bucket_core_screener,incumbent,27,7891136.406293869
2023-03-14,bucket_3_inverse,incumbent,8,10597.313415527344
2023-03-14,bucket_core_screener,incumbent,27,8065605.534362316
2023-03-15,bucket_3_inverse,incumbent,8,10887.505981445312
2023-03-15,bucket_core_screener,incumbent,27,7961207.690176487
2023-03-16,bucket_3_inverse,incumbent,8,10587.977626800537
2023-03-16,bucket_core_screener,incumbent,27,8172652.101442814
2023-03-17,bucket_3_inverse,incumbent,8,10789.346138000488
2023-03-17,bucket_core_screener,incumbent,27,8238001.920280933
2023-03-20,bucket_3_inverse,incumbent,8,11783.6215133667
2023-03-20,bucket_core_screener,incumbent,27,7869192.703995228
2023-03-21,bucket_3_inverse,incumbent,8,11543.344173431396
2023-03-21,bucket_core_screener,incumbent,27,7968162.687160015
2023-03-22,bucket_3_inverse,incumbent,8,11989.567462921143
2023-03-22,bucket_core_screener,incumbent,27,7908547.200341225
2023-03-23,bucket_3_inverse,incumbent,8,11828.266681671143
2023-03-23,bucket_core_screener,incumbent,27,8067612.486466408
2023-03-24,bucket_3_inverse,incumbent,8,11775.187480926514
2023-03-24,bucket_core_screener,incumbent,27,8076981.5718688965
2023-03-27,bucket_3_inverse,incumbent,8,12108.733131408691
2023-03-27,bucket_core_screener,incumbent,27,7958897.781755447
