date,bucket,n_pairs,gross_notional_usd,sum_abs_long_usd,sum_abs_short_usd,sum_long_sh,sum_short_sh
2023-01-03,bucket_core_screener,27,7499695.90516901,5304380.406827927,2195315.4983410835,112365.0,-151979.0
2023-01-04,bucket_core_screener,27,7904192.113431454,5513598.98901844,2390593.1244130135,112365.0,-151979.0
2023-01-05,bucket_core_screener,27,7787635.99036479,5451030.863528252,2336605.1268365383,112365.0,-151979.0
2023-01-06,bucket_3_inverse,1,125.21270751953125,0.0,125.21270751953125,0.0,-2.0
2023-01-06,bucket_core_screener,27,8055324.70876646,5588255.6947546005,2467069.01401186,112365.0,-151979.0
2023-01-09,bucket_3_inverse,1,124.34666442871094,0.0,124.34666442871094,0.0,-2.0
2023-01-09,bucket_core_screener,27,7633601.517382622,5375237.240462303,2258364.2769203186,106189.0,-142651.0
2023-01-10,bucket_3_inverse,1,124.85186004638672,0.0,124.85186004638672,0.0,-2.0
2023-01-10,bucket_core_screener,27,7799989.252219677,5463726.992325783,2336262.259893894,106189.0,-142651.0
2023-01-11,bucket_3_inverse,1,123.0476303100586,0.0,123.0476303100586,0.0,-2.0
2023-01-11,bucket_core_screener,27,7893566.736968279,5512457.9797410965,2381108.7572271824,106189.0,-142651.0
2023-01-12,bucket_3_inverse,1,117.6349868774414,0.0,117.6349868774414,0.0,-2.0
2023-01-12,bucket_core_screener,27,8006139.599185944,5570702.768882751,2435436.830303192,106189.0,-142651.0
2023-01-13,bucket_3_inverse,4,833.585807800293,0.0,833.585807800293,0.0,-7.0
2023-01-13,bucket_core_screener,27,8148133.198785543,5643693.08795166,2504440.1108338833,106189.0,-142651.0
2023-01-17,bucket_3_inverse,4,962.7419281005859,0.0,962.7419281005859,0.0,-9.0
2023-01-17,bucket_core_screener,27,7525539.814544916,5338753.260511398,2186786.554033518,101037.0,-122013.0
2023-01-18,bucket_3_inverse,4,993.6184234619141,0.0,993.6184234619141,0.0,-9.0
2023-01-18,bucket_core_screener,27,7367704.7269051075,5257423.964664459,2110280.7622406483,101037.0,-122013.0
2023-01-19,bucket_3_inverse,4,1016.8015289306641,0.0,1016.8015289306641,0.0,-9.0
2023-01-19,bucket_core_screener,27,7416334.2325463295,5283810.281316757,2132523.9512295723,101037.0,-122013.0
2023-01-20,bucket_3_inverse,4,976.6678466796875,0.0,976.6678466796875,0.0,-9.0
2023-01-20,bucket_core_screener,27,7679930.677561283,5424338.299512863,2255592.37804842,101037.0,-122013.0
2023-01-23,bucket_3_inverse,4,1436.1780891418457,0.0,1436.1780891418457,0.0,-14.0
2023-01-23,bucket_core_screener,27,7845031.929977417,5514150.245967865,2330881.684009552,101037.0,-121247.0
2023-01-24,bucket_3_inverse,4,1406.3582000732422,0.0,1406.3582000732422,0.0,-14.0
2023-01-24,bucket_core_screener,27,7833593.008502483,5507847.197904587,2325745.8105978966,101037.0,-121247.0
2023-01-25,bucket_3_inverse,4,1392.2628707885742,0.0,1392.2628707885742,0.0,-14.0
2023-01-25,bucket_core_screener,27,7869623.142384529,5525698.072149277,2343925.0702352524,101037.0,-121247.0
2023-01-26,bucket_3_inverse,4,1384.2621879577637,0.0,1384.2621879577637,0.0,-14.0
2023-01-26,bucket_core_screener,27,8000951.511515617,5594259.737487793,2406691.7740278244,101037.0,-121247.0
2023-01-27,bucket_3_inverse,4,1373.1086196899414,0.0,1373.1086196899414,0.0,-14.0
2023-01-27,bucket_core_screener,27,8060812.498680115,5629409.887939453,2431402.6107406616,101037.0,-121247.0
2023-01-30,bucket_3_inverse,4,2176.373733520508,0.0,2176.373733520508,0.0,-21.0
2023-01-30,bucket_core_screener,27,7647687.110200882,5461400.744876862,2186286.3653240204,101037.0,-114419.0
2023-01-31,bucket_3_inverse,4,2102.5673599243164,0.0,2102.5673599243164,0.0,-21.0
2023-01-31,bucket_core_screener,27,7743145.912029743,5514093.216291428,2229052.6957383156,101037.0,-114419.0
2023-02-01,bucket_3_inverse,4,2075.36279296875,0.0,2075.36279296875,0.0,-21.0
2023-02-01,bucket_core_screener,27,8038457.591227531,5668806.703468323,2369650.8877592087,101037.0,-114419.0
2023-02-02,bucket_3_inverse,4,2024.0918197631836,0.0,2024.0918197631836,0.0,-21.0
2023-02-02,bucket_core_screener,27,8184316.65609026,5751907.5939826965,2432409.062107563,101037.0,-114419.0
2023-02-03,bucket_3_inverse,6,3423.339813232422,0.0,3423.339813232422,0.0,-23.0
2023-02-03,bucket_core_screener,27,7892135.325606823,5601795.876462936,2290339.4491438866,101037.0,-114419.0
2023-02-06,bucket_3_inverse,6,3993.033561706543,0.0,3993.033561706543,0.0,-28.0
2023-02-06,bucket_core_screener,27,7819102.933032513,5542481.217128754,2276621.715903759,101037.0,-113208.0
2023-02-07,bucket_3_inverse,6,3875.2812423706055,0.0,3875.2812423706055,0.0,-28.0
2023-02-07,bucket_core_screener,27,7988766.711900711,5631916.231170654,2356850.4807300568,101037.0,-113208.0
2023-02-08,bucket_3_inverse,6,3995.854782104492,0.0,3995.854782104492,0.0,-28.0
2023-02-08,bucket_core_screener,27,7845702.5333042145,5557521.840324402,2288180.6929798126,101037.0,-113208.0
2023-02-09,bucket_3_inverse,6,4057.3804931640625,0.0,4057.3804931640625,0.0,-28.0
2023-02-09,bucket_core_screener,27,7762155.35185051,5514854.920320511,2247300.431529999,101037.0,-113208.0
2023-02-10,bucket_3_inverse,6,4096.31755065918,0.0,4096.31755065918,0.0,-28.0
2023-02-10,bucket_core_screener,27,7614449.848267555,5437358.05099678,2177091.797270775,101037.0,-113208.0
2023-02-13,bucket_3_inverse,6,4633.578323364258,0.0,4633.578323364258,0.0,-34.0
2023-02-13,bucket_core_screener,27,7795552.486074448,5493244.0899505615,2302308.396123886,101037.0,-116652.0
