source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-14,ASTN,ASTS,31100.56446315,23720.58
2026-07-14,CONI,COIN,13508.282464677,13508.282464677
2026-07-14,CORD,CRWV,88422.026285835,0.4090371323063755
2026-07-14,DAMD,AMD,5338.496451600001,5338.496451600001
2026-07-14,IREZ,IREN,31284.344339360003,31284.344339360006
2026-07-14,LITZ,LITE,65779.1219754,14594.85
2026-07-14,MSTZ,MSTR,23687.88732408,14275.5
2026-07-14,MUZ,MU,4959.5,4959.5
2026-07-14,NBIZ,NBIS,43496.975421152,34944.66
2026-07-14,QBTZ,QBTS,68422.38525052,0.0
2026-07-14,RKLZ,RKLB,22869.156144480003,10358.55
2026-07-14,SNDQ,SNDK,53665.8001386,41849.25
2026-07-14,SPCG,SPCX,1789.2,2717.6127056216105
2026-07-14,SSPC,SPCX,2235.92,2717.6127056216105
2026-07-14,UVIX,SVIX,21072.011829078,20378.82
