ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
AMUU,AMD,2.007388,263,ols,0.051326,9000,0.051326,False,False,92.77999877929688,0.051326,1.0,False,True,False,False,False,False,False,False,False,1.15528,1.168013,0.507996,0.489476,0.579495,0.582911,0.0106,yfinance,0.0,0.03595,0.386361,0.390376,True,0.507996,0.45667,0.45667,0.501847,0.6022164,0.501847,0.6022164,bucket_1,,False,0.051326,ETF_LS,5751.394683801298,-2865.1136122171188,5751.394683801298,-2865.1136122171188,17032.628784793545,0.0,-0.0,17032.628784793545,core_leveraged
ASMU,ASML,2.00412,48,ols,0.124334,7000,0.124334,False,False,24.399999618530277,0.124334,1.0,False,True,False,False,False,False,False,False,False,0.923197,0.939357,0.349506,0.31182,0.386016,0.384745,0.0097,yfinance,0.0,0.03595,0.195729,0.194743,True,0.22502,0.2251719999999999,0.100686,0.50103,0.601236,0.50103,0.601236,bucket_1,,False,0.124334,ETF_LS,839.0843035192332,-418.67967163604635,839.0843035192332,-418.67967163604635,1675.4155152906642,0.0,-0.0,1675.4155152906642,core_leveraged
AVL,AVGO,1.986562,382,ols,0.042122,150000,0.042122,False,False,60.2400016784668,0.042122,1.0,False,True,False,False,False,False,False,False,False,0.85054,0.854332,0.377351,0.372045,0.427976,0.427674,0.01,yfinance,0.0,0.03595,0.224955,0.224702,True,0.377351,0.335229,0.335229,0.4966405,0.5959686,0.5,0.5959686,bucket_1,,False,0.042122,ETF_LS,4324.983103067296,-2177.1196182486606,4324.983103067296,-2177.1196182486606,12302.733780937315,0.0,-0.0,12302.733780937315,core_leveraged
BOEU,BA,1.996053,250,ols,0.055103,10000,0.055103,False,False,40.7599983215332,0.055103,1.0,False,True,False,False,False,False,False,False,False,0.604812,0.611025,0.194004,0.189857,0.308607,0.310221,0.0106,yfinance,0.0,0.03595,0.141083,0.142076,True,0.193584,0.138901,0.138481,0.49901325,0.5988159,0.5,0.5988159,bucket_1,,False,0.055103,ETF_LS,1230.6319319630222,-616.5326932516433,1230.6319319630222,-616.5326932516433,2126.466971662065,0.0,-0.0,2126.466971662065,core_leveraged
BABU,BABA,2.035337,47,ols,0.053929,25000,0.053929,False,False,15.81999969482422,0.053929,1.0,False,True,False,False,False,False,False,False,False,0.758996,0.745366,0.255082,0.238592,0.425322,0.430356,0.0097,yfinance,0.0,0.03595,0.237521,0.242059,True,0.240796,0.2011529999999999,0.186867,0.50883425,0.6106011,0.50883425,0.6106011,bucket_1,,False,0.053929,ETF_LS,1937.0490061049259,-951.7092285478649,1937.0490061049259,-951.7092285478649,5885.020730592878,0.0,-0.0,5885.020730592878,core_leveraged
CONX,COIN,2.004311,104,ols,0.1030219999999999,30000,0.1030219999999999,False,False,11.44200038909912,0.1030219999999999,1.0,False,True,False,False,False,False,False,False,False,1.482051,1.508701,0.709804,0.676149,0.72204,0.735265,0.0097,yfinance,0.0,0.03595,0.570523,0.589921,True,0.628004,0.606782,0.5249820000000001,0.50107775,0.6012932999999999,0.50107775,0.6012932999999999,bucket_1,,False,0.1030219999999999,ETF_LS,5265.381560290794,-2627.0282208154294,5265.381560290794,-2627.0282208154294,22455.502248975026,0.0,-0.0,22455.502248975026,core_leveraged
GGLL,GOOGL,1.995404,500,ols,0.073721,400000,0.073721,False,False,107.61000061035156,0.073721,1.0,False,True,False,False,False,False,False,False,False,0.572843,0.572567,0.194495,0.187233,0.288288,0.285891,0.0096,yfinance,0.0,0.03595,0.127923,0.126556,True,0.194495,0.120774,0.120774,0.498851,0.5986212,0.5,0.5986212,bucket_1,,False,0.073721,ETF_LS,837.866033122993,-419.89794203228666,837.866033122993,-419.89794203228666,4678.98900611988,0.0,-0.0,4678.98900611988,core_leveraged
HODU,HOOD,2.008106,104,ols,0.1242259999999999,20000,0.1242259999999999,False,False,11.06999969482422,0.1242259999999999,1.0,False,True,False,False,False,False,False,False,False,1.440228,1.437008,0.693074,0.63922,0.661588,0.665853,0.0097,yfinance,0.0,0.03595,0.488976,0.494707,True,0.573207,0.568848,0.448981,0.5020265,0.6024318000000001,0.5020265,0.6024318000000001,bucket_1,,False,0.1242259999999999,ETF_LS,3621.7305320448045,-1803.555455760206,3621.7305320448045,-1803.555455760206,18729.721411049653,0.0,-0.0,18729.721411049653,core_leveraged
LINT,INTC,1.989516,104,ols,0.1764059999999999,30000,0.1764059999999999,False,False,68.87999725341797,0.1764059999999999,1.0,False,True,False,False,False,False,False,False,False,1.446715,1.434356,0.621297,0.593857,0.631465,0.636803,0.0097,yfinance,0.0,0.03595,0.437772,0.444436,True,0.513512,0.444891,0.337106,0.497379,0.5968548,0.5,0.5968548,bucket_1,,False,0.1764059999999999,ETF_LS,837.0390233051208,-420.7249518501589,837.0390233051208,-420.7249518501589,6844.733041280575,0.0,-0.0,6844.733041280575,core_leveraged
ELIL,LLY,1.993048,268,ols,0.132612,10000,0.132612,False,False,19.238000869750977,0.132612,1.0,False,True,False,False,False,False,False,False,False,0.796254,0.773372,0.28584,0.275255,0.393523,0.389305,0.0107,yfinance,0.0,0.03595,0.199649,0.196382,True,0.28584,0.1532279999999999,0.1532279999999999,0.498262,0.5979144,0.5,0.5979144,bucket_1,,False,0.132612,ETF_LS,837.5355073340888,-420.2284678211909,837.5355073340888,-420.2284678211909,2785.0070619729904,0.0,-0.0,2785.0070619729904,core_leveraged
