etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.025328,1.0
ASTN,ASTS,-2.005551,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-2.005194,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.988552,1.0
CELT,CELH,-1.0,1.0
CONI,COIN,-1.93038,1.0
CRCD,CRCL,-1.987705,1.0
CORD,CRWV,-1.99773,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-2.001864,1.0
SDOW,DIA,-2.998763,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.013167,1.0
BTCZ,IBIT,-1.99685,1.0
IONZ,IONQ,-2.014971,1.0
IREZ,IREN,-2.000609,1.0
TWM,IWM,-2.002938,1.0
TZA,IWM,-2.99772,1.0
BTFL,KEEL,-1.0,1.0
LITZ,LITE,-1.995909,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.994093,1.0
SMST,MSTR,-1.970104,1.0
MUZ,MU,-2.0,1.0
NBIZ,NBIS,-2.024965,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-2.000818,1.0
NVDS,NVDA,-1.497272,1.0
OKLS,OKLO,-1.999725,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.995521,1.0
QID,QQQ,-1.995277,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.985369,1.0
RKLZ,RKLB,-2.002683,1.0
SMCZ,SMCI,-2.005362,1.0
SNDQ,SNDK,-2.019976,1.0
SNK,SPCX,-2.0,1.0
SPCG,SPCX,-2.0,1.0
SSPC,SPCX,-2.0,1.0
HIBS,SPHB,-3.004494,1.0
SPXS,SPY,-2.994319,1.0
SPXU,SPY,-2.99108,1.0
UVIX,SVIX,-1.992588,1.0
TBT,TLT,-1.997158,1.0
TBX,TLT,-1.370356,1.0
TMV,TLT,-2.989566,1.0
TSDD,TSLA,-2.006098,1.0
STSM,TSM,-1.994756,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.749504,1.0
DUG,XLE,-1.990508,1.0
SKF,XLF,-1.999255,1.0
FNGD,XLK,-2.884602,1.0
REW,XLK,-2.007545,1.0
TECS,XLK,-2.99736,1.0
WEBS,XLK,-2.725692,1.0
DRIP,XOP,-1.995877,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
