symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17745.77580633,17745.77580633,1
DUST,flow_program,14823.914816,14823.914816,1
ZSL,flow_program,13688.9844858,13688.9844858,1
SDS,flow_program,10692.25332332,10692.25332332,1
FAZ,flow_program,8644.124332800002,8644.124332800002,1
SQQQ,flow_program,8382.195542000001,8382.195542000001,1
TSLQ,flow_program,8172.8675850399995,8172.8675850399995,1
NVDQ,flow_program,6847.12608216,6847.12608216,1
LABD,flow_program,5003.49322656,5003.49322656,1
EWV,flow_program,3205.452766815,3205.452766815,1
SOXS,flow_program,1661.94667188,1661.94667188,1
TSYY,flow_program,-64.40877612,64.40877612,1
NVYY,flow_program,-93.75211345500001,93.75211345500001,1
TQQY,flow_program,-453.4489782207,453.4489782207,1
