bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
bucket_1,9677.682417161597,121.5100075717954,227.99978278959728,0.0,-2643.9585239941084,-2791.744364963844,695.6978945994405,0.0,0.0,5287.187213164477
bucket_2,6456.146033028403,8569.854956428206,-1.6797827895972661,0.0,-10028.831476005891,-737.5856350361562,129.81218998745268,0.0,0.0,4387.716285612415
bucket_3,510.02678675,-4280.28155,0.0,0.0,0.0,-167.87,47.12991541310708,0.0,0.0,-3890.9948478368924
