symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,12141.871488,12141.871488,1
FAZ,flow_program,10501.43443648,10501.43443648,1
ZSL,flow_program,10229.384444759999,10229.384444759999,1
SOXS,flow_program,10015.28321904,10015.28321904,1
LABD,flow_program,9971.120173559999,9971.120173559999,1
SQQQ,flow_program,9446.1873792,9446.1873792,1
SDS,flow_program,8588.6495317,8588.6495317,1
TSLQ,flow_program,8313.74176644,8313.74176644,1
NVDQ,flow_program,8227.48202535,8227.48202535,1
TSYY,flow_program,-12.690334799999999,12.690334799999999,1
NVYY,flow_program,-20.665706695199997,20.665706695199997,1
TQQY,flow_program,-72.99409068000001,72.99409068000001,1
