symbol,net_notional_usd,gross_notional_usd,n_legs
ZSL,11405.67770628,11405.67770628,1
DUST,11155.9533568,11155.9533568,1
SQQQ,11042.936742240001,11042.936742240001,1
FAZ,10565.806236999999,10565.806236999999,1
TSLQ,10100.940234000002,10100.940234000002,1
SDS,9743.948232480001,9743.948232480001,1
SOXS,9669.9400668,9669.9400668,1
LABD,8840.1809276,8840.1809276,1
NVDQ,8647.212768,8647.212768,1
EWV,829.3665929584,829.3665929584,1
TSYY,-35.02359509,35.02359509,1
NVYY,-46.325037200000004,46.325037200000004,1
TQQY,-214.1009946,214.1009946,1
