bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
bucket_1,1850.2998998598514,48602.4677186224,249.54098897283868,0.0,-728.02,-4229.67,696.3526999467426,0.0,0.0,46440.97130740184
bucket_4,953.7924997030157,-4477.003648233261,0.0,0.0,0.0,-9.395624775243455,0.0,0.0,0.0,-3532.606773305489
bucket_3,30.564975440000012,-4852.073099,0.0,0.0,-516.59,-484.19,51.926416852995004,0.0,0.0,-5770.3617067070045
bucket_2,14869.104755527133,-21486.834519389136,189.26901102716133,0.0,-15618.9,-1419.4843752247566,124.36088320026252,0.0,0.0,-23342.48424485934
