ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986249,502,ols,0.10850699999999999,45000,0.10850699999999999,False,False,28.459999084472656,0.10850699999999999,1.0,False,,True,False,False,False,False,True,False,False,False,0.56342,0.173838,0.283495,0.078719,0.173838,0.065331,0.065331,0.49656225,0.5958747,0.5,0.5958747
AMUU,AMD,2.007836,249,ols,0.043757000000000004,50000,0.043757000000000004,False,False,45.9900016784668,0.043757000000000004,1.0,False,,True,False,False,False,False,True,False,False,False,1.295279,0.491636,0.561061,0.318499,0.489575,0.447879,0.445818,0.501959,0.6023508000000001,0.501959,0.6023508000000001
AMZU,AMZN,1.988318,502,ols,0.042946,80000,0.042946,False,False,27.7450008392334,0.042946,1.0,False,,True,False,False,False,False,True,False,False,False,0.636224,0.20999,0.319839,0.100511,0.20999,0.16704400000000003,0.16704400000000003,0.4970795,0.5964954,0.5,0.5964954
ASMU,ASML,1.987288,34,ols,0.057016,10000,0.057016,False,False,22.084999084472656,0.057016,1.0,False,,True,False,False,False,False,True,False,False,False,0.895243,0.314344,0.437586,0.187846,0.204913,0.257328,0.147897,0.496822,0.5961864,0.5,0.5961864
AVL,AVGO,1.986872,368,ols,0.042664,100000,0.042664,False,False,33.939998626708984,0.042664,1.0,False,,True,False,False,False,False,True,False,False,False,1.074554,0.376772,0.5356,0.281243,0.376772,0.334108,0.334108,0.496718,0.5960616,0.5,0.5960616
BOEU,BA,1.992743,236,ols,0.056112,10000,0.056112,False,False,33.220001220703125,0.056112,1.0,False,,True,False,False,False,False,True,False,False,False,0.604312,0.193887,0.353836,0.12384,0.18944,0.137775,0.133328,0.49818575,0.5978228999999999,0.5,0.5978228999999999
BABU,BABA,2.024226,33,ols,0.047868,15000,0.047868,False,False,13.319999694824219,0.047868,1.0,False,,True,False,False,False,False,True,False,False,False,0.715196,0.177167,0.444385,0.204712,0.201105,0.129299,0.153237,0.5060565,0.6072678,0.5060565,0.6072678
BRKU,BRK-B,1.946231,325,ols,0.155198,20000,0.155198,False,False,21.825000762939453,0.155198,1.0,False,,True,False,False,False,False,True,False,False,False,0.356821,0.135874,0.172652,0.027448,0.135874,-0.019324000000000008,-0.019324000000000008,0.48655775,0.5838693,0.5,0.5838693
CONX,COIN,2.002769,90,ols,0.149028,3000,0.149028,False,False,8.390000343322754,0.149028,1.0,False,,True,False,False,False,False,True,False,False,False,1.54414,0.693095,0.792874,0.631263,0.653346,0.5440670000000001,0.504318,0.50069225,0.6008306999999999,0.50069225,0.6008306999999999
CSCL,CSCO,2.026147,193,ols,0.094001,10000,0.094001,False,False,29.329999923706055,0.094001,1.0,False,,True,False,False,False,False,True,False,False,False,0.534244,0.180884,0.238993,0.059377,0.152436,0.08688299999999999,0.05843499999999999,0.50653675,0.6078441,0.50653675,0.6078441
FRDU,F,1.983516,173,ols,,0,,False,True,24.155000686645508,,1.0,False,,False,False,False,False,False,True,False,True,False,0.622061,0.207114,0.344412,0.115703,0.178457,0.207114,0.178457,0.495879,1.0,0.5,1.0
GGLL,GOOGL,1.99468,502,ols,0.053411999999999994,55000,0.053411999999999994,False,False,83.53720092773438,0.053411999999999994,1.0,False,,True,False,False,False,False,True,False,False,False,0.600301,0.190876,0.300832,0.089779,0.190876,0.137464,0.137464,0.49867,0.5984039999999999,0.5,0.5984039999999999
HODU,HOOD,2.006817,90,ols,0.098778,9000,0.098778,False,False,7.243000030517578,0.098778,1.0,False,,True,False,False,False,False,True,False,False,False,1.42109,0.62521,0.705883,0.503377,0.546889,0.526432,0.4481109999999999,0.50170425,0.6020450999999999,0.50170425,0.6020450999999999
LINT,INTC,1.994159,90,ols,0.147152,10000,0.147152,False,False,38.529998779296875,0.147152,1.0,False,,True,False,False,False,False,True,False,False,False,1.455228,0.602055,0.628249,0.391245,0.466534,0.454903,0.319382,0.49853975,0.5982476999999999,0.5,0.5982476999999999
ELIL,LLY,1.991877,254,ols,0.102039,2000,0.102039,False,False,20.96500015258789,0.102039,1.0,False,,True,False,False,False,False,True,False,False,False,0.846885,0.281074,0.374824,0.138786,0.281074,0.179035,0.179035,0.49796925,0.5975630999999999,0.5,0.5975630999999999
LMTL,LMT,1.993182,164,ols,0.196387,15000,0.196387,False,False,46.810001373291016,0.196387,1.0,False,,True,False,False,False,False,True,False,False,False,0.484485,0.158085,0.24287,0.058384,0.123269,-0.038302,-0.073118,0.4982955,0.5979546,0.5,0.5979546
