ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
AAPU,AAPL,1.986219,502,ols,0.1085069999999999,-0.072107,0.1085069999999999,40000,0.1085069999999999,False,False,False,True,False,False,False,False,False,False,False,0.563377,0.174136,0.283478,0.078706,0.174136,0.065629,0.065629,0.49655475,0.5958656999999999,0.5,0.5958656999999999,0.1085069999999999,ETF_LS,883.0152605270619,-444.57094636948983,core_leveraged
AMUU,AMD,2.008348,249,ols,0.043757,-0.007357,0.043757,50000,0.043757,False,False,False,True,False,False,False,False,False,False,False,1.296137,0.487857,0.561215,0.318917,0.485846,0.4441,0.442089,0.502087,0.6025043999999999,0.502087,0.6025043999999999,0.043757,ETF_LS,1949.4019974315593,-970.649507670762,core_leveraged
AMZU,AMZN,1.988306,502,ols,0.043035,-0.0066349999999999,0.043035,40000,0.043035,False,False,False,True,False,False,False,False,False,False,False,0.636408,0.210126,0.319933,0.100569,0.210126,0.167091,0.167091,0.4970765,0.5964917999999999,0.5,0.5964917999999999,0.043035,ETF_LS,1095.7458535437352,-551.0951802910292,core_leveraged
ASMU,ASML,1.991217,34,ols,0.057016,-0.020616,0.057016,10000,0.057016,False,False,False,True,False,False,False,False,False,False,False,0.910123,0.295689,0.438011,0.189333,0.203683,0.2386729999999999,0.146667,0.49780425,0.5973651,0.5,0.5973651,0.057016,ETF_LS,932.1812852789435,-468.14650802948324,core_leveraged
AVL,AVGO,1.986857,368,ols,0.043889,-0.007489,0.043889,100000,0.043889,False,False,False,True,False,False,False,False,False,False,False,1.074538,0.377044,0.535596,0.281232,0.377044,0.333155,0.333155,0.49671425,0.5960571,0.5,0.5960571,0.043889,ETF_LS,1607.4050259433195,-809.0189812066593,core_leveraged
BOEU,BA,1.992187,236,ols,0.056112,-0.019712,0.056112,10000,0.056112,False,False,False,True,False,False,False,False,False,False,False,0.607274,0.195989,0.354477,0.124185,0.19143,0.139877,0.135318,0.49804675,0.5976560999999999,0.5,0.5976560999999999,0.056112,ETF_LS,903.4203338089167,-453.48169313870466,core_leveraged
BABU,BABA,2.026269,33,ols,0.047868,-0.011468,0.047868,15000,0.047868,False,False,False,True,False,False,False,False,False,False,False,0.715196,0.219801,0.444342,0.205288,0.207189,0.171933,0.159321,0.50656725,0.6078807,0.50656725,0.6078807,0.047868,ETF_LS,1041.932871176985,-514.21251135806,core_leveraged
CONX,COIN,2.002777,90,ols,0.149028,-0.112628,0.149028,3000,0.149028,False,False,False,True,False,False,False,False,False,False,False,1.544879,0.694297,0.792901,0.631313,0.653807,0.545269,0.5047790000000001,0.50069425,0.6008331,0.50069425,0.6008331,0.149028,ETF_LS,1390.1424161935095,-694.1074399164307,core_leveraged
CSCL,CSCO,2.025871,193,ols,0.094001,-0.057601,0.094001,10000,0.094001,False,False,False,True,False,False,False,False,False,False,False,0.534244,0.185714,0.23902,0.059367,0.156133,0.0917129999999999,0.0621319999999999,0.50646775,0.6077613,0.50646775,0.6077613,0.094001,ETF_LS,888.8410631357795,-438.74514376077224,core_leveraged
FRDU,F,1.983516,173,ols,,,,0,,False,True,False,False,False,False,False,False,False,True,False,0.622061,0.207114,0.344436,0.115719,0.178462,0.207114,0.178462,0.495879,1.0,0.5,1.0,,ETF_LS,1439.4138060776731,-725.6880237304226,core_leveraged
