ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986249,502,ols
AMUU,AMD,2.0,2.007836,249,ols
AMZU,AMZN,2.0,1.988318,502,ols
ASMU,ASML,2.0,1.987288,34,ols
AVL,AVGO,2.0,1.986872,368,ols
BOEU,BA,2.0,1.992743,236,ols
BABU,BABA,2.0,2.024226,33,ols
BRKU,BRK-B,2.0,1.946231,325,ols
CONX,COIN,2.0,2.002769,90,ols
CSCL,CSCO,2.0,2.026147,193,ols
FRDU,F,2.0,1.983516,173,ols
GGLL,GOOGL,2.0,1.99468,502,ols
HODU,HOOD,2.0,2.006817,90,ols
LINT,INTC,2.0,1.994159,90,ols
ELIL,LLY,2.0,1.991877,254,ols
LMTL,LMT,2.0,1.993182,164,ols
METU,META,2.0,1.998266,455,ols
MRVU,MRVL,2.0,2.010986,33,ols
MSFU,MSFT,2.0,1.991698,502,ols
MUU,MU,2.0,1.994257,368,ols
NFXL,NFLX,2.0,1.996726,373,ols
NVDU,NVDA,2.0,1.987232,502,ols
ORCU,ORCL,2.0,2.004232,90,ols
PALU,PANW,2.0,2.004266,254,ols
PLTU,PLTR,2.0,1.991927,325,ols
QCMU,QCOM,2.0,2.00203,193,ols
SHPU,SHOP,2.0,2.011967,164,ols
SOFA,SOFI,2.0,1.995758,34,ols
TSLL,TSLA,2.0,1.993736,502,ols
TSMX,TSM,2.0,1.994668,373,ols
XOMX,XOM,2.0,1.977903,236,ols
YINN,FXI,2.0,2.972916,502,ols
MEXX,EWW,2.0,2.956819,502,ols
KORU,EWY,2.0,2.929777,502,ols
HIBL,SPY,2.0,4.47469,502,ols
LABU,XBI,2.0,2.9881,502,ols
SOXL,SOXX,2.0,2.961398,502,ols
CHAU,ASHR,2.0,1.966445,502,ols
CWEB,KWEB,2.0,1.987706,502,ols
ERX,XLE,2.0,1.98688,502,ols
NUGT,GDX,2.0,1.978625,502,ols
JNUG,GDXJ,2.0,1.975323,502,ols
GUSH,XOP,2.0,2.010405,502,ols
URAA,URA,2.0,1.931838,442,ols
MSTU,MSTR,2.0,1.966011,384,ols
NVDX,NVDA,2.0,1.997724,502,ols
TSLT,TSLA,2.0,1.992527,502,ols
BTCL,IBIT,2.0,2.005985,433,ols
ETU,ETHA,2.0,1.989136,358,ols
CCUP,CRCL,2.0,1.98383,161,ols
CRWU,CRWV,2.0,1.988605,171,ols
AAPX,AAPL,2.0,1.99549,502,ols
GOOX,GOOGL,2.0,1.979433,502,ols
MSFX,MSFT,2.0,2.007381,502,ols
NFLU,NFLX,2.0,1.992639,377,ols
ROBN,HOOD,2.0,2.011445,292,ols
DJTU,DJT,2.0,2.007193,271,ols
RBLU,RBLX,2.0,2.017432,271,ols
SNOU,SNOW,2.0,2.016802,235,ols
SMUP,SMR,2.0,1.982416,171,ols
GLXU,GLXY,2.0,2.011407,162,ols
AFRU,AFRM,2.0,1.949466,136,ols
KTUP,KTOS,2.0,2.028207,136,ols
TTDU,TTD,2.0,1.994654,135,ols
BMNU,BMNR,2.0,1.946544,128,ols
SBTU,SBET,2.0,2.024225,111,ols
CIFU,CIFR,2.0,1.985709,88,ols
SOLX,GSOL,2.0,1.980123,81,ols
XRPK,XRPZ,2.0,1.95735,81,ols
XRPT,XRPZ,2.0,2.016137,87,ols
GMEU,GME,2.0,1.967672,235,ols
APLX,APLD,2.0,1.99428,141,ols
APPX,APP,2.0,1.986339,234,ols
ARCX,ACHR,2.0,1.986947,203,ols
ASTX,ASTS,2.0,1.989343,182,ols
BEX,BE,2.0,1.975718,94,ols
CEGX,CEG,2.0,1.983467,182,ols
CLSX,CLSK,2.0,1.998617,136,ols
COZX,CORZ,2.0,2.037289,100,ols
CRDU,CRDO,2.0,1.989525,136,ols
CSEX,CLS,2.0,1.997237,94,ols
CWVX,CRWV,2.0,1.989439,182,ols
DOGD,DDOG,2.0,2.012972,160,ols
ENPX,ENPH,2.0,2.018117,136,ols
FLYT,FLY,2.0,1.983397,109,ols
GEVX,GEV,2.0,1.99647,182,ols
IREX,IREN,2.0,1.981979,109,ols
JOBX,JOBY,2.0,1.97878,141,ols
LABX,ALAB,2.0,1.994332,160,ols
LRCU,LRCX,2.0,2.039866,155,ols
MDBX,MDB,2.0,1.990663,155,ols
NEBX,NBIS,2.0,1.997237,141,ols
NNEX,NNE,2.0,1.985243,94,ols
NVTX,NVTS,2.0,1.998567,141,ols
OPEX,OPEN,2.0,1.997307,109,ols
PONX,PONY,2.0,2.006616,141,ols
QBTX,QBTS,2.0,1.992561,234,ols
QUBX,QUBT,2.0,1.964777,194,ols
RGTU,RGTI,2.0,1.986239,194,ols
SMU,SMR,2.0,1.985228,182,ols
SNPX,SNPS,2.0,1.919636,94,ols
SRPU,SRPT,2.0,1.966034,109,ols
TARK,ARKK,2.0,1.977851,502,ols
TEMT,TEM,2.0,1.984836,222,ols
UNX,U,2.0,2.028887,136,ols
UPSX,UPST,2.0,1.985111,203,ols
VOYX,VOYG,2.0,1.965946,141,ols
WULX,WULF,2.0,1.994822,109,ols
CRMU,CRML,2.0,1.967872,35,ols
UECG,UEC,2.0,1.994104,35,ols
DNNG,DNN,2.0,1.980901,35,ols
RCAX,RCAT,2.0,2.017535,40,ols
RDWU,RDW,2.0,1.97024,42,ols
OKLL,OKLO,2.0,1.997757,194,ols
GDXU,GDX,2.0,3.043721,502,ols
MRNX,MRNA,2.0,2.017763,39,ols
ZETX,ZETA,2.0,2.052808,39,ols
LITX,LITE,2.0,1.981573,45,ols
SNXX,SNDX,2.0,1.511458,45,ols
WDCX,WDC,2.0,2.042471,45,ols
LNOK,NOK,2.0,1.977805,49,ols
USGG,USAR,2.0,1.997742,54,ols
ONDG,ONDS,2.0,2.005547,54,ols
PLUL,PLUG,2.0,1.933318,54,ols
ALBG,ALB,2.0,2.005349,54,ols
UUUG,UUUU,2.0,2.001106,54,ols
HUTG,HUT,2.0,2.002587,54,ols
XPEG,XPEV,2.0,1.986196,52,ols
ORLG,ORLY,2.0,1.998961,52,ols
LUNL,LUNR,2.0,1.998207,54,ols
RKTL,RKT,2.0,1.958101,54,ols
EOSU,EOSE,2.0,1.965492,53,ols
BTFL,KEEL,2.0,2.028999,63,ols
FGRU,FIGR,2.0,2.005503,30,ols
APHU,APH,2.0,2.018759,30,ols
COPZ,COPX,2.0,2.036655,30,ols
LEUX,LEU,2.0,2.070667,29,ols_short_history
COHX,COHR,2.0,2.060317,29,ols_short_history
AXPG,AXP,2.0,2.016944,29,ols_short_history
FCXG,FCX,2.0,2.040634,29,ols_short_history
GLWG,GLW,2.0,1.989952,16,ols_short_history
SNDU,SNDK,2.0,1.971399,14,ols_short_history
PAAU,PAAS,2.0,1.963996,14,ols_short_history
BITX,IBIT,2.0,2.004775,502,ols
ETHU,ETHA,2.0,2.000978,424,ols
XXRP,XRPZ,2.0,2.019523,87,ols
ADBU,ADBE,2.0,1.91406,5,ols_short_history
PYPU,PYPL,2.0,2.000699,5,ols_short_history
TXNU,TXN,2.0,2.0,0,imputed_no_overlap
UNHU,UNH,2.0,1.982912,5,ols_short_history
AAOX,AAOI,2.0,1.900759,6,ols_short_history
HLXX,HL,2.0,2.049329,6,ols_short_history
IBX,IBM,2.0,1.925569,6,ols_short_history
AALG,AAL,2.0,1.979457,182,ols
